"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27586","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","09-Oct-2023","GRAM PANCHAYAT GONDIPURA","Payment Success","700000"
"2","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27586","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","05-Jun-2024","GRAM PANCHAYAT GONDIPURA","Payment Success","290000"
"3","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","11-Mar-2024","Patel Devlopers","Payment Success","300000"
"4","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","11-Mar-2024","Patel Devlopers","Payment Success","99000"
"5","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","01-Aug-2024","Patel Devlopers","Payment Success","200000"
"6","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","01-Aug-2024","Patel Devlopers","Payment Success","125000"
"7","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","01-Aug-2024","Patel Devlopers","Payment Success","125000"
"8","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","01-Aug-2024","Dinesh Patel","Payment Success","75000"
"9","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2023-2024/27625","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","01-Aug-2024","Dinesh Patel","Payment Success","75000"
"10","Madhya Pradesh","Construction of community centers and community halls","WS/MP103/2023-2024/31332","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","07-Mar-2024","Balaji Traders","Payment Success","141543"
