"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP103/2023-2024/34537-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Construction of C.C road at Village Behrawal Janpad Kalapipal Dist. Shajapur (MP)","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","N/A","09-Jul-2024","1000000"
"2","Normal/Others","WS/MP103/2023-2024/34640-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in ST Senior Boys Hostel in Made Block Mhow","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"3","Normal/Others","WS/MP103/2023-2024/34645-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in Mahavidhyalayin SC Boys Hostel in Dongargaon Block Mhow District Indore","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"4","Normal/Others","WS/MP103/2023-2024/34643-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in ST  Boys Ashram (1-8) in Patalpani  Block Mhow District Indore","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"5","Normal/Others","WS/MP103/2023-2024/34642-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in ST Senior Girls Hostel in khurdi  Block Mhow","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"6","Normal/Others","WS/MP103/2023-2024/34641-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in ST Senior Boys Hostel in Choral Block Mhow","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"7","Normal/Others","WS/MP103/2023-2024/34644-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in SC Senior Boys Hostel in Harsola Block Mhow","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"8","Normal/Others","WS/MP103/2023-2024/34647-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","nstallation of Fixed Garden Open gym equipment in Senior SC Girls Hostel in Mhowgaon, Block Mhow District Indore","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"9","Normal/Others","WS/MP103/2023-2024/34648-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in Senior ST Boys Hostel in Kalakund Block Mhow District Indore U","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"10","Normal/Others","WS/MP103/2023-2024/34646-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in  Senior ST Boys Hostel in Mhowgaon,  Block Mhow District Indore","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
