"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP106/2023-2024/10166-Construction of community centers and community halls","Madhya Pradesh","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Construction of Community hall at gram panchayat Kirgi, Block Pushprajgarh, Village Kirgi, District Anuppur","16-Aug-2023","998400","15-Jan-2024"
"2","Normal/Others","WS/MP106/2025-2026/230379-Construction of community centers and community halls","Madhya Pradesh","ANUPPUR(DISTRICT COLLECTOR ANUPPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Janpad Pachayat Pushprajgarh, Nagar Panchayat Amarkantak me Rewa ward main Samudayik Bhawan nirman hetu, Anuppur","30-Aug-2025","1000000","12-Jan-2026"
"3","Normal/Others","WS/MP106/2025-2026/180813-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Madhya Pradesh","BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Pandharwani, Janpad Panchayat Lalbarra ke gram Pandharwani me isthit Kabristan me Teen Shade nirman, Balaghat","10-Mar-2025","500000","22-Apr-2025"
"4","Normal/Others","WS/MP106/2023-2024/116007-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Madhya Pradesh","BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Kanjai, Janpad Panchayat Lalbarra, Jila Balaghat ke Shaskiya Upswasthya kendra Arogya Asptal main Kamron evam Suvidhaon ka nirman, Balaghat","27-Feb-2024","498037","07-Mar-2024"
"5","Normal/Others","WS/MP107/2025-2026/192443-Construction of public irrigation facilities","Madhya Pradesh","BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Stop dam construction work Gram panchayat Mowala Janpad panchayat Baihar district Balaghat","25-Apr-2025","2499980","19-Jun-2025"
"6","Normal/Others","WS/MP106/2023-2024/16088-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Badgaon, Janpad Panchayat Kirnapur, Ward no. 2 me Chowk par Paver Block & other Public work Lagane hetu, Vidhansabha Lanji, District Balaghat","04-Sep-2023","1000000","05-Oct-2023"
"7","Normal/Others","WS/MP107/2025-2026/192445-Construction of culverts and bridges","Madhya Pradesh","BALAGHAT(DISTRICT COLLECTOR BALAGHAT_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction work of slab culvert on Tuma road, Gram Panchayat Dadkasa, Janpad Panchayat Birsa Balaghat","25-Apr-2025","2499990","19-Jun-2025"
"8","Normal/Others","WS/MP18316/2024-2025/171664-Construction of culverts and bridges","Madhya Pradesh","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","Mohi Bhilai jod par stap dam cum puliya nirman","05-Feb-2025","500000","27-Mar-2025"
"9","Normal/Others","WS/MP106/2026-2027/266827-Installation of fixed garden gym equipment","Madhya Pradesh","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram panchayat Mangonakalan, Janpad Panchayat Prabhat Pattan ke gram Mangonakalan main Open Gym Samagri lagane hetu, Betul","06-Feb-2026","1000000","13-Aug-2026"
"10","Normal/Others","WS/MP106/2023-2024/26206-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Majari, Vikaskhand Prabhat Pattan, District Betul (M.P.) Rajan Aahake ke ghar se Mithlesh ke ghar ki aor 100 meter CC road nirman, Vidhan Sabha 129-Multai, District Betul (Mention in letter no.3278 at column no.2)","25-Sep-2023","150000","31-Dec-2023"
