"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP106/2023-2024/1518-Construction of community centers and community halls","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Samudayik bhavan nirman kary, Gram Madna, Gram Panchayat Imalia (Tikari) Janpad Panchayat Panagar, Vidhan Sabha Panagar, District Jabalpur","23-Jun-2023","05-Oct-2023","300000","Work partially Completed"
"2","Normal/Others","WS/MP106/2023-2024/1599-Construction of community centers and community halls","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram panchayat Pipariya (Mushran), Vikaskhand Gotegaon ke gram  Pipariya (Mushran) main Samudayik bhavan nirman, Vidhansabha Gotegaon, District Narsinghpur (letter no. 2976 at column no. 1)","24-Jun-2023","26-Feb-2024","700000","Vendor Identification"
"3","Normal/Others","WS/MP106/2023-2024/1600-Construction of community centers and community halls","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram panchayat Pipariya (Mushran), Vikaskhand Gotegaon ke Govt. Madhyamik shala Parisar Pipariya (Mushran) main Teen Shade nirman Kary, Vidhansabha Gotegaon, District Narsinghpur (letter no. 2976 at column no. 2)","24-Jun-2023","26-Feb-2024","640000","Vendor Identification"
"4","Normal/Others","WS/MP106/2023-2024/1601-Construction of community centers and community halls","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram panchayat Jhot, Vikaskhand Gotegaon ke Paramhanshi Ganga Ashram Jhoteshwar main Teen Shade  nirman Kary, Vidhansabha Gotegaon, District Narsinghpur (letter no. 2976/23 at column no. 3)","24-Jun-2023","20-Feb-2024","700000","Vendor Identification"
"5","Normal/Others","WS/MP106/2024-2025/1625-Construction of community centers and community halls","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram panchayat Saliwada Devdwar, Janpad Pachayat Jabalpur ke Saliwada Devdwar main Samudayik Bhavan nirman kary, vidhansabah Bargi, District Jabalpur (letter no. 2997 at Column no.2)","25-Jun-2023","02-Jul-2024","400000","Vendor Identification"
"6","Normal/Others","WS/MP106/2025-2026/1628-Construction of community centers and community halls","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Radhakrishnan ward me Chopda Kuan ke pas Samudayik Bhavan nirman kary, Vidhan sabha poorv, District Jabalpur (letter no. 2999/23 at column no.1)","25-Jun-2023","30-Jan-2026","500000","Vendor Identification"
"7","Normal/Others","WS/MP106/2023-2024/1637-Construction of community centers and community halls","Madhya Pradesh","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Construction of community hall at gram Eklahara, gram Panchayat Hirdi, Block Prabhat Pattan, Tehsil Multai near Hanuman Mandir, Vidhansabha 129-Multai, District Betul M.P.","26-Jun-2023","31-Dec-2023","1000000","Vendor Identification"
"8","Normal/Others","WS/MP106/2025-2026/3182-Construction of community centers and community halls","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Seth Govind Das ward me Balmiki Samaj ke Jarjar Samudayik Bhavan ke Punah nirman hetu, Vidhansabha Purv Jabalpur, District Jabalpur M.P.","11-Jul-2023","29-Jan-2026","1000000","Sanction"
"9","Normal/Others","WS/MP106/2024-2025/3360-Construction of community centers and community halls","Madhya Pradesh","VIDISHA(District Collector Vidisha_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Kasba Bagrod ki gram panchayat Kasba Bagrod me Samudayik Bhavan ka Nirman, Vidhan Sabha Ganj Basoda, District Vidisha","12-Jul-2023","13-Jun-2024","300000","Physical Inspection"
"10","Normal/Others","WS/MP106/2023-2024/3370-Construction of community centers and community halls","Madhya Pradesh","SEONI(District Collector Seoni_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Beohari, Janpad Ghansaur main sthit Gau ghat main Samudayik Bhavan ka nirman, Vidhansabha Lakhnadaon, District Seoni (letter no 3058/23 main Column no 2 par sthit)","12-Jul-2023","28-Feb-2024","300000","Work partially Completed"
