"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP108/2024-2025/133457-Purchase of furniture and fixtures for educational purposes","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","supply of desk benches at Shrinath High school, Anjangaon Surji, Amravati.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","26-Aug-2024","1499175"
"2","Normal/Others","WS/MP108/2024-2025/133667-Development of public parks","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","N/A","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","01-Oct-2024","493449"
"3","Normal/Others","WS/MP108/2024-2025/134439-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Purchase of 16 tricycles (manual or motorized)","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","03-Apr-2025","2300000"
"4","Normal/Others","WS/MP108/2024-2025/135224-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","To provide Karma wheelchair to Miss.Prajakta Thorat aged 13 yrs. affected by Cerebral Palsy disease..","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","09-Oct-2024","51480"
"5","Trust and Society","WS/MP108/2024-2025/140691-Construction of public libraries and reading rooms","Maharashtra","BULDHANA(DISTRICT COLLECTOR BULDHANA_IDA)","Construction of public libraries and reading rooms in Raje Chhatrapati art college at Dhamangaon Badhe, Tq Motala Dist. Buldhana.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","04-Mar-2025","1787811"
"6","Normal/Others","WS/MP108/2024-2025/133529-Development of public parks","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Development of public parks peving blocks.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","19-Dec-2024","500000"
"7","Normal/Others","WS/MP108/2024-2025/135225-Construction of rooms and halls in school and colleges","Maharashtra","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","Construction of hall in late. Yadavraoji Keche Adiwasi ashram shala, Nara, Tq Karanja Dist. wardha","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","01-Jan-2025","1900773"
"8","Normal/Others","WS/MP108/2024-2025/133530-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","N/A","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","01-Jan-2025","978265"
"9","Normal/Others","WS/MP108/2024-2025/134252-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","500 Meter Road construction cricket academy to Parnkshetra Dal mill.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","03-Jan-2025","994425"
"10","Normal/Others","WS/MP108/2024-2025/134253-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","Construction of link roads from main road of talegaon To Storage centre of Parnkshetra FPC.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","08-Jan-2025","993333"
"11","Normal/Others","WS/MP108/2024-2025/133527-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","construction of community hall in village Warha in Morshi tehsil, Amravati","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","23-Jan-2025","1957573"
"12","Normal/Others","WS/MP108/2024-2025/146476-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Construction of road from House of Chaudhary to House of Geranj at ward no 1, deomali.","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","Images","07-Mar-2025","442767"
