"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Maharashtra","Purchase of furniture and fixtures for educational purposes","WS/MP108/2024-2025/133457","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","26-Aug-2024","Technosankalp Solutions","Payment Success","1499175"
"2","Maharashtra","Construction of community centers and community halls","WS/MP108/2024-2025/133527","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","23-Jan-2025","JAIHIND MAJOOR KAMGAR SAHKARI SANSTHA","Payment Success","1957573"
"3","Maharashtra","Development of public parks","WS/MP108/2024-2025/133529","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","19-Dec-2024","Tanuj Rameshrao Thakare","Payment Success","500000"
"4","Maharashtra","Construction of community centers and community halls","WS/MP108/2024-2025/133530","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","01-Jan-2025","SUMIT RAJENDRA CHAWARE","Payment Success","978265"
"5","Maharashtra","Development of public parks","WS/MP108/2024-2025/133667","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","01-Oct-2024","SUMIT RAJENDRA CHAWARE","Payment Success","493449"
"6","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2024-2025/134252","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","03-Jan-2025","PRAVIN DILIP NIMBHORKAR","Payment Success","994425"
"7","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2024-2025/134253","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","13-Jan-2025","PRAVIN DILIP NIMBHORKAR","Payment Success","993333"
"8","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP108/2024-2025/134438","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","28-May-2025","Nilesh Ganeshrao Shrikhande","Payment Success","1450461"
"9","Maharashtra","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP108/2024-2025/134439","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","04-Oct-2024","DURGA MOTORS","Payment Success","2300000"
"10","Maharashtra","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP108/2024-2025/135224","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","10-Oct-2024","SEVA TRADERS","Payment Success","51480"
