"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP108/2025-2026/190164-Construction of community centers and community halls","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at kopargaon","09-Apr-2025","1000000","11-Apr-2025"
"2","Trust and Society","WS/MP108/2025-2026/240914-Construction of community centers and community halls","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of Hall at Open Space , Sangamner","09-Oct-2025","1000000","03-Mar-2026"
"3","Normal/Others","WS/MP18286/2024-2025/147567-Construction of common work sheds/ common covered sitting area","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Brahmin Sabha Kopargaon Distt.  Ahilyanagar, (ahmednagar)  IPS and waterproofing of assembly","15-Oct-2024","400000","27-Feb-2025"
"4","Normal/Others","WS/MP18286/2024-2025/147570-Construction of common work sheds/ common covered sitting area","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Brahmin Sabha Kopargaon Distt.  Ahilyanagar,   Installation of new paving blocks of the congregation.","15-Oct-2024","100000","27-Feb-2025"
"5","Normal/Others","WS/MP18286/2024-2025/147568-Construction of additional rooms and halls in the existing public and community building","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Brahmin Sabha Kopargaon Distt.  Ahilyanagar,  Painting the congregation area","15-Oct-2024","200000","27-Feb-2025"
"6","Trust and Society","WS/MP112/2025-2026/225938-Construction of boundary walls of existing public and community buildings","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","Construction of a wall compound for Loknete Hon. Balasaheb Thorat College of Arts, Commerce and Science, Talegaon, Sangamner Taluka, Ahilyanagar District (Ahmednagar).","08-Aug-2025","1500000","22-Aug-2025"
"7","Repair and Renovation","WS/MP18286/2024-2025/147569-Construction of boundary walls of existing public and community buildings","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Brahmin Sabha Kopargaon Distt.  Ahilyanagar,  work : Repairing compound wall of auditorium","15-Oct-2024","100000","27-Feb-2025"
"8","Normal/Others","WS/MP18292/2025-2026/163498-Construction of boundary walls of existing public and community buildings","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","Construction of boundary wall in ward no. 9, Karmaveer Nagar, of Kopargaon Municipal Council, Dist. Ahamadnagar","03-Jan-2025","1000000","21-Aug-2025"
"9","Trust and Society","WS/MP18289/2026-2027/234914-Construction of rooms and halls in school and colleges","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Shri Milind Murli Deora (2024-30) (2024-2030)","Elected MP","Construction of additional room in the New English School under the management of Jagdamba Education Mandali","17-Sep-2025","1250000","29-Jul-2026"
"10","Normal/Others","WS/MP18292/2025-2026/207879-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","Purchese of IT systems, including Hardware and Software for educational purpose at New Englishd School, Shendi, Tq. Nagar, Dist. Ahamadnagar","10-Jun-2025","600000","26-Sep-2025"
"11","Normal/Others","WS/MP18292/2025-2026/207883-Purchase of IT systems, including hardware and software for educational purposes","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","Purchase of IT systems, including hardware and software for education purpose at Apang Sanjivani Society che Mukbadhir Vidyalaya va Vasatigruha,  Savedi, Tq. and Dist. Ahamadnagar","10-Jun-2025","600000","26-Sep-2025"
"12","Trust and Society","WS/MP108/2026-2027/254263-Construction of rooms and halls in school and colleges","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","construction School Rooms at jagdamba Shikshan Prasarak Mandal Kuldharan, Karjat Ahmednagar.","15-Dec-2025","1200000","29-Jul-2026"
"13","Normal/Others","WS/MP18292/2025-2026/163511-Construction of public toilets and bathrooms","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","Construction of Public Toilet in SC area of Ward No. 9 - Karmaveer nagar, Kopargaon Dist. Ahamadnagar","03-Jan-2025","1000000","21-Aug-2025"
"14","Normal/Others","WS/MP18286/2024-2025/147571-Construction of public toilets and bathrooms","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","Brahmin Sabha Kopargaon Distt.  Ahilyanagar,   work: Construction of congregational public toilets","15-Oct-2024","200000","27-Feb-2025"
"15","Repair and Renovation","WS/MP18289/2026-2027/275485-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Shri Milind Murli Deora (2024-30) (2024-2030)","Elected MP","dumbarization of road from crematory to temple and to Grampanchayat office in gargundi village","23-Mar-2026","1500000","24-Jun-2026"
"16","Normal/Others","WS/MP108/2026-2027/272059-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of road Prajima 66 to New English School, Chande Bk","02-Mar-2026","1000000","25-Jun-2026"
"17","Normal/Others","WS/MP18287/2025-2026/210491-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA)","Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030)","Elected MP","Construction of CC road from Divekar Ghar to Kharde Road in Tarkeshwar Nagar under Dalit Settlement Development Scheme at Mali Babhulgaon, Tal. Pathardi, Dist. Ahilyanagar (Ahmednagar).","25-Jun-2025","499921","17-Nov-2025"
