"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP108/2024-2025/133527-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","construction of community hall in village Warha in Morshi tehsil, Amravati","07-Aug-2024","21-Jan-2025","2000000","Work Completed"
"2","Normal/Others","WS/MP108/2024-2025/133530-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","NA","18-Jul-2024","20-Sep-2024","1000000","Physical Inspection"
"3","Normal/Others","WS/MP18294/2024-2025/134392-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Sejgaon, Ta. Tiroda, Dist. Gondia me Maa Gaytri Mandir ke samne Sabhagruh Bandhkam.","29-Jul-2024","02-Dec-2024","500000","Physical Inspection"
"4","Normal/Others","WS/MP18294/2024-2025/134393-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Kudwa ke Mokshdham me Dahan Shade Bandhkam.","29-Jul-2024","02-Dec-2024","499980","Physical Inspection"
"5","Normal/Others","WS/MP18294/2024-2025/134394-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Kudwa ke Mokshdham me Shok Sabhagruh Bandhkam.","29-Jul-2024","02-Dec-2024","499970","Physical Inspection"
"6","Normal/Others","WS/MP18294/2025-2026/134430-Construction of community centers and community halls","Maharashtra","GONDIA(DISTRICT COLLECTOR GONDIA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","Gram Navegaon Dhapewada me Bajar Chauk me Sabhamandap Bandhkam.","30-Jul-2024","06-Aug-2025","1000000","Sanction"
"7","Trust and Society","WS/MP112/2024-2025/136783-Construction of community centers and community halls","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","Construction of Sanskrutik Sabhagruh, S.S.Highschool, Nesari, Tal.Gadhinglaj, Dist.Kolhapur","23-Aug-2024","10-Jan-2025","999000","Physical Inspection"
"8","Normal/Others","WS/MP108/2024-2025/137249-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at Dapori Tq Morshi.","27-Aug-2024","20-Sep-2024","2000000","Work Completed"
"9","Normal/Others","WS/MP108/2024-2025/137252-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at rawala tq Warud Dist. Amravati.","27-Aug-2024","20-Sep-2024","900000","Work Completed"
"10","Normal/Others","WS/MP108/2024-2025/138968-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","Construction of community hall at pusla near santaji Jagnade temple","05-Sep-2024","14-Oct-2024","1000000","Work Completed"
