"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP233/2023-2024/56788-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","KIPHIRE(Deputy Commissioner Kiphire_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of approach road to kithu paddy field (2.5kms)","05-Dec-2023","2500000","01-Mar-2024"
"2","Normal/Others","WS/MP233/2023-2024/56789-Construction of additional rooms and halls in the existing public and community building","Nagaland","Shamator(Deputy Commissioner Shamator_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Guest House.","05-Dec-2023","10500000","06-Jan-2024"
"3","Normal/Others","WS/MP233/2023-2024/56790-Construction of rooms and halls in school and colleges","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Multipurpose Hall at Langsa Hill School.","05-Dec-2023","10000000","22-Dec-2023"
"4","Normal/Others","WS/MP233/2023-2024/56800-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Repair of approach road to Chingai ward","05-Dec-2023","1500000","21-Dec-2023"
"5","Normal/Others","WS/MP233/2023-2024/56811-Construction of rooms and halls in school and colleges","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Hall at Konjong School.","05-Dec-2023","5000000","22-Dec-2023"
"6","Normal/Others","WS/MP233/2023-2024/56813-Construction of boundary walls of existing public and community buildings","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of boundary wall near DC’s Residence, Mon.","05-Dec-2023","1000000","22-Dec-2023"
"7","Normal/Others","WS/MP233/2023-2024/56815-Providing drains and gutters for public drainage","Nagaland","LONGLENG(Deputy Commissioner Longleng_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Providing drain and gutters for public drainage.","05-Dec-2023","1000000","27-Feb-2024"
"8","Normal/Others","WS/MP233/2023-2024/56818-Construction of public toilets and bathrooms","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Public Toilet","05-Dec-2023","1000000","22-Dec-2023"
"9","Normal/Others","WS/MP233/2023-2024/56829-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Repair of approach road to Shantham Ward.","05-Dec-2023","1000000","21-Dec-2023"
"10","Normal/Others","WS/MP233/2023-2024/56830-Construction of public irrigation facilities","Nagaland","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Irrigation canal and dam.","05-Dec-2023","4000000","17-Dec-2023"
"11","Normal/Others","WS/MP233/2024-2025/56847-Construction of public toilets and bathrooms","Nagaland","PEREN(Deputy Commissioner Peren_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","Construction of Public Toilet.","05-Dec-2023","1000000","08-Aug-2024"
