"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Construction of community centers and community halls","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Completion of CRC Centre near Kantaghara Chhaka at Antara","28-May-2025","200000","NA"
"2","Normal/Others","WS/MP138/2026-2027/204967-Construction of community centers and community halls","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Biju Community Center near Maheswar Chhaka Uitikiri GP Srirampur Block Sadar Block Executant BDO Sadar Block Balasore","29-May-2025","400000","14-May-2026"
"3","Normal/Others","WS/MP138/2026-2027/204968-Construction of community centers and community halls","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Completion of Basanti Community Centre at Buanl GP Buanl Block Sadar Block Executant BDO Sadar Block Balasore","29-May-2025","500000","13-Apr-2026"
"4","Normal/Others","WS/MP138/2026-2027/204969-Construction of community centers and community halls","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Biju community centre at Madhusudhanpur GP Sindhia Block Sadar Block Executant BDO Sadar Block Balasore","29-May-2025","450000","14-May-2026"
"5","Normal/Others","WS/MP138/2026-2027/204970-Construction of community centers and community halls","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Biju Community Centre at Kuradhia GP Kurandhia Block Sadar Block Executant BDO Sadar Block Balasore","29-May-2025","400000","14-May-2026"
"6","Normal/Others","NA-Construction of community centers and community halls","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Completion of Ambajhara Community Centre","23-Aug-2026","150000","NA"
"7","Normal/Others","WS/MP138/2025-2026/204685-Construction of boundary walls of existing public and community buildings","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of graud wall from Shiba Mandir Ghata to Asta Ghata Village Ramachandrapur GP Block Begunia Nilgiri Executing Agency ITDA Nilgiri","28-May-2025","200000","04-Nov-2025"
"8","Normal/Others","WS/MP138/2025-2026/204691-Construction of boundary walls of existing public and community buildings","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Guard Wall from Chinchida Gayadhar Mohanty House to Lambodhar Nayak GP Block Aghirapada Oupada  Executing Agency BDO Oupada","28-May-2025","200000","04-Nov-2025"
"9","Normal/Others","WS/MP138/2026-2027/204666-Construction of boundary walls of existing public and community buildings","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Completion of Boundary wall with drain at Dolagobinda High School, Dhubagadia Panchayat Muruna Simulia","28-May-2025","300000","14-May-2026"
"10","Normal/Others","NA-Construction of buildings for community cultural activities","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Shri Ashwini Vaishnaw (2024-30) (2024-2030)","Elected MP","Construction of Yatri Niwas and Tourism Facilities.","20-Aug-2024","5000000","NA"
"11","Trust and Society","WS/MP131/2026-2027/271030-Construction of rooms and halls in school and colleges","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","Construction of class room at Aurobindo Poornanga Shiksha Gabesana Dhama(run by Aurobindo Tapobhumi) at Nilgiri ward no 6.","25-Feb-2026","1000000","21-Jul-2026"
"12","Normal/Others","NA-Construction of rooms and halls in school and colleges","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of additional classroom of Laxmi Basanti Special School for Hi managed by ASHA (a social organisation) at Sanakhudi, PO-Mathani, PS-Basta, Executive Agency-BDO Basta/Panchayat Samiti Basta Ward No.6 Village-Sanakhudi","31-Aug-2026","500000","NA"
"13","Normal/Others","NA-Construction of rooms and halls in school and colleges","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Completion of Class room at Upendra Prasada Uchha Bidyamandira Ohada Panchayat Achyutpur, Block Khaira","28-May-2025","300000","NA"
"14","Normal/Others","WS/MP138/2025-2026/204665-Construction of rooms and halls in school and colleges","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Completion of Class room at Mahamadpur High School Mahamadpur Panchayat Anandapur Simulia","28-May-2025","300000","09-Jan-2026"
"15","Normal/Others","NA-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Odisha","Baleshwar(DISTRICT COLLECTOR BALESHWAR_IDA)","Shri Ashwini Vaishnaw (2024-30) (2024-2030)","Elected MP","Upgradation and Construction work at District Head Quarter Hospital (DHH), Baleshwar","11-Aug-2026","17000000","NA"
