"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Repair and Renovation","WS/MP139/2023-2024/41242-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Improvements to the 3rd cross street extension at Sankaradoss swamigal nagar in Kamaraj nagar constituency, Puducherry","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","16-Nov-2023","490956"
"2","Repair and Renovation","WS/MP139/2023-2024/41243-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Improvements to the 7th cross street at Rainbow nagar in Kamaraj nagar Constituency, Puducherry.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","16-Nov-2023","2401081"
"3","Normal/Others","WS/MP139/2023-2024/41241-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Providing formation and WBM road at Veronese nagar in Moolakulam in Oulgaret Constituency, Puducherry","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","06-Nov-2023","841614"
"4","Normal/Others","WS/MP139/2023-2024/46075-Establishing public ground water recharging facilities","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Deepening / De-Silting of the Nallambal Lake to augment water storage capacity and to develop the Kendriya Vidhyalaya School Campus located at R.S.No.54/8C/Pt in Poomangalam Village, Thirunallar using the de-silted earth from the Nallambal lake.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","20-Nov-2023","2655484"
"5","Normal/Others","WS/MP139/2023-2024/52649-Construction of buildings for crèches and anganwadies","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Construction of Anganwadi building in Balwadi street at Mettupalayam in Kathirkamam constituency","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","N/A","06-Dec-2023","1984940"
"6","Normal/Others","WS/MP139/2023-2024/56123-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Improvements to the 5th cross street at Krishna nagar in Kamaraj nagar constituency","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","12-Dec-2023","1664185"
"7","Normal/Others","WS/MP139/2023-2024/64276-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Improvements to the internal roads at 7th cross, 8th cross, 9th cross, 10th cross, 11th cross and 12th cross street at Sudhakar nagar in Oulgaret constituency","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","21-Dec-2023","3873165"
"8","Normal/Others","WS/MP139/2023-2024/80031-Construction of toilet blocks","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Construction of student toilet block at Ground Floor in Government Primary School, Pettuchettipet in Lawspet  constituency, Puducherry.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","07-Aug-2025","1560281"
"9","Normal/Others","WS/MP139/2023-2024/46074-Installing community drinking water plants","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Purchase of Reverse Osmosis drinking water plat for drinking purpose of students studying in the college","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","13-Feb-2024","175000"
"10","Normal/Others","WS/MP139/2023-2024/96922-Street lights","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Supply of LED lights to the streets of  all constituencies in Puducherry","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","07-Feb-2024","4278090"
