"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2023-2024/41241","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","17-Nov-2023","B Jegadish","Payment Success","841614"
"2","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2023-2024/41242","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","16-Nov-2023","J Pandiyarajan","Payment Success","490956"
"3","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2023-2024/41243","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","16-Nov-2023","J Pandiyarajan","Payment Success","2401081"
"4","Puducherry","Installing community drinking water plants","WS/MP139/2023-2024/46074","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","13-Feb-2024","Hydro Filtsep Technologies Pvt Ltd","Payment Success","175000"
"5","Puducherry","Establishing public ground water recharging facilities","WS/MP139/2023-2024/46075","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","20-Nov-2023","SARAN CONSTRUCTIONS","Payment Success","2655484"
"6","Puducherry","Improvement of electricity distribution infrastructure","WS/MP139/2023-2024/46813","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","19-Mar-2026","venus electrical works","Payment Success","1988394"
"7","Puducherry","Construction of buildings for crèches and anganwadies","WS/MP139/2023-2024/52649","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","06-Dec-2023","DHANASEKAR M","Payment Success","874236"
"8","Puducherry","Construction of buildings for crèches and anganwadies","WS/MP139/2023-2024/52649","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","10-Jan-2025","DHANASEKAR M","Payment Success","1110704"
"9","Puducherry","Construction of boundary walls of existing public and community buildings","WS/MP139/2025-2026/54580","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","23-Oct-2025","JENO maran Trust","Payment In-Progress","1363500"
"10","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2023-2024/56123","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","27-Dec-2023","BALAMURUGAN M","Payment Success","1664185"
"11","Puducherry","Construction of night shelters for homeless","WS/MP139/2023-2024/58554","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","06-May-2025","Vasanthraj","Payment Success","2346691"
"12","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2023-2024/64276","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","21-Dec-2023","VELUSAMY C","Payment Success","2122424"
"13","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2023-2024/64276","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","18-Jul-2024","VELUSAMY C","Payment Success","1750741"
"14","Puducherry","Construction of toilet blocks","WS/MP139/2023-2024/80031","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","12-Jan-2024","K KRISHNAKUMAR","Payment Success","610238"
"15","Puducherry","Construction of toilet blocks","WS/MP139/2023-2024/80031","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","19-Feb-2024","K KRISHNAKUMAR","Payment Success","549634"
"16","Puducherry","Construction of toilet blocks","WS/MP139/2023-2024/80031","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","08-Aug-2025","K KRISHNAKUMAR","Payment Success","400409"
"17","Puducherry","Street lights","WS/MP139/2023-2024/96922","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","07-Feb-2024","Shakti Fixtures Private Limited","Payment Success","4278090"
"18","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/103176","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","14-Jun-2024","PALANIDOSS","Payment Success","1540526"
"19","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/103177","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","01-Aug-2024","SANTHANAM  K","Payment Success","904645"
"20","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/103179","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","09-Jul-2024","PALANIDOSS","Payment Success","3735665"
"21","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2025-2026/103180","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","05-Dec-2025","Kanthakumar","Payment Success","2670157"
"22","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2026-2027/103181","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","21-Aug-2026","Kanthakumar","Payment In-Progress","2903083"
"23","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2023-2024/110203","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","20-Mar-2024","J Pandiyarajan","Payment Success","1324642"
"24","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2023-2024/110203","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","13-Jun-2024","J Pandiyarajan","Payment Success","550331"
"25","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/132402","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","12-Jun-2024","VELUSAMY C","Payment Success","3338292"
"26","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/132402","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","11-Jul-2024","VELUSAMY C","Payment Success","185781"
"27","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/132403","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","13-Jun-2024","M SENTHILKUMAR","Payment Success","1361805"
"28","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/132404","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","14-Jun-2024","MAHA CONSTRUCTION","Payment Success","2944058"
"29","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/132405","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","28-Jun-2024","NANDAGOPAN","Payment Success","647877"
"30","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/132405","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","21-Mar-2025","NANDAGOPAN","Payment Success","352123"
"31","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","08-Oct-2025","ONEIRIC APPLIANCES PVT LTD","Payment Success","55000"
"32","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","03-Feb-2026","SS Enterprises","Payment Success","433483"
"33","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","10-Mar-2026","Apt Dental Distributor","Payment Success","433800"
"34","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","10-Mar-2026","Parag Enterprises","Payment Success","240000"
"35","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","10-Mar-2026","My Computer","Payment Success","33150"
"36","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","10-Mar-2026","THAARWIN ENTERPRISES","Payment Success","1707510"
"37","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","10-Mar-2026","CONFIDENT DENTAL EQUIPMENTS PVT LTD","Payment Success","399000"
"38","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","10-Mar-2026","CONFIDENT DENTAL EQUIPMENTS PVT LTD","Payment Success","166000"
"39","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","11-Mar-2026","NG ENTERPRISES","Payment Success","99370"
"40","Puducherry","Purchase of hospital equipment","WS/MP139/2025-2026/132774","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","22-Jul-2026","ALPHA LIFECARE","Payment Success","156368"
"41","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/133777","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","06-Feb-2025","PANNERSELVAM  K","Payment Success","3000000"
"42","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2025-2026/133778","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","04-Aug-2025","Palanivel","Payment Success","2880886"
"43","Puducherry","Purchase of ambulances (Four, three and two wheelers)","WS/MP139/2024-2025/134087","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","19-Aug-2025","Mahindra and Mahindra Ltd","Payment Success","749855"
"44","Puducherry","Purchase of ambulances (Four, three and two wheelers)","WS/MP139/2024-2025/134087","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","19-Aug-2025","Mahindra and Mahindra Ltd","Payment Success","749855"
"45","Puducherry","Purchase of ambulances (Four, three and two wheelers)","WS/MP139/2024-2025/134087","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","19-Aug-2025","Mahindra and Mahindra Ltd","Payment Success","749855"
