"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP139/2025-2026/145291-Construction of community centers and community halls","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Community Welfare Centre at Thanampalayam in Manavely Assembly Constituency","03-Oct-2024","6000000","13-Sep-2025"
"2","Normal/Others","NA-Construction of community centers and community halls","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Anganwadi building at Vadukuppam Village in Nettapakkam constituency","29-Apr-2025","2700000","NA"
"3","Normal/Others","WS/MP139/2026-2027/197313-Construction of community centers and community halls","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of new Karumathi shed with bath room facilities along the college road in Lawspet constituency, Puducherry.","07-May-2025","3700000","28-Aug-2026"
"4","Normal/Others","WS/MP139/2025-2026/158705-Construction of public libraries and reading rooms","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Government Library Building at Veerampattinam street, Ariyankuppam revenue village in Ariyankuppam Constituency.","14-Dec-2024","10500000","07-Apr-2025"
"5","Normal/Others","NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Karumathi shed at Periyakalapet (Kuppam) in Lawspet constituency, Puducherry.","11-Nov-2025","2500000","NA"
"6","Normal/Others","WS/MP139/2023-2024/58554-Construction of night shelters for homeless","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Shelter in the approach road upto Sankaraparani river at Thirukanji in Mangalam Constituency.","08-Dec-2023","2750000","15-Feb-2024"
"7","Normal/Others","WS/MP139/2025-2026/54580-Construction of boundary walls of existing public and community buildings","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of protective chain-link fencing work for tree growing project to a stretch of 1.2 Km alongside of mangroves and backwater area at Thengaithittu, Ariyankuppam Constituency, Puducherry.","29-Nov-2023","2517322","29-Jul-2025"
"8","Normal/Others","NA-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Ground floor with RCC roof and first floor with galvalume sheet roof at Lawspet weavers co operative society","30-May-2026","3835300","NA"
"9","Normal/Others","WS/MP139/2025-2026/229073-Providing CCTV camera system for security of public areas","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Installation of CCTV cameras in the premises of                           Navalar Nedunchezhian Govt. Hr. Sec. School, Puducherry.","26-Aug-2025","353646","09-Feb-2026"
"10","Normal/Others","WS/MP139/2025-2026/190728-Construction of rooms and halls in school and colleges","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of 3 classrooms at Colakkara Rangasamy Naickar Government Middle School, Lawspet, Puducherry in Lawspet constituency, Puducherry.","12-Apr-2025","5267000","12-Jan-2026"
