"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP139/2025-2026/145291-Construction of community centers and community halls","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Community Welfare Centre at Thanampalayam in Manavely Assembly Constituency","03-Oct-2024","13-Sep-2025","6000000","Sanction"
"2","Normal/Others","WS/MP139/2026-2027/197313-Construction of community centers and community halls","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of new Karumathi shed with bath room facilities along the college road in Lawspet constituency, Puducherry.","07-May-2025","28-Aug-2026","3700000","Sanction"
"3","Normal/Others","WS/MP139/2026-2027/282965-Construction of community centers and community halls","Puducherry","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Community centre at Survey No.49-13 Rajanthaangal Village of Kilpennathur Union in Thiruvannamalai District, Tamilnadu State.","22-May-2026","22-Jul-2026","2500000","Sanction"
"4","Normal/Others","WS/MP139/2025-2026/158705-Construction of public libraries and reading rooms","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Government Library Building at Veerampattinam street, Ariyankuppam revenue village in Ariyankuppam Constituency.","14-Dec-2024","07-Apr-2025","10500000","Physical Inspection"
"5","Normal/Others","WS/MP139/2023-2024/58554-Construction of night shelters for homeless","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Shelter in the approach road upto Sankaraparani river at Thirukanji in Mangalam Constituency.","08-Dec-2023","15-Feb-2024","2750000","Physical Inspection"
"6","Normal/Others","WS/MP139/2025-2026/54580-Construction of boundary walls of existing public and community buildings","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of protective chain-link fencing work for tree growing project to a stretch of 1.2 Km alongside of mangroves and backwater area at Thengaithittu, Ariyankuppam Constituency, Puducherry.","29-Nov-2023","29-Jul-2025","2517322","Work partially Completed"
"7","Normal/Others","WS/MP139/2025-2026/229073-Providing CCTV camera system for security of public areas","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Installation of CCTV cameras in the premises of                           Navalar Nedunchezhian Govt. Hr. Sec. School, Puducherry.","26-Aug-2025","09-Feb-2026","353646","Work Completed"
"8","Normal/Others","WS/MP139/2025-2026/190728-Construction of rooms and halls in school and colleges","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of 3 classrooms at Colakkara Rangasamy Naickar Government Middle School, Lawspet, Puducherry in Lawspet constituency, Puducherry.","12-Apr-2025","12-Jan-2026","5267000","Sanction"
"9","Normal/Others","WS/MP139/2025-2026/195496-Construction of rooms and halls in school and colleges","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of 2 classrooms at Government Primary School, Navarkulam in Kalapet constituency, Puducherry.","29-Apr-2025","12-Jan-2026","3338000","Sanction"
"10","Normal/Others","WS/MP139/2023-2024/80031-Construction of toilet blocks","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of student toilet block at Ground Floor in Government Primary School, Pettuchettipet in Lawspet  constituency, Puducherry.","11-Jan-2024","11-Jan-2024","2500000","Physical Inspection"
"11","Normal/Others","WS/MP139/2025-2026/190731-Purchase of IT systems, including hardware and software for educational purposes","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Setting up of Smart Class room cum E-learning centre in the Department of Electronics and Communication Engineering at Motilal Nehru Government Polytechnic College, Puducherry","12-Apr-2025","25-Sep-2025","4003300","Vendor Identification"
"12","Normal/Others","WS/MP139/2026-2027/229075-Purchase of IT systems, including hardware and software for educational purposes","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Purchase of Desk Top Computer systems with accessories, CAD software, UPS and Generator Set for the use of students studying at Bharathiyar PalkalaiKoodam, Ariyankuppam, Puducherry.","26-Aug-2025","17-Aug-2026","3337692","Work partially Completed"
"13","Normal/Others","WS/MP139/2026-2027/285062-Purchase of IT systems, including hardware and software for educational purposes","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Installation of BenQ Interactive flat panel board at                      Navalar Nedunchezhian Govt. Higher Secondary School, Lawspet, Puducherry.","14-Jun-2026","29-Jul-2026","550000","Work partially Completed"
"14","Normal/Others","WS/MP139/2023-2024/52649-Construction of buildings for crèches and anganwadies","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of Anganwadi building in Balwadi street at Mettupalayam in Kathirkamam constituency","24-Nov-2023","05-Dec-2023","1984940","Physical Inspection"
"15","Normal/Others","WS/MP139/2025-2026/136374-Purchase of training equipment","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Purchase of power loom- Jayanti 4X1 under pik butter type “60” -11 Nos and ""70"" - 1 No. looms with wood salay along with accessories and equipments - 12 sets","19-Aug-2024","15-Oct-2025","3000000","Physical Inspection"
"16","Normal/Others","WS/MP139/2025-2026/190119-Setting up of laboratories","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of new laboratory block at Women Engineering College in Lawspet constituency Puducherry","09-Apr-2025","13-Sep-2025","11810000","Work partially Completed"
"17","Normal/Others","WS/MP139/2023-2024/40610-Purchase of vans and buses for educational institutions","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Purchase of 38+1 seater bus - Make : SML-ISUZU:S7 5100 SDX BUS 38+1 - HIGHBACK SEATER BS6.","26-Oct-2023","07-Dec-2023","2500000","Physical Inspection"
"18","Normal/Others","WS/MP139/2026-2027/134712-Purchase of vans and buses for educational institutions","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Ashok Leyland Type II Non Deluxe Bus (NDX) with passenger carrying capacity of 57 seater.    Make: Ashok Leyland For the use of students of Pondicherry University.","05-Aug-2024","23-Jun-2026","4028000","Work partially Completed"
"19","Normal/Others","WS/MP139/2025-2026/136799-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Construction of single storeyed RCC framed structure  in the Primary Health Centre at Lawspet, Puducherry for hospital purposes.","23-Aug-2024","12-Jan-2026","5300000","Sanction"
"20","Normal/Others","WS/MP139/2025-2026/132774-Purchase of hospital equipment","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Micro Surgical Dental Unit along with accessories for use in the Department of Conservative Dentistry & Endodontics in the Mahatma Gandhi Postgraduate Institute of Dental Sciences, Puducherry","26-Jun-2024","29-Jul-2025","4223476","Work partially Completed"
"21","Normal/Others","WS/MP139/2024-2025/134087-Purchase of ambulances (Four, three and two wheelers)","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","1. 	Mahindra-Bolero Maxx Pik up – 1.3 VX Load carrier without closed container for transportation of medicines by the Government Hospitals in Puducherry 2.	Fabrication work for fixing closed container in the vehicle to carry medicines safely.","24-Jul-2024","28-Oct-2024","3065361","Physical Inspection"
"22","Normal/Others","WS/MP139/2026-2027/229958-Purchase of ambulances (Four, three and two wheelers)","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Mahindra-Bolero Maxx City 1.4 LX BS 6 Load carrier for use in the Bahour Commune Panchayat for public purpose","29-Aug-2025","01-Jul-2026","910000","Physical Inspection"
"23","Normal/Others","WS/MP139/2023-2024/46074-Installing community drinking water plants","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Purchase of Reverse Osmosis drinking water plat for drinking purpose of students studying in the college","06-Nov-2023","18-Dec-2023","200000","Physical Inspection"
"24","Normal/Others","WS/MP139/2025-2026/229074-Installing community drinking water plants","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Installation of 500 LPH Reverse osmosis based water treatment plant at Navalar Nedunchezhian Govt. Hr. Sec. School, Puducherry.","26-Aug-2025","09-Feb-2026","259600","Work Completed"
