"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Punjab","Construction of public irrigation facilities","WS/MP140/2023-2024/7438","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","22-Sep-2023","Amandeep Singh Contractor","Payment Success","5350714"
"2","Punjab","Construction of public irrigation facilities","WS/MP140/2023-2024/7438","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","19-Jan-2024","Amandeep Singh Contractor","Payment Success","971582"
"3","Punjab","Purchase of motor boats for flood and cyclone prone areas","WS/MP140/2023-2024/7453","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","17-Feb-2026","THE LOHGARH CO OP SOCIETY LTD","Payment Success","772663"
"4","Punjab","Purchase of hospital equipment","WS/MP140/2023-2024/8583","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","06-Feb-2024","CENTAIR PRIVATE LIMITED","Payment Success","797680"
"5","Punjab","Purchase of ambulances (Four, three and two wheelers)","WS/MP140/2023-2024/8584","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","26-Feb-2024","FORCE MOTORS LIMITED","Payment Success","2305074"
"6","Punjab","Purchase of non-conventional energy system and devices for community use","WS/MP140/2023-2024/8586","Tarn Taran(DEPUTY COMMOSSIONER TARN TARAN_IDA_2)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","14-Mar-2024","SARPANCH GRAM PANCHAYAT GOINDWAL SAHIB","Payment Success","578200"
"7","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/8587","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","08-Dec-2023","Dhillon building Material","Payment Success","19000"
"8","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/8587","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","13-Dec-2023","Sant Avtar Singh Eco Technical Service Centre","Payment Success","114696"
"9","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/8587","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","14-Dec-2023","Sant Avtar Singh Eco Technical Service Centre","Payment Success","137635"
"10","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/8587","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","14-Dec-2023","Sant Avtar Singh Eco Technical Service Centre","Payment Success","149105"
"11","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/8587","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","29-Jan-2024","Dhillon building Material","Payment Success","3680"
"12","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/8587","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","29-Jan-2024","Sant Avtar Singh Eco Technical Service Centre","Payment Success","52416"
"13","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/8587","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","29-Jan-2024","Sant Avtar Singh Eco Technical Service Centre","Payment Success","39341"
"14","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/8587","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","31-Jan-2024","Dhillon Transport co","Payment Success","18500"
"15","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/8587","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","31-Jan-2024","Paramjit Singh","Payment Success","14874"
