"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP140/2023-2024/7438-Construction of public irrigation facilities","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","kanal escape regulator .   one third of work is done and 40 lakh of payment also .  now we have to make payment of 76,29,550 online","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","20-Sep-2023","6322296"
"2","Repair and Renovation","WS/MP140/2023-2024/15148-Construction of rooms and halls in school and colleges","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding Boundary Wall Surrounding Govt. Sen. Sec. School, Raipur (Pharala)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","12-Nov-2025","250000"
"3","Normal/Others","WS/MP140/2023-2024/8586-Purchase of non-conventional energy system and devices for community use","Punjab","Tarn Taran(DEPUTY COMMOSSIONER TARN TARAN_IDA_2)","KIRLOSKAR Diesel  Engine for STP  at village, Goindwal Sahib.","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","05-Aug-2025","578200"
"4","Repair and Renovation","WS/MP140/2023-2024/8587-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Paving the village street raw paths by installing interlock.","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","N/A","23-Feb-2024","700000"
"5","Normal/Others","WS/MP140/2023-2024/17140-Setting up of community effluent treatment plants","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","For Treatment Plant In Village Dalla. (2nd Installment)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","09-Sep-2024","1500000"
"6","Normal/Others","WS/MP140/2023-2024/34273-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding Interlocks on Main street of village paths","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","N/A","06-Jan-2026","1000000"
"7","Normal/Others","WS/MP140/2023-2024/8584-Purchase of ambulances (Four, three and two wheelers)","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Ambulance.","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","26-Feb-2024","2305074"
"8","Normal/Others","WS/MP140/2023-2024/35868-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Maharajwala. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","22-Aug-2025","336300"
"9","Normal/Others","WS/MP140/2023-2024/35860-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Kotha. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","22-Aug-2025","336300"
"10","Normal/Others","WS/MP140/2023-2024/35841-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Kang Kalan. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","22-Aug-2025","336300"
"11","Normal/Others","WS/MP140/2023-2024/98981-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Nawanpind Donawala. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","02-Jul-2025","336300"
"12","Normal/Others","WS/MP140/2023-2024/49610-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Dharmiwal. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","03-Jun-2024","336300"
"13","Normal/Others","WS/MP140/2023-2024/58876-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Kotla Surajmal. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","05-Jan-2026","336300"
"14","Normal/Others","WS/MP140/2023-2024/71705-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Kohar Kalan. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","08-Jan-2026","336300"
"15","Normal/Others","WS/MP140/2023-2024/58878-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Khurampur. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","08-Jan-2026","336300"
"16","Normal/Others","WS/MP140/2023-2024/88157-Purchase of mobile water tankers","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Bodal. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","N/A","03-Jan-2026","336300"
"17","Normal/Others","WS/MP140/2023-2024/65230-Purchase of hospital equipment","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","To Civil Surgeon, For Monitors (5 Parameter total 6) to PIMS.","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","22-Oct-2024","536928"
"18","Normal/Others","WS/MP140/2023-2024/125998-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","MOGA(Deputy Commissioner Moga)","To install interlock on roads in village streets and to pave unpaved drains","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","26-Jul-2024","1800000"
"19","Normal/Others","WS/MP140/2023-2024/125997-Development of public parks","Punjab","MOGA(Deputy Commissioner Moga)","For Laying Interlocks on paths and boundary wall surrounding park in village Memorial Park.","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","26-Jul-2024","500000"
"20","Normal/Others","WS/MP140/2023-2024/58877-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Kotli Gazran. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","08-Jan-2026","336300"
"21","Normal/Others","WS/MP140/2023-2024/78304-Purchase of hospital equipment","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","for purchasing Dual Tray Leaser Camera Machine (DR System). (Working Agency. Civil Surgeon Kapurthala)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","N/A","14-Mar-2024","1640000"
"22","Normal/Others","WS/MP140/2023-2024/107762-Construction of community centers and community halls","Punjab","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","For Shri Guru Ravidass Dharamshala Building Maintenance, repair and renovation. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","N/A","17-Jul-2025","300000"
"23","Normal/Others","WS/MP140/2023-2024/38350-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Regarding For Interlocks on surrounding area of Sports Stadium to VPO Gursar Sadhar, Patti Gill Distt. LDH","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","26-Mar-2024","200000"
"24","Normal/Others","WS/MP140/2023-2024/38348-Lighting of public spaces","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Regarding Floods Lights (For stadium) to Sports Stadium VPO Gursar Sadhar, Patti Gill Distt. LDH","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","06-Jan-2025","300000"
"25","Normal/Others","WS/MP140/2023-2024/71704-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Sarai Kham. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","11-Aug-2025","336300"
"26","Normal/Others","WS/MP140/2023-2024/45872-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Dadwindi. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","16-Jul-2024","336300"
"27","Normal/Others","WS/MP140/2023-2024/38691-Setting up of community effluent treatment plants","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding Sewarage Pipeline in Village Cheema near Kartarpur.","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","08-May-2026","500000"
"28","Normal/Others","WS/MP140/2023-2024/39817-Renovation of ponds and lakes","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Regarding to make solid (pakka) the village ponds. Vill Dalla","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","09-Dec-2025","1500000"
"29","Normal/Others","WS/MP140/2023-2024/15150-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Ragarding to Interlocks on paths in village Talwan","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","28-Jan-2026","499765"
"30","Normal/Others","WS/MP140/2024-2025/135334-Purchase of mobile water tankers","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","N/A","10-Nov-2025","336300"
"31","Normal/Others","WS/MP140/2024-2025/135335-Purchase of mobile water tankers","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","N/A","06-Jan-2026","336300"
