"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Construction of community centers and community halls","Punjab","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","Construction of Shed in Park at Shree Aggarwal Sabha (R.) Bathinda","19-Mar-2026","1500000","NA"
"2","Normal/Others","WS/MP140/2024-2025/126948-Construction of public libraries and reading rooms","Punjab","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Grant for construction of library hall. in village","13-Mar-2024","500000","19-Jul-2024"
"3","Normal/Others","WS/MP844/2025-2026/244230-Purchase of training equipment","Punjab","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","MPLAD Grant of rupees 1410000 for establishment of Skill Development Labs and other facilities in Drug De Addiction and Rehab Center Bhatinda Please find breakup of the funds for Bhatinda in the annexure attached Additionally the concerned authorities are kindly requested to ensure that the funds are utilized and the Utilization Certificate is submitted to the DC SAS Nagar upon work completion within 60 days of the grant failing which the grant will be reversed to the MPLAD account","27-Oct-2025","1409485","24-Dec-2025"
"4","Normal/Others","WS/MP141/2025-2026/241140-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","Punjab","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","construction of Vishwakarma chowk at batala","09-Oct-2025","2000000","29-Dec-2025"
"5","Normal/Others","WS/MP140/2023-2024/7453-Purchase of motor boats for flood and cyclone prone areas","Punjab","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Purchase of  1 motor boats for flood and cyclone prone areas.  fixing 50mm thick salwood planks for floring","02-Aug-2023","772663","21-Sep-2023"
"6","Normal/Others","WS/MP141/2025-2026/230733-Purchase of motor boats for flood and cyclone prone areas","Punjab","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","for rescue motor boat in emergency at mukaura pattan block dinanagar","01-Sep-2025","577500","04-Sep-2025"
"7","Normal/Others","WS/MP141/2025-2026/230734-Purchase of motor boats for flood and cyclone prone areas","Punjab","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","for rescue motor boat in emergency Gania Ke Bet  Block Dera Baba Nanak","01-Sep-2025","577500","04-Sep-2025"
"8","Normal/Others","WS/MP844/2025-2026/237919-Purchase of motor boats for flood and cyclone prone areas","Punjab","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","MPLAD Grant of rupees 78,78,000 for Procurement of 2 JCBs for Desilting of the sand accumulated due to Floods","25-Sep-2025","6884000","16-Oct-2025"
"9","Normal/Others","WS/MP234/2025-2026/231145-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Punjab","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","Shri Raghav Chadha (2022-28) (2022-2028)","Elected MP","strengthening of flood protection bandh embankment in gurdaspur District.","03-Sep-2025","27500000","17-Nov-2025"
"10","Normal/Others","WS/MP141/2024-2025/172010-Construction of shelters for animals","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","construction of shelters for animals at shri gopal  krishan gaushala committee , near punjab and sind bank , jandiala guru , amritsar","03-Feb-2025","1500000","06-Mar-2025"
"11","Normal/Others","WS/MP141/2025-2026/258740-Construction of shelters for animals","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","contruction of gaushala building at shri gopal krishan gaushala committee , near punjab and sind bank , jandiala guru , amritsar","12-Jan-2026","1500000","23-Feb-2026"
"12","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","For beautification of Kennedy Avenue Park, Interlocking tiles in service lane, Rain Chamber, Road gullies and other Civil development works","31-Jul-2026","500000","NA"
"13","Normal/Others","WS/MP141/2024-2025/135891-Development of public parks","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Development of public parks new focal point park no 1","16-Aug-2024","200000","13-Sep-2024"
"14","Normal/Others","WS/MP141/2024-2025/135892-Development of public parks","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Development of public parks new focal point park no 2","16-Aug-2024","200000","13-Sep-2024"
"15","Normal/Others","WS/MP141/2024-2025/135894-Development of public parks","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Development of public parks in garden enclave park no2","16-Aug-2024","295600","13-Sep-2024"
"16","Normal/Others","WS/MP141/2024-2025/135895-Development of public parks","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Development of public park in garden green park","16-Aug-2024","295300","13-Sep-2024"
"17","Trust and Society","WS/MP844/2024-2025/136730-Setting up public non-conventional energy plants","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","Installation of Solar Power System at Hindu College Amritsar worth rupees 25 Lakhs","22-Aug-2024","2500000","03-Jan-2025"
"18","Normal/Others","WS/MP141/2025-2026/184362-Street lights","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","150 street lights for jandiala guru","20-Mar-2025","1737300","09-Apr-2025"
"19","Normal/Others","WS/MP141/2025-2026/258739-Security gates in streets/public place for safety purpose","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","150 solar street lights","12-Jan-2026","1758150","23-Feb-2026"
"20","Normal/Others","WS/MP844/2024-2025/127389-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","Various Development work to be carried out on the heritage street of Sri Darbar Sahib, Amritsar. MPLAD grant of rupees One crore Fifty lakh Sixty thousand, Eight Hundred Six only","13-Mar-2024","15060806","07-Aug-2024"
"21","Normal/Others","WS/MP844/2024-2025/152844-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","Punjab","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","Various Development work to be carried out on the heritage street of Sri Darbar Sahib, Amritsar. MPLAD grant of rupees One crore thirty four lakh two thousand six hundred fifty six","16-Nov-2024","13402656","28-Nov-2024"
