"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP141/2023-2024/77729-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Construction of community centers and community halls","08-Jan-2024","19-Feb-2024","1000000","Physical Inspection"
"2","Normal/Others","WS/MP141/2023-2024/77739-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","construction of ambedkar community hall park for colony volleyball ground","08-Jan-2024","19-Feb-2024","1000000","Physical Inspection"
"3","Normal/Others","WS/MP141/2023-2024/80672-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","construction of balmik dharamshala","12-Jan-2024","05-Feb-2024","500000","Physical Inspection"
"4","Normal/Others","WS/MP141/2023-2024/80673-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Construction of community centers and community halls","12-Jan-2024","05-Feb-2024","500000","Vendor Identification"
"5","Normal/Others","WS/MP141/2023-2024/80674-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","valmik dharamshala","12-Jan-2024","05-Feb-2024","300000","Vendor Identification"
"6","Normal/Others","WS/MP141/2023-2024/80675-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","S.C. DHARAMSHALA","12-Jan-2024","05-Feb-2024","300000","Sanction"
"7","Normal/Others","WS/MP141/2023-2024/80677-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","VALMIL DHARAMSHALA","12-Jan-2024","05-Feb-2024","1000000","Physical Inspection"
"8","Normal/Others","WS/MP141/2023-2024/80678-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","VALMIK DHARAMSHALA","12-Jan-2024","05-Feb-2024","300000","Sanction"
"9","Normal/Others","WS/MP141/2023-2024/80679-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","VALMIK DHARAMSHALA","12-Jan-2024","05-Feb-2024","300000","Physical Inspection"
"10","Normal/Others","WS/MP141/2023-2024/80680-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","Construction of community centers and community halls","12-Jan-2024","05-Feb-2024","300000","Vendor Identification"
"11","Normal/Others","WS/MP141/2023-2024/80682-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","PANCHAT GHAR","12-Jan-2024","05-Feb-2024","1000000","Vendor Identification"
"12","Normal/Others","WS/MP141/2023-2024/80683-Construction of community centers and community halls","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","VALMIK DHARAMSHALA","12-Jan-2024","05-Feb-2024","300000","Physical Inspection"
