"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP146/2023-2024/11223-Construction of community centers and community halls","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Public Meeting Hall near Balsingh/Viradhsingh residence, Gram Panchayat Phuliya, P.S. Sam, Jaisalmer","19-Aug-2023","09-Oct-2023","1000000","Physical Inspection"
"2","Normal/Others","WS/MP146/2023-2024/11226-Construction of community centers and community halls","Rajasthan","CHITTORGARH(DISTRICT COLLECTOR CHITTORGARH_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Community Hall in Regar Mohalla,Gram Panchayat Netawalgarh Pachhli, Dist. Chittorgarh","19-Aug-2023","27-Sep-2023","2500000","Physical Inspection"
"3","Repair and Renovation","WS/MP146/2023-2024/11228-Construction of community centers and community halls","Rajasthan","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Renovation and extension work of Sanskrutik Bhawan (Indra Bhawan), Gram Panchayat mandal Charnan, P.S. Kolayat, Bikaner","19-Aug-2023","24-Sep-2023","3000000","Work partially Completed"
"4","Normal/Others","WS/MP148/2024-2025/133154-Construction of community centers and community halls","Rajasthan","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","Construction of Hall, 4 Rooms, Lobby, Men & Women Toilets & Kitchen in Jat Community Center, Khanori Road Bypass, Near Sirta Road, Munucipal Council (MC) kaithal","08-Jul-2024","14-Aug-2024","2500000","Physical Inspection"
"5","Normal/Others","WS/MP18285/2024-2025/146116-Construction of community centers and community halls","Rajasthan","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","community building construction work Construction work of community building near Kalaji temple in Gram Panchayat Bhilvan.","08-Oct-2024","11-Dec-2024","1000000","Work partially Completed"
"6","Normal/Others","WS/MP18285/2024-2025/146122-Construction of community centers and community halls","Rajasthan","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","open community building construction  Open Baradari construction work near Bhairuji temple.","08-Oct-2024","19-Dec-2024","500000","Work partially Completed"
"7","Normal/Others","WS/MP18285/2024-2025/146338-Construction of community centers and community halls","Rajasthan","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","open community construction work  Motira near Mataji Temple","08-Oct-2024","11-Dec-2024","500000","Work partially Completed"
"8","Normal/Others","WS/MP18298/2024-2025/155715-Construction of community centers and community halls","Rajasthan","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","construction work of Resting place  at public crematorium in village Santoda Khurd","28-Nov-2024","14-Jan-2025","599845","Physical Inspection"
"9","Normal/Others","WS/MP18298/2024-2025/155716-Construction of community centers and community halls","Rajasthan","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","construction work of Resting place  at public crematorium in village Sri Dev Nagar, Gram Panchayat Santora Khurd","28-Nov-2024","14-Jan-2025","599927","Physical Inspection"
"10","Normal/Others","WS/MP18298/2024-2025/155717-Construction of community centers and community halls","Rajasthan","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","construction work of Resting place  at public crematorium in village Nerwa Charnana Gram Panchayat Santoda Khurd","28-Nov-2024","14-Jan-2025","600000","Work partially Completed"
"11","Normal/Others","WS/MP148/2024-2025/158702-Construction of community centers and community halls","Rajasthan","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","Construction of Dharmshala Communiti Centre/Halls at ward no. - 2, Mata Gate, Kaithal","14-Dec-2024","14-Feb-2025","500000","Work Completed"
"12","Normal/Others","WS/MP148/2024-2025/160658-Construction of community centers and community halls","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","Construction of Community Centre at Sarvjanik Chowk, Ward No. - 18, Lachhmangarh, Dist. - Sikar","21-Dec-2024","11-Feb-2025","1500000","Physical Inspection"
"13","Normal/Others","WS/MP148/2024-2025/160667-Construction of community centers and community halls","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","Construction of Community Centre at Meghwal Muhalla (Khasra No. - 1319, Rakba 0.2400), Village - Bathoth, Dist. - Sikar","21-Dec-2024","07-Feb-2025","1177681","Physical Inspection"
"14","Normal/Others","WS/MP18285/2024-2025/165001-Construction of community centers and community halls","Rajasthan","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","Shri Chunnilal Garasiya (2024-30) (2024-2030)","Elected MP","Community building construction work on Kankri Dogri","19-Jan-2025","01-Mar-2025","699950","Physical Inspection"
"15","Normal/Others","WS/MP147/2025-2026/170383-Construction of community centers and community halls","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Public reading room construction work, for Pirsingh ki Dhani","30-Jan-2025","27-May-2025","1500000","Work partially Completed"
"16","Normal/Others","WS/MP18295/2025-2026/174446-Construction of community centers and community halls","Rajasthan","BARMER(DISTRICT COLLECTOR BARMER_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","Construction of Community Hall at Makhaniyo ka Vaas, Gram Panchayat Chetrodi, Panchayat Samiti Gadra Road, District Barmer","08-Feb-2025","13-Aug-2025","1000000","Work partially Completed"
"17","Normal/Others","WS/MP146/2025-2026/177027-Construction of community centers and community halls","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","Construction of Rest House and Tin Shed in Aam Chowk Muslim Basti in Village and Gram Panchayat Rajas Panchayat Samiti Lachhmangarh Dist Sikar","22-Feb-2025","02-Jun-2025","1500000","Work partially Completed"
