"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136559","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","26-May-2025","ASSSISTANT ENGINEER GDZP II","Payment Success","2407600"
"2","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136559","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","26-May-2025","KESHI ENTERPRISES","Payment Success","2092085"
"3","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136634","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","204511"
"4","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136634","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","145170"
"5","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136643","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","419783"
"6","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136643","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","329500"
"7","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/136759","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","471606"
"8","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/136759","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","276625"
"9","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/136760","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Nov-2024","RAJU ENTERPRISES","Payment Success","504029"
"10","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/136760","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Nov-2024","ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE","Payment Success","169365"
