"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP18282/2024-2025/140397-Purchase of IT systems, including hardware and software for educational purposes","Sikkim","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Purchase of computer and printer and other electronic equipment to Modern Government Senior secondary School Gangtok","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","08-Oct-2024","549937"
"2","Normal/Others","WS/MP18282/2024-2025/137625-Construction of boundary walls of existing public and community buildings","Sikkim","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Protective wall to Alternative Highway Adampool to Sichey","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","29-Oct-2024","3999674"
"3","Normal/Others","WS/MP18282/2024-2025/137742-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of the Protective Wall to the Ankuchen Primary School","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","Images","13-Nov-2024","596466"
"4","Normal/Others","WS/MP18282/2024-2025/137740-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of the Protective wall near the barapathing Primary Health Sub- Center","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","447056"
"5","Normal/Others","WS/MP18282/2024-2025/137751-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of the Protective wall below the Prayer hall of Lossing primary School","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","894914"
"6","Normal/Others","WS/MP18282/2024-2025/137747-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of the Protective wall below the ground of Lamaten Primary School Building","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","749575"
"7","Normal/Others","WS/MP18282/2024-2025/136760-Providing drains and gutters for public drainage","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of Drainage and gutter system at Parkha Haat Bazar","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","895259"
"8","Normal/Others","WS/MP18282/2024-2025/141778-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of boundary wall between PWD Road and Samsing Primary School","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","249301"
"9","Normal/Others","WS/MP18282/2024-2025/136759-Providing drains and gutters for public drainage","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","The Construction of drainage and gutter system at Pakyong Bazar","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","748231"
"10","Normal/Others","WS/MP18282/2024-2025/136883-Providing drains and gutters for public drainage","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Public drainage and gutter system below Pachey Sr Sec School.","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","748231"
"11","Normal/Others","WS/MP18282/2024-2025/137748-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of the Protective wall below the Sanskrit Mahavidalaya, Thekabong under lapthang Village","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","499284"
"12","Normal/Others","WS/MP18282/2024-2025/136763-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Protective wall at Parking ground of the Office of Executive Engineer Pakyong, PHE Department","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","499403"
"13","Normal/Others","WS/MP18282/2024-2025/137365-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Protective Wall at Police Station, Pakyong","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","299689"
"14","Normal/Others","WS/MP18282/2024-2025/137743-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction for the protective wall to the ground of Ganchung Junior High School","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","746985"
"15","Normal/Others","WS/MP18282/2024-2025/137613-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Protective Wall to the Parking area of the Pakyong BAC Office","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","298448"
"16","Normal/Others","WS/MP18282/2024-2025/137364-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Protective wall at Office and Food Godown, Shanti Turning","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","746181"
"17","Normal/Others","WS/MP18282/2024-2025/137750-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of the Protective wall below the school ground of Linkey Sec School","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","599107"
"18","Normal/Others","WS/MP18282/2024-2025/137614-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Protection wall to the ground of Machong Senior Secondary School","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","799155"
"19","Normal/Others","WS/MP18282/2024-2025/137350-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Protective Wall at Rolep senior Secondary School","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","14-Nov-2024","599841"
"20","Normal/Others","WS/MP18282/2024-2025/136643-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of Protective work at Pachey Senior Secondary School","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","15-Nov-2024","749283"
"21","Normal/Others","WS/MP18282/2024-2025/137629-Providing drains and gutters for public drainage","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of Drainage gutter at Noap gaon Residential locality","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","15-Nov-2024","1499570"
"22","Normal/Others","WS/MP18282/2024-2025/137627-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of Protective wall at irrigation office Pakyong","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","15-Nov-2024","599107"
"23","Normal/Others","WS/MP18282/2024-2025/137749-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of the Protective wall below the Gram Prasasan Kendra, Lapthang","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","15-Nov-2024","649751"
"24","Normal/Others","WS/MP18282/2024-2025/137756-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of boundary wall between the land of Food-Godown Pakyong and Private holding.","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","15-Nov-2024","299523"
"25","Normal/Others","WS/MP18282/2024-2025/137741-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of the Protective wall to the Gram Prasasan Kendra, Chochen Village","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","15-Nov-2024","299215"
"26","Normal/Others","WS/MP18282/2024-2025/136762-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of protective wall and Pheri primary School ground.","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","15-Nov-2024","299510"
"27","Normal/Others","WS/MP18282/2024-2025/137746-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of Protective Wall below the Karthook Primary School Building","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","15-Nov-2024","749184"
"28","Normal/Others","WS/MP18282/2024-2025/137363-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Protective Wall at Lower Samsing primary School","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","15-Nov-2024","599324"
"29","Normal/Others","WS/MP18282/2024-2025/137738-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Construction of Protection Wall below BDO Office Duga","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","15-Nov-2024","299736"
"30","Normal/Others","WS/MP18282/2024-2025/136884-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","protective Wall below the building of Rikyep Primary School.","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","15-Nov-2024","299510"
