"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP18282/2025-2026/194158-Construction of public libraries and reading rooms","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Public Libraries and reading room at Phirpheray","24-Apr-2025","250000","14-Aug-2025"
"2","Normal/Others","WS/MP18282/2025-2026/206584-Construction of public libraries and reading rooms","Sikkim","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Public Libraries and reading room","05-Jun-2025","500000","11-Sep-2025"
"3","Normal/Others","NA-Construction of common work sheds/ common covered sitting area","Sikkim","Namchi(IMPLEMENTING DISTRICT AGENCY, NAMCHI)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of common sitting area near Tek Gumpa","15-Jul-2026","4000000","NA"
"4","Normal/Others","WS/MP18282/2024-2025/136559-Construction of boundary walls of existing public and community buildings","Sikkim","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of protection wall at land slides zone along the PWD Road at Lower Sichey","23-Aug-2024","4500000","03-Oct-2024"
"5","Normal/Others","WS/MP18282/2024-2025/136634-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Protective work at the Office of Assiatnt Engineer, Road and Bridge Department","28-Aug-2024","350000","15-Nov-2024"
"6","Normal/Others","WS/MP18282/2024-2025/136643-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Protective work at Pachey Senior Secondary School","28-Aug-2024","750000","12-Nov-2024"
"7","Normal/Others","WS/MP18282/2024-2025/136761-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of Protective work at Parkha Junior High School Building","23-Aug-2024","750000","12-Nov-2024"
"8","Normal/Others","WS/MP18282/2024-2025/136762-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Construction of protective wall and Pheri primary School ground.","23-Aug-2024","300000","13-Nov-2024"
"9","Normal/Others","WS/MP18282/2024-2025/136763-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Protective wall at Parking ground of the Office of Executive Engineer Pakyong, PHE Department","23-Aug-2024","500000","13-Nov-2024"
"10","Normal/Others","WS/MP18282/2024-2025/136884-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","protective Wall below the building of Rikyep Primary School.","24-Aug-2024","300000","13-Nov-2024"
"11","Normal/Others","WS/MP18282/2024-2025/137350-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Protective Wall at Rolep senior Secondary School","27-Aug-2024","600000","13-Nov-2024"
"12","Normal/Others","WS/MP18282/2024-2025/137363-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Protective Wall at Lower Samsing primary School","28-Aug-2024","600000","13-Nov-2024"
"13","Normal/Others","WS/MP18282/2024-2025/137364-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Protective wall at Office and Food Godown, Shanti Turning","28-Aug-2024","750000","12-Nov-2024"
"14","Normal/Others","WS/MP18282/2024-2025/137365-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Protective Wall at Police Station, Pakyong","28-Aug-2024","300000","13-Nov-2024"
"15","Normal/Others","WS/MP18282/2024-2025/137366-Construction of boundary walls of existing public and community buildings","Sikkim","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","Protective Wall to the adjacent land and lawn of animal husbandary office, Zeeling","28-Aug-2024","950000","13-Nov-2024"
