"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP014/2023-2024/77743-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","THENI(District Collector Theni_5)","64 Sets of Desks and Bench","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","747596"
"2","Normal/Others","WS/MP014/2023-2024/77750-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","THENI(District Collector Theni_5)","56 Sets of Desks and Benches","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","654134"
"3","Normal/Others","WS/MP014/2023-2024/77752-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","THENI(District Collector Theni_5)","64 Sets of Desks and Benches to Melasinthalacheery Govt. Higher Sec. School","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","747596"
"4","Normal/Others","WS/MP014/2023-2024/77780-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","THENI(District Collector Theni_5)","56 Sets of Desks and Benches for Thevaram Govt. Higher Sec. School","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","654134"
"5","Normal/Others","WS/MP014/2023-2024/77783-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","THENI(District Collector Theni_5)","64 Sets of Desks and Benches for Odappatti Govt. Higher Sec. School","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","747596"
"6","Normal/Others","WS/MP014/2023-2024/77787-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","THENI(District Collector Theni_5)","48 Sets of Desks and Benches for Erasakkanayackanur Govt. Higher Sec. School","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","560692"
"7","Normal/Others","WS/MP014/2023-2024/77788-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","THENI(District Collector Theni_5)","48 Sets of Desks and Benches for Kuchannur Govt. Higher Secondary School","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","19-Feb-2024","560692"
"8","Normal/Others","WS/MP014/2024-2025/77823-Lighting of public spaces","Tamil Nadu","THENI(District Collector Theni_5)","2 Nos. High Mast Lights in Gudalur Week Market and Arasamaram Bus Stand","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","11-Jun-2024","1800000"
"9","Normal/Others","WS/MP014/2024-2025/77819-Lighting of public spaces","Tamil Nadu","THENI(District Collector Theni_5)","1 No. High Mast Light in Chinnamanur New Bus Stand","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","13-Jun-2024","900000"
"10","Normal/Others","WS/MP014/2024-2025/77827-Lighting of public spaces","Tamil Nadu","THENI(District Collector Theni_5)","2 Nos. of High Mast Light in Near Paramasivan Koil Street Municipal School and Near Pandian Maravar Mandapam","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","N/A","21-Oct-2024","1729024"
"11","Normal/Others","WS/MP014/2025-2026/222175-Installing tube-wells and borewells","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Construction New Open Well 1 Rajiv Nagar 2 Sump in Puliyarai Village and 3 Extension of Pipeline to distribute Drinking watre to Villagers of Puliyarai Panchayat in Sengottai Panchayat Union Tenkasi District","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","10-Oct-2025","6673742"
"12","Normal/Others","WS/MP014/2025-2026/64653-Construction of buildings for crèches and anganwadies","Tamil Nadu","THENI(District Collector Theni_5)","Construction of Building for Anganwadi in Paechiamman Koil Street, Ward No: 10, Pannaipuram Municipality, Theni District.","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","14-Nov-2025","3000000"
"13","Normal/Others","WS/MP014/2025-2026/64501-Construction of bus-sheds or bus-stops","Tamil Nadu","THENI(District Collector Theni_5)","Construction of Bus Stop in Bodi - Uttamapalayam Road West Side, Theni District- 625524","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","05-Jan-2026","1496981"
"14","Normal/Others","WS/MP014/2025-2026/64503-Construction of public libraries and reading rooms","Tamil Nadu","THENI(District Collector Theni_5)","Construction of Library Hall in Pannaipuram Municipality, Theni District","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","05-Jan-2026","3254976"
"15","Normal/Others","WS/MP014/2025-2026/64500-Construction of bus-sheds or bus-stops","Tamil Nadu","THENI(District Collector Theni_5)","Construction of Bus Stop in Bodi -  Uttamapalayam Road East Side, Theni District- 625524","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","09-Feb-2026","1422910"
"16","Normal/Others","WS/MP014/2025-2026/77833-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","THENI(District Collector Theni_5)","27 Sets of Desks and Benches for Pulikkuthi Govt. Higher Sec. School","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","10-Feb-2026","298615"
"17","Normal/Others","WS/MP014/2025-2026/222174-Construction of community centers and community halls","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Construction of School Building Ground and 1st Floor 2 Classrooms with Staircase at Puliyarai Govt Higher Secondary School 1st Std to 5th Std Class premise Puliyarai Panchayat Sengottai Panchayat Union Tenkasi District","Shri Ilaiyaraaja (2022-28) (NaN-NaN)","Elected MP","Images","14-Mar-2026","6700000"
"18","Normal/Others","WS/MP015/2023-2024/5133-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Paver Block Road - 2022-2023","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","25-Aug-2023","499518"
"19","Normal/Others","WS/MP015/2023-2024/5141-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Providing Paver block road from RamanathaSwamy Kovil Street in Puliyangudi Village at Puliyangudi Pt. (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Sep-2023","499518"
"20","Normal/Others","WS/MP015/2023-2024/5144-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Concrete Cement  Road from Loorthupuram village at Posukudi Pt (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Sep-2023","998022"
"21","Normal/Others","WS/MP015/2023-2024/5142-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Providing Paver Block Road from Nadu Street in Puliyankudi Village at Puliyankudi Pt (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Sep-2023","499518"
"22","Normal/Others","WS/MP015/2023-2024/11905-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Flood Retaining wall of Avudayarkulam Marukal Channel at Thiruchendur Taluk. Thoothukudi District. LS.610 M to 665 M (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","05-Oct-2023","2495894"
"23","Normal/Others","WS/MP015/2023-2024/11904-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Construction of Flood Retaining wall of  near by Pandarakulam Madai in Madathoor Village at Alankulam Taluk. Tenkasi District. (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","10-Oct-2023","2454483"
"24","Normal/Others","WS/MP015/2023-2024/11903-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Construction of Flood Retaining wall of  near by Pandarakulam Marukal in Madathoor Village at Alankulam Taluk. Tenkasi District. (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","N/A","14-Oct-2023","2496404"
"25","Normal/Others","WS/MP015/2023-2024/11902-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","BT Road from Andipatti Junction to Thootiyankulam Channel Bank at Alankulam Taluk (LS 5900 M to 6200 M). Thekasi District (SC Area)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","N/A","15-Oct-2023","2499441"
"26","Normal/Others","WS/MP015/2023-2024/11901-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","BT Road from Andipatti Junction to Thootiyankulam Channel Bank at Alankulam Taluk (LS 5600 M to 5900 M). Thekasi District (2022-2023) (SC Area)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","N/A","15-Oct-2023","2499441"
"27","Normal/Others","WS/MP015/2023-2024/11906-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Flood Retaining wall of Avudayarkulam Marukal Channel at Thiruchendur Taluk. Thoothukudi District. LS.670 M to 725 M (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","23-Oct-2023","2495894"
"28","Normal/Others","WS/MP015/2023-2024/5145-Construction of rainwater harvesting structures","Tamil Nadu","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Construction of Retaining wall from North Kakkoor Jeyhindpuram Oorani at Kakkoor Pt (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","26-Oct-2023","999096"
"29","Normal/Others","WS/MP015/2023-2024/37913-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing B.T Road at L.S.7100M to Athiyuthu Road.in Thottiyankulam Channel Bund at Andipatti Vilakku in Alankulam.(Tk),(SC Area)-2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","31-Oct-2023","2470841"
"30","Normal/Others","WS/MP015/2023-2024/37910-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing B.T Road at L.S.6200M to 6500M.in Thottiyankulam Channel Bund at Andipatti Vilakku in Alankulam.(Tk),Tenkasi(Dt).(SC Area)-2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","31-Oct-2023","2459492"
"31","Normal/Others","WS/MP015/2023-2024/37911-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing B.T Road at L.S.6500M to 6800M.in Thottiyankulam Channel Bund at Andipatti Vilakku in Alankulam.(Tk),(SC Area)-2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","31-Oct-2023","2468981"
"32","Normal/Others","WS/MP015/2023-2024/37912-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","Providing B.T Road at L.S.6800M to 7100M.in Thottiyankulam Channel Bund at Andipatti Vilakku in Alankulam.(Tk),(SC Area)-2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","31-Oct-2023","2459127"
"33","Normal/Others","WS/MP015/2023-2024/38333-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Krishna 1st & 2nd Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","10-Jan-2024","997639"
"34","Normal/Others","WS/MP015/2023-2024/38334-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Sannathi 1st Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","996672"
"35","Normal/Others","WS/MP015/2023-2024/38335-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Surya Nagar 9st Street East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","997398"
"36","Normal/Others","WS/MP015/2023-2024/38336-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Annai Therasa Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","997690"
"37","Normal/Others","WS/MP015/2023-2024/38337-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Gandhi Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","997143"
