"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Tamil Nadu","Construction of community centers and community halls","WS/MP014/2024-2025/64497","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","18-Jun-2024","K VANARAJ","Payment Success","883881"
"2","Tamil Nadu","Construction of community centers and community halls","WS/MP014/2024-2025/64497","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","31-Aug-2024","K VANARAJ","Payment Success","955309"
"3","Tamil Nadu","Construction of community centers and community halls","WS/MP014/2024-2025/64497","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","04-Apr-2025","K VANARAJ","Payment Success","1160810"
"4","Tamil Nadu","Construction of community centers and community halls","WS/MP014/2024-2025/64498","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","18-Jun-2024","K VANARAJ","Payment Success","636210"
"5","Tamil Nadu","Construction of community centers and community halls","WS/MP014/2024-2025/64498","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","31-Aug-2024","K VANARAJ","Payment Success","1195712"
"6","Tamil Nadu","Construction of community centers and community halls","WS/MP014/2024-2025/64498","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","04-Apr-2025","K VANARAJ","Payment Success","1150433"
"7","Tamil Nadu","Construction of community centers and community halls","WS/MP014/2024-2025/64499","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","18-Jun-2024","K VANARAJ","Payment Success","874573"
"8","Tamil Nadu","Construction of community centers and community halls","WS/MP014/2024-2025/64499","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","31-Aug-2024","K VANARAJ","Payment Success","983175"
"9","Tamil Nadu","Construction of community centers and community halls","WS/MP014/2024-2025/64499","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","04-Apr-2025","K VANARAJ","Payment Success","1092231"
"10","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP014/2025-2026/64500","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","09-Feb-2026","P Krishnakumar","Payment Success","1422910"
"11","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP014/2025-2026/64501","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","05-Jan-2026","P Krishnakumar","Payment Success","1496981"
"12","Tamil Nadu","Construction of water tanks","WS/MP014/2026-2027/64502","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","19-May-2026","P Krishnakumar","Payment Success","2770000"
"13","Tamil Nadu","Construction of water tanks","WS/MP014/2026-2027/64502","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","14-Aug-2026","P Krishnakumar","Payment Success","730000"
"14","Tamil Nadu","Construction of public libraries and reading rooms","WS/MP014/2025-2026/64503","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","05-Jan-2026","P Krishnakumar","Payment Success","3254976"
"15","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP014/2025-2026/64653","THENI(District Collector Theni_5)","Shri Ilaiyaraaja (2022-28) (2022-2028)","Nominated MP","14-Nov-2025","P Krishnakumar","Payment Success","3000000"
