"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP166/2024-2025/112318-Construction of community centers and community halls","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of Community hall at ward No.120, Rajaji Nagar","23-Feb-2024","9998142","04-Feb-2025"
"2","Normal/Others","WS/MP166/2026-2027/134188-Construction of community centers and community halls","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of second floor of community  hall under construction at Villivakkam CITCO Nagar, Chennai District.","02-Aug-2024","5000000","25-Aug-2026"
"3","Normal/Others","WS/MP163/2025-2026/70364-Construction of public libraries and reading rooms","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Construction of Library Building @ Madurai Pillai street,Aynavaram in Kolathur  MLA Constituency","27-Dec-2023","3950000","02-Jul-2025"
"4","Normal/Others","WS/MP166/2025-2026/258718-Construction of boundary walls of existing public and community buildings","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of a compound wall and entrance arch in residential buildings built by the Tamil Nadu Urban Habitat Development Board in the Guavathoppu scheme area, Ward No. 63, Zone 5 of the Greater Chennai Corporation.","12-Jan-2026","10000000","23-Feb-2026"
"5","Normal/Others","WS/MP166/2026-2027/181930-Construction of bus-sheds or bus-stops","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of bus stand and satffs room at Dr. Besant Road, Vivekananda House, Ward No. 116, Chepauk, Thiruvallikeni Assembly Constituency","17-Mar-2025","5000000","27-Jul-2026"
"6","Normal/Others","WS/MP163/2026-2027/70361-Construction of bus-sheds or bus-stops","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Construction Bus Terminus at Muthamizh  Kalaignar Nootrandu Vizha Ninaivu Bus stop in Kumarannagar, in Kolathur MLA Constituency.","27-Dec-2023","14600000","31-Jul-2026"
"7","Repair and Renovation","NA-Development of playground","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri Praveen Chakravarthy (2026-28) (2026-2028)","Elected MP","Development of sports infrastructure for students in government schools.","14-Aug-2026","2500000","NA"
"8","Normal/Others","NA-Construction of common work sheds/ common covered sitting area","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Construction of compound wall around 528 residences in selvapuram IUDP colony coimbatore District","21-Nov-2025","2166000","NA"
"9","Normal/Others","NA-Providing drains and gutters for public drainage","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Construction of concrete footpath and rainwater drain with culvert at nagrajapuram amman nagar and mattasalai east area ward no 6 vedapatti town panchayat","21-Nov-2025","1730000","NA"
"10","Normal/Others","NA-Providing drains and gutters for public drainage","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Shri I.S. Inbadurai (2025-31) (2025-2031)","Elected MP","Construction of Concrete platform and upgradation of covered storm water drain at kashi karuppanna gounder street ward no 1 maruthappanagar area vedapatti town panchayat coimbatore district","21-Nov-2025","1420000","NA"
