"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP165/2024-2025/96040-Construction of water tanks","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","construction of OHT at Iluppakudi in ward no 1","03-Feb-2024","01-Jul-2024","1000000","Physical Inspection"
"2","Normal/Others","WS/MP166/2024-2025/113065-Construction of water tanks","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of 10000 litre OHT at Periyamanali Govt. Hr. Sec. School, Elachipalayam","23-Feb-2024","11-Jun-2024","745618","Physical Inspection"
"3","Normal/Others","WS/MP166/2025-2026/134189-Construction of water tanks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of OHT (60000 liters) in backward street in pujangarayanallur panchayat, Perambalur District.","02-Aug-2024","18-Sep-2025","2492899","Physical Inspection"
"4","Normal/Others","WS/MP163/2025-2026/204185-Construction of water tanks","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Construction of a new overhead water storage tank with a capacity of 60,000 liters in Eechanguppam Panchayat, Vikkaravandi Assembly Constituency, Villupuram District.","28-May-2025","30-Jun-2025","1966173","Physical Inspection"
"5","Normal/Others","WS/MP166/2026-2027/213255-Construction of water tanks","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of OHT  capacity of 60000 liters in the old ward 8th ward new ward 20 of Pallapatti municipality in Karur district.","03-Jul-2025","21-Jul-2026","2000000","Physical Inspection"
"6","Normal/Others","WS/MP166/2025-2026/214366-Construction of water tanks","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","construction of  60,000-liter OHT tank in the area of Tottiyapatti Indira Nagar, Ward No. 12, Kalappanayakkanpatti Town Panchayat.","03-Jul-2025","28-Jul-2025","1700000","Physical Inspection"
"7","Normal/Others","WS/MP166/2025-2026/218139-Construction of water tanks","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of OHT  tank in ward no. 26, Chettiyannan Street, Rasipuram municipality.","14-Jul-2025","28-Jul-2025","700000","Physical Inspection"
"8","Normal/Others","WS/MP166/2025-2026/228309-Construction of water tanks","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of 30000L OHT tank (12 m) in Alavaipatti Panchayat of Vennandur Panchayat Union.","22-Aug-2025","25-Aug-2025","1900000","Physical Inspection"
"9","Normal/Others","WS/MP166/2025-2026/231545-Construction of water tanks","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of a 10000L capacity OHT tank at the Government Girls Higher Secondary School under Namakkal Corporation","05-Sep-2025","16-Sep-2025","899274","Physical Inspection"
"10","Normal/Others","WS/MP166/2025-2026/234020-Construction of water tanks","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Construction of 60000 lit OHT at Karaikurichi pudur in Puduchatram Block","15-Sep-2025","22-Sep-2025","2298371","Physical Inspection"
"11","Normal/Others","WS/MP18439/2026-2027/247389-Construction of water tanks","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","Construction of OHT for 10000 liter capacity near ayyargadu Ellappan house at Adaiyur village","10-Nov-2025","15-May-2026","1198660","Physical Inspection"
"12","Normal/Others","WS/MP166/2024-2025/125568-Installing community drinking water plants","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Installation of Reverse Osmosis Plant 2000LPH at Mangalapuram Panchayat, Namagripet block","15-Mar-2024","11-Jun-2024","690000","Physical Inspection"
"13","Normal/Others","WS/MP166/2024-2025/126271-Installing community drinking water plants","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Providing RO Plant 100 LPH for admin building Arignar Anna Govt. Arts College, Mohanur union","15-Mar-2024","11-Jun-2024","392000","Physical Inspection"
"14","Normal/Others","WS/MP166/2024-2025/176010-Providing supply pipelines for drinking water","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","Providing supply pipelines for drinking water- in Govt Arts college hostel rasipuram","28-Feb-2025","28-Feb-2025","2150571","Physical Inspection"
"15","Normal/Others","WS/MP18439/2026-2027/247385-Providing supply pipelines for drinking water","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","Providing New Pipeline for 40 mtr and Sintex Tank near Kuppadasan valavu Manickam house at Avaniperur keezhmugam village","10-Nov-2025","06-Aug-2026","80000","Sanction"
"16","Normal/Others","WS/MP18439/2026-2027/247386-Providing supply pipelines for drinking water","Tamil Nadu","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Dr. M. Dhanapal (2025-31) (2025-2031)","Elected MP","Providing New Pipeline and sintex tank near iruppalian Thangavel house at Avaniperur Keezhmugam village","10-Nov-2025","06-Aug-2026","75000","Sanction"
