"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP171/2025-2026/208853-Construction of community centers and community halls","Telangana","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Community Hall at Savargoam(V), Neradigonda(M)","14-Jun-2025","300000","27-Feb-2026"
"2","Normal/Others","WS/MP171/2025-2026/208854-Construction of community centers and community halls","Telangana","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Community Hall near Hanuman Temple in Indiramma Colony at Neradigonda(V M)","14-Jun-2025","300000","06-Oct-2025"
"3","Normal/Others","WS/MP171/2025-2026/208855-Construction of community centers and community halls","Telangana","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Community Hall at Nagapur(V), Boath(M","14-Jun-2025","500000","18-Mar-2026"
"4","Normal/Others","NA-Construction of community centers and community halls","Telangana","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Additional Structure to Community Hall near Radha Krishna Temple, at Ward No 12, Adilabad town","09-Jul-2026","498000","NA"
"5","Normal/Others","NA-Construction of additional rooms and halls in the existing public and community building","Telangana","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Extra Floor on Existing Community Hall at Sonala (V), Boath(M), Adilabad District.","21-Oct-2024","1000000","NA"
"6","Normal/Others","WS/MP171/2024-2025/147159-Lighting of public spaces","Telangana","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Erection of LED High mast lights near Hanuman Temple at  Tejapur(V), Neradigonda(M)","14-Oct-2024","150000","18-Feb-2025"
"7","Normal/Others","WS/MP171/2024-2025/147160-Lighting of public spaces","Telangana","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Erection of LED High mast light in DevulaThanda,  Rolmamada (V), Neradigonda(M)","14-Oct-2024","150000","18-Feb-2025"
"8","Normal/Others","WS/MP171/2024-2025/147161-Lighting of public spaces","Telangana","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Erection of LED High mast lights near Gandhi Chowk in   Neradigonda (V),and (M)","14-Oct-2024","150000","18-Feb-2025"
"9","Normal/Others","WS/MP171/2024-2025/147162-Lighting of public spaces","Telangana","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Erection of LED High mast lights in Kistapur  (V), Neradigonda(M)","14-Oct-2024","150000","18-Feb-2025"
"10","Normal/Others","WS/MP171/2024-2025/147163-Lighting of public spaces","Telangana","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Erection of LED High mast lights in Buddikonda  (V), Neradigonda(M)","14-Oct-2024","150000","18-Feb-2025"
