"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP846/2024-2025/122722-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Construction of Community Hall at Korutla Town of Jagtial Dist","09-Jul-2024","11-Oct-2024","5000000","Sanction"
"2","Normal/Others","WS/MP846/2024-2025/122763-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","B/w of Community Hall in Chindi Madlga Colony at Chinnapur Village Buggaram Mandal in Jagtial dist","09-Jul-2024","24-Sep-2024","700000","Physical Inspection"
"3","Normal/Others","WS/MP846/2024-2025/122769-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Community Hall near Rajaka Colony at Jagadevpet (v) Velgatur","09-Jul-2024","23-Sep-2024","500000","Work Completed"
"4","Normal/Others","WS/MP846/2024-2025/122802-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","B/w Community Hall Near Sai baba Temple at Dharmapuri (v) in Jagtial Dist","09-Jul-2024","24-Sep-2024","500000","Sanction"
"5","Normal/Others","WS/MP846/2024-2025/122807-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Mudiraj Community hall at Shakapur (v) in Jagitial dist","09-Jul-2024","25-Sep-2024","500000","Sanction"
"6","Normal/Others","WS/MP846/2024-2025/122839-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Rajaka Sangam Community Hall at Keesulathapally (v) Pegadapally (m) in Jagitial dist","09-Jul-2024","26-Sep-2024","500000","Sanction"
"7","Normal/Others","WS/MP846/2024-2025/122840-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Mudiraj Sangam Community Hall at Keesulatapally (v) Pegadapally (m) in Jagtial Dist","09-Jul-2024","26-Sep-2024","500000","Sanction"
"8","Normal/Others","WS/MP846/2024-2025/122841-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Peruka Sangham Community Hall at Muthunur (v) Velgatur (m)","09-Jul-2024","24-Sep-2024","499226","Physical Inspection"
"9","Normal/Others","WS/MP846/2024-2025/122844-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Gowda Sangam Community Hall at Rayapatnam (v) Dharmapuri (m)","09-Jul-2024","24-Sep-2024","500000","Sanction"
"10","Normal/Others","WS/MP846/2024-2025/136905-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","C/o Community Hall in Medipally (v) Metpally (m).","28-Aug-2024","23-Sep-2024","500000","Work Completed"
"11","Normal/Others","WS/MP846/2024-2025/142701-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Balance work of C/o Roofing Shed of Padmanayaka Community Hall at  Rangapur (v) Medipally (mp) in Jagtial Dist.","23-Sep-2024","27-Sep-2024","748822","Physical Inspection"
"12","Normal/Others","WS/MP846/2024-2025/142702-Construction of community centers and community halls","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","B/w Padmanayaka Community Hall at  Rangapur (v) Medipally (mp) in Jagtial Dist.","23-Sep-2024","27-Sep-2024","746731","Physical Inspection"
"13","Normal/Others","WS/MP846/2024-2025/142705-Construction of community centers and community halls","Telangana","SANGAREDDY(District Collector Sangareddy_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Construction of Community Hall in BC Colony in Naguldevpalli Village of Hatnura mandal of Sangareddy Dist.","23-Sep-2024","23-Oct-2024","2500000","Sanction"
"14","Normal/Others","WS/MP171/2025-2026/148170-Construction of community centers and community halls","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Multipurpose Hall 	Near Bus Stop at Raghavapuram(V), Palakurthy(M)","18-Oct-2024","20-Nov-2025","1000000","Work Completed"
"15","Normal/Others","WS/MP171/2025-2026/148182-Construction of community centers and community halls","Telangana","MAHABUBABAD(DISTRICT COLLECTOR MAHABUBABAD_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Community Hall	Near Sevalal Temple in Pedda Mangya Thanda(V), Thorrur(M)","18-Oct-2024","16-Jan-2026","499000","Work Completed"
"16","Normal/Others","WS/MP846/2024-2025/148683-Construction of community centers and community halls","Telangana","JANGOAN(DISTRICT COLLECTOR JANGAON_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Construction of Community Hall at  Manchuppula(V) of Palakurthy(M), Jangaon Dist","23-Oct-2024","16-Dec-2024","500000","Sanction"
"17","Normal/Others","WS/MP171/2024-2025/148942-Construction of community centers and community halls","Telangana","NALGONDA(DISTRICT COLLECTOR NALGONDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","Construction of Community Hall at 9th Ward, Padmavathi Colony, Chandur Municipality, Nalgonda District.","21-Oct-2024","23-Dec-2024","498000","Physical Inspection"
