"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP168/2025-2026/212327-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","construction of Cement Concrete Road from Ramala Kondiah house to Church","Shri B. Parthasaradhi Reddy (2022-28) (NaN-NaN)","Elected MP","Images","14-Jul-2025","499945"
"2","Normal/Others","WS/MP168/2025-2026/213995-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Construction of Cement Concrete Road From Bandi Ramesh babu Reddy House to Desireddy Rami Reddy House","Shri B. Parthasaradhi Reddy (2022-28) (NaN-NaN)","Elected MP","Images","14-Jul-2025","349973"
"3","Normal/Others","WS/MP168/2025-2026/213993-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Construction of Cement Concrete Road from Padmavathi House to Maturi Rama Rao House","Shri B. Parthasaradhi Reddy (2022-28) (NaN-NaN)","Elected MP","Images","14-Jul-2025","399941"
"4","Normal/Others","WS/MP168/2025-2026/212272-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Construction of Cement Concrete Road from Prodduturi Chamanti House to Vissampalli Durga House","Shri B. Parthasaradhi Reddy (2022-28) (NaN-NaN)","Elected MP","Images","14-Jul-2025","499935"
"5","Normal/Others","WS/MP168/2025-2026/213996-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Construction of Cement Concrete Road from Gudipadu R and B to Panthangi Ramakrishna House","Shri B. Parthasaradhi Reddy (2022-28) (NaN-NaN)","Elected MP","Images","14-Jul-2025","499935"
"6","Normal/Others","WS/MP168/2025-2026/213997-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Construction of Cement Concrete Road from Venkatapuram R and B Road to Edulla Ramesh House","Shri B. Parthasaradhi Reddy (2022-28) (NaN-NaN)","Elected MP","Images","14-Jul-2025","399991"
"7","Normal/Others","WS/MP846/2024-2025/122858-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","PEDDAPALLI(District Collector Peddapally_IDA)","Laying of CC Road from Exisiting CC Road to Chintareddy laxma Reddy (h) in Arepally (v) Srirampur (m)","Shri Damodar Rao Divakonda (2022-28) (NaN-NaN)","Elected MP","N/A","13-Aug-2025","499225"
"8","Normal/Others","WS/MP846/2024-2025/122859-Construction of culverts and bridges","Telangana","PEDDAPALLI(District Collector Peddapally_IDA)","Formation and Culverts Road from Agaiah fields to Mallial road at Arepally (v) Srirampur (m)","Shri Damodar Rao Divakonda (2022-28) (NaN-NaN)","Elected MP","Images","11-Apr-2025","462499"
"9","Normal/Others","WS/MP846/2024-2025/133302-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","PEDDAPALLI(District Collector Peddapally_IDA)","Laying of CC Road from existing CC Road to Mahipal Reddy house in Malliah Pally H/O Arepally Village","Shri Damodar Rao Divakonda (2022-28) (NaN-NaN)","Elected MP","Images","18-Jul-2025","462500"
"10","Normal/Others","WS/MP846/2024-2025/122853-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","PEDDAPALLI(District Collector Peddapally_IDA)","Laying of CC Road from Rayamllu (h) to A.Mogili in Arepally (v) in Srirampur (m) Peddaplly Dist","Shri Damodar Rao Divakonda (2022-28) (NaN-NaN)","Elected MP","Images","04-Sep-2024","199999"
