"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Telangana","Purchase of vans and buses for educational institutions","WS/MP168/2025-2026/212170","KARIMNAGAR(DISTRICT COLLECTOR KARIMNAGAR_IDA)","Shri B. Parthasaradhi Reddy (2022-28) (2022-2028)","Elected MP","02-Aug-2025","Realty Shield Services Private Limited","Payment Success","3295808"
"2","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP168/2025-2026/212272","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri B. Parthasaradhi Reddy (2022-28) (2022-2028)","Elected MP","14-Jul-2025","GORLA PRABHAKAR REDDY","Payment Success","499935"
"3","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP168/2025-2026/212327","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri B. Parthasaradhi Reddy (2022-28) (2022-2028)","Elected MP","14-Jul-2025","GORLA PRABHAKAR REDDY","Payment Success","499945"
"4","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP168/2025-2026/213993","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri B. Parthasaradhi Reddy (2022-28) (2022-2028)","Elected MP","14-Jul-2025","GORLA PRABHAKAR REDDY","Payment Success","399941"
"5","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP168/2025-2026/213995","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri B. Parthasaradhi Reddy (2022-28) (2022-2028)","Elected MP","14-Jul-2025","GORLA PRABHAKAR REDDY","Payment Success","349973"
"6","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP168/2025-2026/213996","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri B. Parthasaradhi Reddy (2022-28) (2022-2028)","Elected MP","14-Jul-2025","GORLA PRABHAKAR REDDY","Payment Success","499935"
"7","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP168/2025-2026/213997","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","Shri B. Parthasaradhi Reddy (2022-28) (2022-2028)","Elected MP","14-Jul-2025","GORLA PRABHAKAR REDDY","Payment Success","399991"
"8","Telangana","Providing drains and gutters for public drainage","WS/MP171/2025-2026/140426","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","22-May-2025","DARAVAT RAVINDER","Payment Success","899690"
"9","Telangana","Street lights","WS/MP171/2024-2025/140427","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","17-Dec-2024","DORNALA ANJAIAH","Payment Success","100000"
"10","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/142688","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","13-Dec-2024","sivasetti lalaiah","Payment Success","498000"
"11","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP171/2024-2025/142689","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","13-Dec-2024","sivasetti lalaiah","Payment Success","498000"
