"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP18412/2024-2025/152491-Construction of community centers and community halls","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of a Community Hall at the premises of Dhaleswar Bedobani Sangha at Dhaleswar Road no-3, Agartala.","14-Nov-2024","29-Jan-2025","1417827","Physical Inspection"
"2","Normal/Others","WS/MP18412/2024-2025/152510-Construction of community centers and community halls","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of a Community Hall at the premises of Volcan Club, Nutan Palli, Dhaleswar, Agartala.","14-Nov-2024","29-Jan-2025","1000000","Physical Inspection"
"3","Normal/Others","WS/MP18412/2026-2027/270591-Construction of community centers and community halls","Tripura","Unakoti(DISTRICT MAGISTRATE and COLLECTOR  UNOKOTI_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Additional fund for the construction of Dining Hall cum Kitchen and Study Centre for the ST Students at Ramkrishna Mission Ashram, Kailashahar, Unakoti Tripura","24-Feb-2026","13-May-2026","488999","Sanction"
"4","Normal/Others","WS/MP18412/2024-2025/152388-Construction of public libraries and reading rooms","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Const. of Single Storey RCC Library Building at Ramkrishna Mission , A.K.Road , Dhaleswar, Agartala","14-Nov-2024","29-Jan-2025","4500000","Vendor Identification"
"5","Normal/Others","WS/MP18412/2026-2027/242303-Construction of public libraries and reading rooms","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Library Building at Datta Tilla, Near Kalibari, under Badharghat  A.C area in West Tripura district","24-Oct-2025","15-Jul-2026","600000","Vendor Identification"
"6","Normal/Others","WS/MP18412/2026-2027/270580-Construction of additional rooms and halls in the existing public and community building","Tripura","South Tripura(DISTRICT MAGISTRATE and COLLECTOR SOUTH TRIPURA DISTRICT_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of new school building  at Sabroom English Medium H.S.School, Sabroom, South Tripura (Phase-2)","24-Feb-2026","13-Jul-2026","2500000","Sanction"
"7","Normal/Others","WS/MP18412/2025-2026/213925-Construction of boundary walls of existing public and community buildings","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Boundary Wall and Gates of MGM Class XII School, College Tilla, Agartala","01-Jul-2025","18-Mar-2026","2500000","Vendor Identification"
"8","Normal/Others","WS/MP18412/2026-2027/213929-Construction of buildings for community cultural activities","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Community Cultural Hall at Yogi Vishav Kalyan Trust at Uttam Bhakta Chowmohani, Bishalgarh","01-Jul-2025","16-May-2026","2000000","Vendor Identification"
"9","Normal/Others","WS/MP18412/2026-2027/267494-Construction of buildings for community cultural activities","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Manipuri Cultural Centre and Guest House at the premises of Puthiba Welfare and Cultural Society, Abhaynagar, Agartala.","10-Feb-2026","27-Jul-2026","3000000","Sanction"
"10","Normal/Others","WS/MP18412/2025-2026/241072-Providing CCTV camera system for security of public areas","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Installation of CCTV surveillance system at Netaji Subhash Vidyaniketan, Agartala, Sadar","24-Oct-2025","05-Mar-2026","430000","Physical Inspection"
