"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP019/2023-2024/48508-Construction of additional rooms and halls in the existing public and community building","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Construction work of building for teaching in Gurudwara Inter Intermediate College Chopan.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","04-Feb-2026","2499911"
"2","Normal/Others","WS/MP019/2023-2024/47594-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation of high mast light near Keshavram College, Paraspani Kota Dala of Chopan development block.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","17-Oct-2025","698429"
"3","Normal/Others","WS/MP019/2023-2024/47595-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation of high mast light near Shri Ganesha temple in village Bharhari of Chopan development block.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","17-Oct-2025","698429"
"4","Normal/Others","WS/MP019/2023-2024/49058-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","CC road construction work in Kharwar Basti of Tola Harshadadh village in Gram Panchayat Bharari.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","17-Oct-2025","997189"
"5","Normal/Others","WS/MP019/2023-2024/49062-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Work of installing high mast light near the temple in Tola Chakdahiya of Gram Panchayat Jogel.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","17-Oct-2025","698252"
"6","Normal/Others","WS/MP019/2023-2024/49063-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Construction of culvert near the house of Ramkesh Kol in Toos village of Gram Panchayat Tapoo.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","21-Jan-2026","745233"
"7","Normal/Others","WS/MP019/2023-2024/49060-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Work of installing high mast light in Kharwar Basti behind Agori Fort in Gram Panchayat Agori khas.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","17-Oct-2025","698778"
"8","Normal/Others","WS/MP019/2023-2024/49061-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Work of installing high mast light near Shiv temple in Tola Belgadi of Gram Panchayat Jogel.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","17-Oct-2025","698638"
"9","Normal/Others","WS/MP019/2023-2024/48505-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Construction of CC road from Gram Panchayat Barganwa main road to Avadhlal Gond's house. 180m","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","17-Oct-2025","997046"
"10","Normal/Others","WS/MP019/2023-2024/46973-Installing community drinking water plants","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation of public solar drinking water pump near BC Bank near Rajkali School in Dhuter.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","19-Sep-2024","492189.6"
"11","Normal/Others","WS/MP019/2023-2024/46978-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near Dak Bungalow in village Nishogi of development block Chatra.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","01-Oct-2024","119000.66"
"12","Normal/Others","WS/MP019/2023-2024/46977-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation of solar high mast near Durga temple in village Tenthuhar of development block Ghorawal.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","18-Feb-2025","119000.78"
"13","Normal/Others","WS/MP019/2023-2024/46976-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near Shankar ji temple and Lakhan Baba site in Parsauna of Gram Sabha Gouri Nisph of development block Karma.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","01-Oct-2024","119000.78"
"14","Normal/Others","WS/MP019/2023-2024/47033-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near Hanuman temple in village Dhuriya of development block Chatra.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","01-Oct-2024","119000.66"
"15","Normal/Others","WS/MP019/2023-2024/47036-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast (pokhre)  near Shiv Mandir in Lakhanawar khurd of development block Robertsganj.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","01-Oct-2024","119000.66"
"16","Normal/Others","WS/MP019/2023-2024/47035-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near Shiv Mandir in village khujha of development block Chatra.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","01-Oct-2024","119000.66"
"17","Normal/Others","WS/MP019/2023-2024/47034-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near Yagyashala temple in village shivpur of development block Chatra.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","01-Oct-2024","119000.66"
"18","Normal/Others","WS/MP019/2023-2024/47384-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near Shiv Mandir in Dhobahi of development block Rawatsganj.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","01-Oct-2024","119000.66"
"19","Normal/Others","WS/MP019/2023-2024/47387-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near the house of Sampat Baiga in Baiga Basti of Gram Panchayat Cat Markundi Tola Bari.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","21-Oct-2024","119000.66"
"20","Normal/Others","WS/MP019/2023-2024/47386-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near the house of Ramvadan Gond in Gram Panchayat Catti Markundi Tola Bari.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","21-Oct-2024","119000.66"
"21","Normal/Others","WS/MP019/2023-2024/47385-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near Hanuman ji and Shankar ji and Shankar ji temple on Purba Pokhare in village Tarawan of development block Rawtersganj.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","01-Oct-2024","119000.66"
"22","Normal/Others","WS/MP019/2023-2024/47470-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near Amar Baiga's house in Gram Panchayat Cati Markundi Tola Bari.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","21-Oct-2024","119000.66"
"23","Normal/Others","WS/MP019/2023-2024/47471-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near the house of Babalal Gond in Gram Panchayat Cati Markundi Tola Gadaidih.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","21-Oct-2024","119000.66"
"24","Normal/Others","WS/MP019/2023-2024/47512-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near Vinod's house in Gram Panchayat Salkhan Tola Deoria.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","01-Oct-2024","119000.66"
"25","Normal/Others","WS/MP019/2023-2024/47511-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near the house of Gram Panchayat Salkhan Tola Bhatwa Shivdayal Gabod.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","01-Oct-2024","119000.66"
"26","Normal/Others","WS/MP019/2023-2024/47510-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near the house of Ramnaresh Gond in Gram Panchayat Cati Markundi Tola Khairtiya.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","09-Nov-2024","119000.66"
"27","Normal/Others","WS/MP019/2023-2024/47513-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light at the intersection near the canal bridge in Gram Panchayat Salkhan Tola Deoria.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","18-Feb-2025","119000.88"
"28","Normal/Others","WS/MP019/2023-2024/47532-Installing community drinking water plants","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation of one solar high mast light near the house of Deepak Kumar son of Bechu Lal Gond in Gram Panchayat Ikdiri (Piprakhad).","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","18-Feb-2025","119001"
"29","Normal/Others","WS/MP019/2023-2024/47534-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation of one solar high mast light near the house of Shivnarayan son Budhan in Gram Panchayat Raspahari.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","18-Feb-2025","119001"
"30","Normal/Others","WS/MP019/2023-2024/47558-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Solar high mast light in Gram Panchayat Raspahari, near the house of Brijkeshwar son of late Ramdhani.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","18-Feb-2025","119001"
"31","Normal/Others","WS/MP019/2023-2024/47557-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation of one solar high mast light near the house of Ramdhani son Jabarshah in Gram Panchayat Raspahari.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","07-May-2025","119001"
"32","Normal/Others","WS/MP019/2023-2024/47569-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of near Dheeraj Singh's house solar high mast light in development block Chatra Rathara.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","09-Nov-2024","119000.66"
"33","Normal/Others","WS/MP019/2023-2024/47576-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation work of solar high mast light near Ranjit Singh's house in development block Ghoraval Hinauti.","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","N/A","21-Oct-2024","119000.66"
