"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP850/2024-2025/17451-Construction of community centers and community halls","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF TIN SHED IN EXISTING PANCHAYAT BHAWAN OF SILSU TALLA GAON .   IA( KARYADAI SANSTATHA )  - BLOCK KOT","07-Sep-2023","14-Jun-2024","200000","Work Completed"
"2","Repair and Renovation","WS/MP204/2024-2025/27289-Construction of community centers and community halls","Uttarakhand","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Sangh Bhawan for Samuh","27-Sep-2023","24-Jul-2024","999990","Physical Inspection"
"3","Normal/Others","WS/MP204/2023-2024/92168-Construction of community centers and community halls","Uttarakhand","Rudraprayag(DM Rudraprayag_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","construction of Store Room in Village Tyuri, Block Ukhimath, Dist. Rudraprayag","30-Jan-2024","20-Feb-2024","250000","Physical Inspection"
"4","Normal/Others","WS/MP204/2024-2025/134578-Construction of community centers and community halls","Uttarakhand","PITHORAGARH(NRLM , pithoragarh)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Dharamshala in Nandigarh area near Government Hospital in village Barabe, Block Munakot, District Pithoragarh","02-Aug-2024","23-Aug-2024","2000000","Work partially Completed"
"5","Normal/Others","WS/MP204/2025-2026/144161-Construction of community centers and community halls","Uttarakhand","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of multipurpose building in village Ghiyakoti","28-Sep-2024","08-May-2025","2500000","Work partially Completed"
"6","Normal/Others","WS/MP204/2025-2026/144164-Construction of community centers and community halls","Uttarakhand","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of multipurpose building (tin shed)","28-Sep-2024","08-May-2025","400000","Work partially Completed"
"7","Normal/Others","WS/MP204/2025-2026/144165-Construction of community centers and community halls","Uttarakhand","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Expansion of courtyard square in village Birod, block Jaunpur","28-Sep-2024","08-May-2025","500000","Work partially Completed"
"8","Normal/Others","WS/MP204/2025-2026/144169-Construction of community centers and community halls","Uttarakhand","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","construction of Katha Pandal at Nagtibba tourist spot","28-Sep-2024","08-May-2025","500000","Work partially Completed"
"9","Normal/Others","WS/MP850/2024-2025/147843-Construction of community centers and community halls","Uttarakhand","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM NAI MEIN EK YUVA BHAUDESHYA BHAWAN EVAM TOILET KA NIRMAN ....","17-Oct-2024","21-Feb-2025","500000","Vendor Identification"
"10","Normal/Others","WS/MP204/2025-2026/181053-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of roof in the crematorium of Scheduled Caste majority Gram Panchayat Gopalpur-Sikkhar, Block Narsan","20-Mar-2025","03-Apr-2025","1000000","Work Completed"
"11","Normal/Others","WS/MP204/2025-2026/184027-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of roof at the cremation ground of Scheduled Caste majority village Haljaura Mazra-Ibrahimpur Masahi, Block Bhagwanpur.","20-Mar-2025","08-May-2025","1000000","Physical Inspection"
"12","Normal/Others","WS/MP204/2025-2026/193317-Construction of community centers and community halls","Uttarakhand","Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Waiting Room (Pratiksha Bhawan) at Katarmal, Manduwa Kheda, Jaspur, District Udham Singh Nagar","22-Apr-2025","11-Nov-2025","1000000","Work Completed"
"13","Normal/Others","WS/MP204/2025-2026/193352-Construction of community centers and community halls","Uttarakhand","Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of Multipurpose Building at the Crematorium in Village Devipura, Jaspur","22-Apr-2025","18-Oct-2025","500000","Work partially Completed"
"14","Normal/Others","WS/MP204/2025-2026/196852-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Roof construction in cremation ground in Village Dheer Mazra, Block Bhagwanpur, District Haridwar.","05-May-2025","04-Oct-2025","1000000","Sanction"
"15","Normal/Others","WS/MP204/2025-2026/197969-Construction of community centers and community halls","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of roof at the crematorium in village Hakim Pur Turra, Block Bhagwanpur.","08-May-2025","12-Dec-2025","1000000","Physical Inspection"
"16","Normal/Others","WS/MP18333/2026-2027/201376-Construction of community centers and community halls","Uttarakhand","CHAMOLI(DM Chamoli_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Janpad Chamoli  gram Irani me panchayat gha ke uper renseltar nirman. kar. san.- Vikash Khand Dasholi","20-May-2025","02-Apr-2026","500000","Sanction"
