"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP888/2025-2026/140058-Purchase of books for public libraries/ digitization of library books","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Purchase of books for 65 number of public libraries and schools","Shri Nagendra Ray (2023-29) (NaN-NaN)","Elected MP","Images","07-Aug-2025","13800426"
"2","Normal/Others","WS/MP888/2025-2026/140127-Purchase of furniture and fixtures for educational purposes","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Seating furniture (Low and High Bench set) for Maharaja Nripendra Narayan High School (H.S.) and other 13 School of Coochbehar District","Shri Nagendra Ray (2023-29) (NaN-NaN)","Elected MP","Images","07-Aug-2025","9975000"
"3","Normal/Others","WS/MP18382/2024-2025/145147-Lighting of public spaces","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of Integrated solar street lights @ 16 nos. from Bibisanpur Bazar to Sankarpur More, JL No. 108, Mouza Bibisanpur under Bibisanpur GP, Block Bhagwanpur I.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","13-Aug-2026","499734"
"4","Normal/Others","WS/MP18382/2024-2025/145148-Lighting of public spaces","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar high mast light @ 01 no. near JaliBishnupur ICDS, JL No. 69, Mouza Jalibishnupur under Bibisanpur GP, Block Bhagwanpur I.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","07-Feb-2025","378318"
"5","Normal/Others","WS/MP18382/2024-2025/145149-Lighting of public spaces","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar high mast light @ 01 no. near Nilkantpur Rashmandir, JL No. 67, Mouza Nilkantpur under Bibisanpur GP, Block Bhagwanpur I.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","N/A","07-Feb-2025","378367"
"6","Normal/Others","WS/MP18382/2024-2025/145139-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street light @ 16nos from H/O Dilip Murmu to H/O Durga Mumu JL No.5, Mouza Ramnathpur under Mahanad GP, Block Polba Dadpur","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","05-Mar-2025","499934"
"7","Normal/Others","WS/MP18382/2024-2025/145140-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights @ 16 nos from H/O Mahadeb Kisku to H/O Sagarmoni Tudu, JL No.12, Mouza Uttar Dadpur under Mahanad GP, Block Polba Dadpur","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","05-Mar-2025","499934"
"8","Normal/Others","WS/MP18382/2024-2025/145152-Lighting of public spaces","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar high mast light @ 01 no. near Pairachali Kalitala, JL No. 6, Mouza Pairachali under Jalpai GP, Block Chandipur.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","25-Mar-2025","378810"
"9","Normal/Others","WS/MP18382/2024-2025/145151-Lighting of public spaces","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar high mast light @ 01 no. near Korkhali Harji Mandir, JL No. 32, Mouza Korkhali under Jalpai GP, Block Chandipur.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","25-Mar-2025","378810"
"10","Normal/Others","WS/MP18382/2024-2025/145150-Lighting of public spaces","West Bengal","Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA)","Installation of integrated solar high mast light @ 01 no. near Majnaberia Grambari, JL No. 27 Mouja Majnaberia under Jalpai GP, Block Chandipur.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","25-Mar-2025","378810"
"11","Normal/Others","WS/MP18382/2024-2025/145145-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar Highmast light @ 01 no. near Somra Durgacharan High School, JL No. 37 Mouza Somra under Somra II GP. Block Balagarh.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","08-Apr-2025","376952"
"12","Normal/Others","WS/MP18382/2024-2025/145144-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar Highmast light @ 01 no. near Somra II GP Office, JL No. 38 under Somra II GP, Block Balagarh.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","08-Apr-2025","376952"
"13","Normal/Others","WS/MP18382/2024-2025/145143-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street  lights @ 16 nos from Panchgara High School to hari Guru Gopal Chand Dham Mandir, JL No. 26, Mouza Uttar Dadpur under Panchgara Torgram GP, Block Pandua","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","11-Apr-2025","499934"
"14","Normal/Others","WS/MP18382/2024-2025/145142-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights @ 16 nos from Talandu Chowmatha to Pry School, JL No. 03, Mouza Talandu   under Digsui Hoera GP, Block Chinsura Mogra.","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","30-Apr-2025","499793"
"15","Normal/Others","WS/MP18382/2024-2025/145141-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","Installation of integrated solar street lights @ 16 nos from Bagri Masjid to Dadpur, JL No. 8, Mouza Bagri under Digsui Hoyera GP, Block Chinsura Mogra","Smt. Mamata Thakur (2024-30) (NaN-NaN)","Elected MP","Images","22-May-2025","498752"
