"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/46779","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","29-May-2024","SHRI LAXMI CONSTRUCTION","Payment Success","392364"
"2","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/46779","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-Aug-2024","SHRI LAXMI CONSTRUCTION","Payment Success","306942"
"3","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/46780","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-Jun-2024","MAA SHARDA ENTERPRISES","Payment Success","392481"
"4","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/46780","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-Aug-2024","MAA SHARDA ENTERPRISES","Payment Success","307034"
"5","Uttar Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP019/2023-2024/46809","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","15-Apr-2024","MS J P CONSTRUCTION","Payment Success","2768102"
"6","Uttar Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP019/2023-2024/46809","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2024","MS J P CONSTRUCTION","Payment Success","944774"
"7","Uttar Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP019/2023-2024/46809","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-Nov-2024","MS J P CONSTRUCTION","Payment Success","1285143"
"8","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/46810","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","27-May-2024","TIRUPATI CONSTRUCTION","Payment Success","365711"
"9","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/46810","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","03-Sep-2024","TIRUPATI CONSTRUCTION","Payment Success","134224"
"10","Uttar Pradesh","Lighting of public spaces","WS/MP019/2023-2024/46810","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","18-Feb-2026","TIRUPATI CONSTRUCTION","Payment Success","199713"
