"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP180/2024-2025/140361-Construction of community centers and community halls","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Construction and redevelopment of community center at crematorium ground","11-Sep-2024","3894337","27-Nov-2024"
"2","Normal/Others","WS/MP18347/2025-2026/254179-Construction of community centers and community halls","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Construction of Community Hall in Village Kua Khera Block Barauli Ahir","16-Dec-2025","2890000","26-Feb-2026"
"3","Repair and Renovation","WS/MP180/2025-2026/197920-Construction of public libraries and reading rooms","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Construction of new building","08-May-2025","2300000","19-Sep-2025"
"4","Repair and Renovation","WS/MP180/2024-2025/140362-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Construction and redevelopment of boundary wall at crematorium ground","11-Sep-2024","3687074","27-Nov-2024"
"5","Repair and Renovation","WS/MP180/2025-2026/197919-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Crematoriums or structures on burial cremation ground for public conveyance","08-May-2025","3995000","19-Sep-2025"
"6","Normal/Others","WS/MP180/2026-2027/240858-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Modernization of Shamshan Ghat","13-Oct-2025","600000","30-Jun-2026"
"7","Normal/Others","WS/MP18347/2026-2027/289158-Construction of rooms and halls in school and colleges","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Classroom Construction Work at Primary School, Umretha First","26-Jun-2026","1500000","12-Aug-2026"
"8","Normal/Others","WS/MP18347/2026-2027/272718-Construction of rooms and halls in school and colleges","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Construction of Room at Prathmik Vidhyalal Bhojpura Block Fatehabad Agra","06-Mar-2026","1200000","13-May-2026"
"9","Normal/Others","WS/MP18347/2025-2026/254180-Purchase of IT systems, including hardware and software for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Construction of Link Road and Furnutere and smart board in village PP Saiyan","16-Dec-2025","1130000","26-Feb-2026"
"10","Normal/Others","WS/MP18347/2025-2026/211056-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","installation smart board and furniture and tilys work in composit vidhyalay bijhamai","16-Jul-2025","2286000","06-Aug-2025"
"11","Normal/Others","WS/MP18347/2025-2026/211057-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture and intarlocking in PP Biseri Bhand Barauli Ahir","16-Jul-2025","1736958","06-Aug-2025"
"12","Normal/Others","WS/MP18347/2025-2026/211058-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture And Link Road in PP Mutawai Fatehabad","16-Jul-2025","2327948","06-Aug-2025"
"13","Normal/Others","WS/MP18347/2025-2026/211059-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture And Link Road in PP Panchgaikhera","16-Jul-2025","1987000","06-Aug-2025"
"14","Normal/Others","WS/MP18347/2025-2026/211060-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture And Link Road in Composit Vidhyalay Pesai Khandauli","16-Jul-2025","2378000","06-Aug-2025"
"15","Normal/Others","WS/MP18347/2025-2026/211061-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture And Link Road from vidhyalaqy to co residence  in PP Vikram Pur Bah","16-Jul-2025","2269154","06-Aug-2025"
"16","Normal/Others","WS/MP18347/2025-2026/211062-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture  in Garhi Sampat","16-Jul-2025","1727000","20-Sep-2025"
"17","Normal/Others","WS/MP18347/2025-2026/211063-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture And Link Road in Composit Vidhyalay in  Vijay Garhi Pinahat","16-Jul-2025","1908193","06-Aug-2025"
"18","Normal/Others","WS/MP18347/2025-2026/211064-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture And Link Road in PP Nagar","16-Jul-2025","2405000","06-Aug-2025"
"19","Normal/Others","WS/MP18347/2025-2026/211065-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture And Link Road in PP Bhadaura Fatehabad","16-Jul-2025","1794000","06-Aug-2025"
"20","Normal/Others","WS/MP18347/2025-2026/211070-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture in PP Panwari Bichpuri","21-Jun-2025","910000","20-Sep-2025"
"21","Normal/Others","WS/MP18347/2025-2026/211071-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture And Link Road in PP Gopau Achhnera","21-Jun-2025","2677734","02-Aug-2025"
"22","Normal/Others","WS/MP18347/2025-2026/211072-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture And Interlocking in PP  Devari Jagner","21-Jun-2025","1988000","02-Aug-2025"
"23","Normal/Others","WS/MP18347/2025-2026/211073-Purchase of furniture and fixtures for educational purposes","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Installation of Smart Board Furniture And Interlocking work in PP Jalalpur Jagner","21-Jun-2025","1843000","02-Aug-2025"
"24","Normal/Others","WS/MP18347/2026-2027/289157-Purchase of smart boards, visual display units and projectors","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Shri Naveen Jain (2024-30) (2024-2030)","Elected MP","Construction of Smart Board, Furniture and Link Road at Primary School, Nainana Brahman","26-Jun-2026","1577000","12-Aug-2026"
