"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP195/2023-2024/33313-Construction of community centers and community halls","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Civil Work - Community Hall in Majra Parwala","06-Oct-2023","21-Feb-2024","2500000","Vendor Identification"
"2","Normal/Others","WS/MP195/2023-2024/33314-Construction of community centers and community halls","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Community Hall Civil Work - In Village Jyora","06-Oct-2023","21-Feb-2024","1495600","Vendor Identification"
"3","Normal/Others","WS/MP180/2023-2024/68392-Construction of community centers and community halls","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Construction of new community center at Chandapur, Lohata, Distt. Varanasi","23-Dec-2023","06-Mar-2024","2968817","Physical Inspection"
"4","Normal/Others","WS/MP195/2024-2025/77747-Construction of community centers and community halls","Uttar Pradesh","JALAUN(DISTRICT MAGISTRATE JALAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Community Hall in Shri Radha Krishna Saraswati Vidya Mandir Inter College","08-Jan-2024","09-Aug-2024","1000000","Work partially Completed"
"5","Normal/Others","WS/MP195/2023-2024/77748-Construction of community centers and community halls","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Community Hall","08-Jan-2024","07-Mar-2024","999998","Physical Inspection"
"6","Normal/Others","WS/MP186/2023-2024/81782-Construction of community centers and community halls","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","wedding house construction work.","14-Jan-2024","23-Feb-2024","4000000","Physical Inspection"
"7","Normal/Others","WS/MP180/2024-2025/140361-Construction of community centers and community halls","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","Construction and redevelopment of community center at crematorium ground","11-Sep-2024","27-Nov-2024","3894337","Physical Inspection"
"8","Normal/Others","WS/MP186/2024-2025/141234-Construction of community centers and community halls","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Construction of public Panchayat building at Karondia in Gram Panchayat Baraya Block Halia","16-Sep-2024","19-Feb-2025","4800000","Vendor Identification"
"9","Normal/Others","WS/MP186/2024-2025/141249-Construction of community centers and community halls","Uttar Pradesh","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","Public marriage celebration house in Gram Panchayat Rehi Block Lalganj","16-Sep-2024","17-Feb-2025","3500000","Vendor Identification"
"10","Normal/Others","WS/MP186/2024-2025/141383-Construction of community centers and community halls","Uttar Pradesh","BULANDSHAHR(DISTRICT MAGISTRATE BULANDSHAHR_IDA)","Shri Arun Singh (2020-26) (2020-2026)","Elected MP","New Construction of Panchayat House of village Pitovas under Block Gulavathi","16-Sep-2024","01-Mar-2025","2000000","Vendor Identification"
