"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP204/2023-2024/74103-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Construction of Road and Broomstick/Chamfer,  in Kankhal (haridar) Ganpati dham Phase-3 to Sangam Vihar (Jamalpur)","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","24-May-2024","1869577"
"2","Repair and Renovation","WS/MP204/2024-2025/27289-Construction of community centers and community halls","Uttarakhand","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Construction of Sangh Bhawan for Samuh","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","05-Aug-2024","999990"
"3","Normal/Others","WS/MP204/2023-2024/84764-Lighting of public spaces","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","16 Meter High Mast with 8 Led Light in Village Dallawala","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","28-Feb-2025","2441090"
"4","Normal/Others","WS/MP204/2024-2025/119143-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","In Ward No. 9 Mohanpura Roorkee, Construction of road from Aryan Hotel to Baleshwar's house via Pradeep Pal's house","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","07-Nov-2024","1799895"
"5","Normal/Others","WS/MP204/2024-2025/156570-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Purchase wheel chair at Roorkee Railway Statio","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","05-Mar-2025","40000"
"6","Normal/Others","WS/MP204/2024-2025/177944-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Construction of Kharanja C.C. road from drinking water source (Naula) towards Saim temple in scheduled village Katyari-Anariakot in Gram Panchayat Anariakot, Block Lamgara, District Almora","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","23-Mar-2026","480740"
"7","Normal/Others","WS/MP204/2024-2025/177943-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Construction of Kharanja C.C. road from Katyari Scheduled Caste colony towards main drinking water source of Anaria Kot in Gram Panchayat Anariakot, Block Lamgara, District Almora","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","23-Mar-2026","482875"
"8","Normal/Others","WS/MP204/2024-2025/144172-Construction of boundary walls of existing public and community buildings","Uttarakhand","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Protective wall and leveling in village Bhankoli, Tehsil Bhatwadi","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","N/A","26-Jun-2025","197730"
"9","Normal/Others","WS/MP204/2024-2025/61956-Construction of rooms and halls in school and colleges","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Development of Play Ground at Rajmati Devi Saraswati Vidya Mandir Timli Pauri","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","21-Jun-2025","1800000"
"10","Normal/Others","WS/MP204/2025-2026/159143-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Construction of Interlocking Tiles Road from Shri Nakliram's house to post office near Government Ayurvedic Hospital in Scheduled Majority village Hallu Mazara, Block Bhagwanpur","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","06-May-2025","984842"
"11","Normal/Others","WS/MP204/2025-2026/176572-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Construction of R.C.C. Connecting Road in the Semal Harijan Basti of Gram Panchayat Kyari under Block Pratap Nagar","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","11-May-2026","198905"
"12","Normal/Others","WS/MP204/2025-2026/156774-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Road construction with interlocking tiles from the house of Shri Dharmendra Saini to the house of Shri Subhash Saini in Village Toda Kalyanpur, Mustakam Roorkee","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","09-May-2025","398000"
"13","Normal/Others","WS/MP204/2025-2026/164573-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Construction of interlocking tiles road from the farm of Shri Rajkumar Saini to the farm of Vedprakash Saini on the main road in the Scheduled Caste dominated colony of Gram Panchayat Bhauri, Block Roorkee","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","24-Jun-2025","298500"
"14","Normal/Others","WS/MP204/2025-2026/167920-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Interlocking tiles road construction in street number 2, Dev Enclave, Near Yogeshwar Public School, Dhandera, District Haridwar","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","29-May-2025","797942"
"15","Normal/Others","WS/MP204/2025-2026/159847-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Construction of Interlocking Tiles Road from Shri Jaichand's house to Primary School in Scheduled Majority village Gee Mohd Saidpur","Dr. Kalpana Saini (2022-28) (NaN-NaN)","Elected MP","Images","31-May-2025","787074"
