"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttarakhand","Construction of community centers and community halls","WS/MP204/2024-2025/27289","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","04-Aug-2024","SUMAT PRASAD SATISH KUMAR JAIN","Payment Success","658140"
"2","Uttarakhand","Construction of community centers and community halls","WS/MP204/2024-2025/27289","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","05-Aug-2024","SUMAT PRASAD SATISH KUMAR JAIN","Payment Success","341850"
"3","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP204/2024-2025/61956","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","29-Apr-2025","Mayank Rawat","Payment Success","1800000"
"4","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2023-2024/74103","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","24-May-2024","MOHIT ENTERPRISES","Payment Success","1869577"
"5","Uttarakhand","Lighting of public spaces","WS/MP204/2023-2024/84764","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","19-May-2025","MS Hindustan Enterprises","Payment Success","2441090"
"6","Uttarakhand","Construction of community centers and community halls","WS/MP204/2023-2024/92168","Rudraprayag(DM Rudraprayag_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-Sep-2025","KARAMBIR SINGH","Payment Success","250000"
"7","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP204/2024-2025/119111","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","11-Dec-2024","RATAN SINGH","Payment Success","600000"
"8","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP204/2024-2025/119111","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","13-Oct-2025","RATAN SINGH","Payment Success","366289"
"9","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP204/2024-2025/119111","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","13-Oct-2025","RATAN SINGH","Payment Success","33211"
"10","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2024-2025/119143","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","07-Nov-2024","D B CONSTRUCTION","Payment Success","1799895"
"11","Uttarakhand","Construction of community centers and community halls","WS/MP204/2024-2025/134578","PITHORAGARH(NRLM , pithoragarh)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Jan-2026","LALIT MOHAN JOSHI","Payment Success","1049555"
"12","Uttarakhand","Improvement of electricity distribution infrastructure","WS/MP204/2024-2025/137204","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","28-Oct-2024","BRANCH EARMARKED CAPITAL RECEIPT AC","Payment Success","1199500"
"13","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/144161","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","12-May-2025","SUBHASH","Payment Success","560413"
"14","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/144161","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","08-Oct-2025","SUBHASH","Payment Success","1208570"
"15","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/144164","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","30-Jun-2025","SUMER SINGH","Payment Success","229553"
"16","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/144164","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","02-Dec-2025","SUMER SINGH","Payment Success","170447"
"17","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/144165","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","12-Dec-2025","SOHAN","Payment Success","327803"
"18","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/144165","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","25-Jun-2026","SOHAN","Payment Success","172197"
"19","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/144169","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","01-Jul-2025","DEVENDRA SINGH PANWAR","Payment Success","350000"
"20","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","GAUTAM RAWAT","Payment Success","10191"
"21","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","CHAITA DEVI","Payment Success","10191"
"22","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","KAPIL DEV SINGH","Payment Success","10428"
"23","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","ABHISHEK PANWAR","Payment Success","10191"
"24","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","RAJPAL SINGH CHAUHAN","Payment Success","10191"
"25","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","RANA TRADER","Payment Success","28416"
"26","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","manisha negi","Payment Success","10191"
"27","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","suchita rawat","Payment Success","10191"
"28","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","rahul panwar","Payment Success","10191"
"29","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","ankit gusain","Payment Success","10191"
"30","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","sansitha","Payment Success","10191"
"31","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","manisha","Payment Success","10191"
"32","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","alok rawat","Payment Success","10191"
"33","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","23-Apr-2025","naveen","Payment Success","10191"
"34","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","26-Jun-2025","abhishek gusain","Payment Success","26268"
"35","Uttarakhand","Construction of boundary walls of existing public and community buildings","WS/MP204/2024-2025/144172","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","26-Jun-2025","prmod","Payment Success","10326"
"36","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAJEEV BAHUGUNA","Payment Success","6399"
"37","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","RAHUL BHAUGUNA","Payment Success","6399"
"38","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2025-2026/144176","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","16-May-2026","PREM KUMAR","Payment Success","6399"
