"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP850/2024-2025/17451-Construction of community centers and community halls","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","CONSTRUCTION OF TIN SHED IN EXISTING PANCHAYAT BHAWAN OF SILSU TALLA GAON .   IA( KARYADAI SANSTATHA )  - BLOCK KOT","07-Sep-2023","200000","14-Jun-2024"
"2","Normal/Others","WS/MP204/2024-2025/61956-Construction of rooms and halls in school and colleges","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Development of Play Ground at Rajmati Devi Saraswati Vidya Mandir Timli Pauri","14-Dec-2023","1800000","18-Dec-2024"
"3","Normal/Others","WS/MP18333/2026-2027/254879-Construction of rooms and halls in school and colleges","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Dist Pauri ke Nagar Nigam Kotdwar ke ward N0. 24 me hemandas saraswati shishumandir Janaki nagar ke mukhya bhavan ke marmmat karya hetu, K.S.- PradhanaCharya","20-Dec-2025","495000","15-Apr-2026"
"4","Normal/Others","NA-Construction of rooms and halls in school and colleges","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Construction of a Building at Sarswati Shishu Madir Jankinagar Kotdwar, Pauri Garhwal","04-Feb-2026","2000000","NA"
"5","Normal/Others","WS/MP18333/2026-2027/269927-Construction of rooms and halls in school and colleges","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Sarswati Vidhyamandir Khirsu (Gwar) pauri me do kaksh Nirman hetu, K.S.- Vikash Khand Adhikari Khirsu","20-Feb-2026","1500000","19-May-2026"
"6","Repair and Renovation","NA-Construction of rooms and halls in school and colleges","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Rohit Aggarwal Sarswati Vidhya Mandir Inter college padampur Motadhak Kotdwar  Ke  Vidhyalay Me khel maidan nirman tatha pustkalay me paustakon v patrikaon ke kray hetu , K.S.- Nagar Nigam Kotdwar","15-Jul-2026","1200000","NA"
"7","Normal/Others","NA-Construction of toilet blocks","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","Rohit Aggarwal Sarswati Vidhya Mandir Inter college padampur Motadhak Kotdwar me Vidhyalay me Sochalayon Ke nirman hetu, K.S.- Nagar Nigam Kotdwar","15-Jul-2026","800000","NA"
"8","Normal/Others","NA-Development of playground","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Development of playground in Shri Brigadier Vidyadhar Juyal Sanskrit School, Bhuvaneshwari Siddhapeeth, Sitonsyun, Kot, Pauri Garhwal.","24-Jun-2026","500000","NA"
"9","Trust and Society","WS/MP850/2026-2027/244820-Setting up of laboratories","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","SHANTI INTERNATIONAL SACHOOL MEUN LABORATARY KA NIRMAN KARYA","30-Oct-2025","500000","21-Aug-2026"
"10","Normal/Others","WS/MP204/2025-2026/196856-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Interlocking tiles construction on the ramp (path) made during field construction in Rajmati Devi Saraswati Vidya Mandir Inter College Timli, Pauri.","05-May-2025","250000","20-Jun-2025"
