"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Purchase of ambulances (Four, three and two wheelers)","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Purchase of Ambulance for Moutupuri Chatana Rural Dev. Society, Howly.","20-Nov-2025","1200000","NA"
"2","Normal/Others","WS/MP831/2024-2025/132609-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of road from PWD road to Prodip Das house near Tribal Association and Rest House at Barpeta.","18-Jun-2024","1200000","26-Jul-2024"
"3","Normal/Others","WS/MP831/2024-2025/140244-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","Construction of Road from Natunbasti to Ahom pathar via to dharani Barman house at village & G.P. Kamargaon, Barpeta.","11-Sep-2024","2000000","03-Feb-2025"
"4","Normal/Others","WS/MP073/2025-2026/243476-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction of Road from B.P.linked Road to Shiva Mandir at Baradi Barpeta LAC","23-Oct-2025","1500000","06-Feb-2026"
"5","Normal/Others","WS/MP073/2026-2027/243518-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction Of Hirapara Roadside Drain at Barpeta Town","25-Oct-2025","1000000","13-Aug-2026"
"6","Normal/Others","WS/MP18431/2025-2026/249780-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Road from Pradip Das house to Uday Basumatary  house at Bodorutup.","20-Nov-2025","1500000","28-Jan-2026"
"7","Normal/Others","WS/MP18431/2025-2026/249781-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const. of road from B.S. Link Road to Ram Das house at Sundoridia, Budorutup.","20-Nov-2025","1500000","28-Jan-2026"
"8","Normal/Others","WS/MP073/2025-2026/254948-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction of road from Basu Das House to Dipak Das House at Patharhati Barpeta","20-Dec-2025","1100000","06-Feb-2026"
"9","Normal/Others","WS/MP18456/2026-2027/295572-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","Construction of Road from B.B linked road to Upen Das house at Bamun Baradi, Barpeta,Barpeta  Dev. Block","17-Jul-2026","2500000","25-Aug-2026"
"10","Normal/Others","NA-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","Assam","DIBRUGARH(DEPUTY COMMISSIONER DIBRUGARH_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","Development of Swargodeo Chaulung Statue and Park at Tipam","04-Aug-2025","5000000","NA"
"11","Normal/Others","NA-Construction of community centers and community halls","Assam","DIBRUGARH(DEPUTY COMMISSIONER DIBRUGARH_IDA)","Shri Jogen Mohan (2026-32) (2026-2032)","Elected MP","Construction of Public Hall near 1 No. Nasoni Gaon Namghar,Rajgarh Dev.Block","18-Jul-2026","1000000","NA"
"12","Normal/Others","WS/MP073/2026-2027/245537-Construction of community centers and community halls","Assam","DIBRUGARH(DEPUTY COMMISSIONER DIBRUGARH_IDA)","Shri Birendra Prasad Baishya (2025-31) (2025-2031)","Elected MP","Construction of market Cpmplex at LahowalSamabai Samity Land Dibrugarh","02-Nov-2025","2000000","29-Jul-2026"
"13","Normal/Others","WS/MP18431/2025-2026/249762-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const. of Community Hall near Sheoratola Puja Mandap at Nutanpatty, Silchar.","20-Nov-2025","2500000","13-Feb-2026"
"14","Normal/Others","WS/MP18431/2025-2026/249763-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const of Community Hall near Morley High School, Salganga.","20-Nov-2025","1000000","13-Feb-2026"
"15","Normal/Others","WS/MP18431/2025-2026/249764-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const of Community Hall at Kanakpur Daspara, Silchar.","20-Nov-2025","500000","13-Feb-2026"
"16","Normal/Others","WS/MP18431/2025-2026/249765-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const of Community Hall near Narsing Akhra, Tulapatty, Silchar.","20-Nov-2025","1000000","13-Feb-2026"
"17","Normal/Others","WS/MP18431/2025-2026/249766-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const of Community Hall at Nutan Kanchanpur Silchar near Sri Sri Jagannath Mahaprabhu Jew Akhra.","20-Nov-2025","500000","13-Feb-2026"
"18","Normal/Others","WS/MP18431/2025-2026/249767-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const of additional rooms of jatri nivas at Gobindabari, Satsanga Asram Road, Silchar","20-Nov-2025","1000000","13-Feb-2026"
"19","Normal/Others","WS/MP18431/2025-2026/249770-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Const. of Community Hall near Mahaprabhu Radha Gobinda Jew Akhra at Sonai Road Lane No -1, Silchar","20-Nov-2025","1000000","13-Feb-2026"
"20","Normal/Others","NA-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Conference Hall of Barak Upotyaka Banga Sahitya o Sanskriti Sammelan, Central Committee at Chandmari, Tarapur.","20-Nov-2025","1000000","NA"
"21","Normal/Others","WS/MP18431/2025-2026/256048-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Rajmohan Nath Kalashetra at Cachar Jogi Sammelani Complex, Nathpara, Tarapur","30-Dec-2025","2500000","13-Mar-2026"
"22","Normal/Others","NA-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Community Hall near Pabda Market Shed at Pabda GP","04-Jan-2026","1000000","NA"
"23","Normal/Others","NA-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Community Hall at Mankush, Dilkush GP","04-Jan-2026","800000","NA"
"24","Normal/Others","NA-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Community hall at Chengjur Manipuri Basti at Boali Chengjur GP","04-Jan-2026","1000000","NA"
"25","Normal/Others","NA-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Community Hall near Pratap Baba Mandir at Jirighat GP","04-Jan-2026","1000000","NA"
"26","Normal/Others","NA-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Community Hall near Lediacherra Bhairab Mandir at Borthol Lediacherra  GP","04-Jan-2026","1000000","NA"
"27","Normal/Others","WS/MP18431/2025-2026/260615-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Socio-cultural Hall near Chandrapur Shib Bari at Chandrapur, Ambicapur Pt. VII","20-Jan-2026","2500000","05-Mar-2026"
"28","Normal/Others","WS/MP18431/2026-2027/260616-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of a Multi-purpose Hall near Police Parade Ground, Silchar","20-Jan-2026","1000000","27-Aug-2026"
"29","Normal/Others","WS/MP18431/2025-2026/260617-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Community Hall near Abhinaba Club, College Road, Silchar","20-Jan-2026","1000000","05-Mar-2026"
"30","Normal/Others","WS/MP18431/2026-2027/285638-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of a socio-cultural Centre near Agragami Club at Link Road, Silchar","14-Jun-2026","1000000","27-Aug-2026"
"31","Normal/Others","NA-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Boundary wall and renovation of a community Hall near Sri Sri Gauranga Mahaprabhu Akhra at Chorarpar, Dudhpatil","15-Jun-2026","1000000","NA"
"32","Normal/Others","NA-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Community Hall at Chamarkona Shiv Colony at Kaalibari under Tapang GP, Chibitabichiya Pt. IX","15-Jun-2026","1000000","NA"
"33","Normal/Others","NA-Construction of community centers and community halls","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of a Community Hall near Durga Mandap at Ward No. 7, Banglaghat under Chengkuri GP","15-Jun-2026","1000000","NA"
"34","Normal/Others","WS/MP18431/2026-2027/285639-Construction of additional rooms and halls in the existing public and community building","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of additional rooms of Ramakrishna Banaprasthha Mangalam Old Age Home at Ambicapatty, Silchar","14-Jun-2026","1000000","27-Aug-2026"
"35","Normal/Others","WS/MP18431/2025-2026/260610-Construction of boundary walls of existing public and community buildings","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Boundary wall of 628 No. Larangpar LP School, Sadirkhal","20-Jan-2026","800000","05-Mar-2026"
"36","Normal/Others","NA-Purchase of ambulances (Four, three and two wheelers)","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Purchase of Medical van for Governing Body Kalpataru Institute of Entrepreneurs (NGO), Silchar  at Silchar","04-Jan-2026","2000000","NA"
"37","Repair and Renovation","WS/MP18431/2025-2026/249768-Construction of rooms and halls in school and colleges","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Renovation of auditorium of Gurucharan University, Silchar.","20-Nov-2025","1000000","13-Feb-2026"
"38","Normal/Others","WS/MP18431/2025-2026/249769-Construction of public staircase/ stair ghat for public convenience","Assam","CACHAR(DEPUTY COMMISSIONER CACHAR_IDA)","Shri Kanad Purkayastha (2025-31) (2025-2031)","Elected MP","Construction of Chat and Tarpan Ghat near Annapurana Mandir at Annapurna Ghat, Silchar.","20-Nov-2025","4500000","13-Feb-2026"
