"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1215","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","16-Sep-2023","ASSISTANT ENGINEER BARH","Payment Success","1484933"
"2","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1216","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","16-Sep-2023","ASSISTANT ENGINEER BARH","Payment Success","1486089"
"3","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1217","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","19-Sep-2023","ASSISTANT ENGINEER BARH","Payment Success","1484550"
"4","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1218","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","27-Dec-2023","ASSISTANT ENGINEER BARH","Payment Success","1484940"
"5","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1411","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","09-Nov-2023","ASSISTANT ENGINEER DIGHA","Payment Success","1484100"
"6","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1487","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","16-Oct-2024","Assistnat Engineer Mokama","Payment Success","1385546"
"7","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1488","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","24-Feb-2024","Assistnat Engineer Mokama","Payment Success","1486150"
"8","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1489","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","16-Oct-2024","Assistnat Engineer Mokama","Payment Success","1198135"
"9","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1490","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","29-Jan-2024","Assistnat Engineer Mokama","Payment Success","897400"
"10","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1493","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","01-Feb-2024","ASSISTANT ENGINEER BARH","Payment Success","1484800"
"11","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1494","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","06-Mar-2024","ASSISTANT ENGINEER BARH","Payment Success","989898"
"12","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/1495","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","01-Feb-2024","ASSISTANT ENGINEER BARH","Payment Success","989710"
"13","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/12725","SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","08-Jan-2024","ASSISTANT ENGINEER LAEO SHEIKHPURA","Payment Success","999553"
"14","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/12726","SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","08-Jan-2024","ASSISTANT ENGINEER LAEO SHEIKHPURA","Payment Success","799941"
"15","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/12727","SHEIKHPURA(DISTRICT PLANNING OFFICER SHEIKHPURA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","08-Jan-2024","ASSISTANT ENGINEER LAEO SHEIKHPURA","Payment Success","599962"
"16","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP001/2023-2024/12794","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","13-Oct-2023","ASSISTANT ENGINEER BARH","Payment Success","1484400"
