"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP001/2023-2024/1216-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","P.C.C ??? ?? ???????","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","N/A","23-Sep-2023","1486089"
"2","Normal/Others","WS/MP001/2023-2024/1215-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","P.C.C ??? ?? ???????","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","N/A","23-Sep-2023","1484933"
"3","Normal/Others","WS/MP001/2023-2024/1217-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","P.C.C ??? ?? ???????","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","N/A","23-Sep-2023","1484550"
"4","Normal/Others","WS/MP001/2023-2024/12794-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","??? ????? ??? ??????? ??????? ???????? ????? ?? ????????? ?????? ?? ????? ????? ??? ????? ??????  ??  ???? ?????? ?? ???? ??  ??? ??? ??? ??? ??????? ????? | ???? - 15,00,000 (??????  ??? ?????  )","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","Images","03-Mar-2024","1484400"
"5","Normal/Others","WS/MP001/2023-2024/12795-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","??? ????? ??? ??????? ??????? ???????? ????? ?? ????????? ?????? ?? ????? ????? ??? ?????? ??? ?? ???? ?? ???? ???  ?? ???? ??  ??? ??? ??? ??? ??????? ????? | ???? - 15,00,000 (??????  ??? ????? )","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","Images","03-Mar-2024","1484894"
"6","Normal/Others","WS/MP001/2023-2024/12797-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","??? ????? ??? ??????? ??????? ???????? ????? ?? ?????? ?????? ?? ???? ????? ??? ???? ?? ?? ???? ?? ?????  ??  ?? ???? ???? ?? ??? ??? ??? ??? ??? ??????? ????? | ???? - 15,00,000 (??????  ??? ????? )","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","Images","03-Mar-2024","1484900"
"7","Normal/Others","WS/MP001/2023-2024/12796-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","??? ????? ??? ??????? ??????? ???????? ????? ?? ?????? ?????? ?? ???? ????? ??? ??????? ??? ?? ??????? ?? ?? ????? ??  ??? ??? ??? ??? ??????? ????? | ???? - 15,00,000 (??????  ??? ????? )","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","Images","07-Jul-2024","1484974"
"8","Normal/Others","WS/MP001/2023-2024/37288-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Construction work of PCC road from Bathani of Nunnu Lal Mahato to Durga Temple via water tank in village Salalpur of Dhanwa Mubarakpur Panchauat unde Barh Assembly Constituency.                          (estimated amount up to Rs15 lakh).","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","Images","07-Jul-2024","1484810"
"9","Normal/Others","WS/MP001/2023-2024/37287-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Construction work of PCC road from Ratan Paswan house to Mithlesh Mahato house via Ambika Mahato house in Village Salalpur of Dhanwa Mubarakpur, Panchayat under Barh Assembly Constituency. (estimated amount up to Rs15 lakh).","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","Images","03-Mar-2024","1484500"
"10","Normal/Others","WS/MP001/2023-2024/1411-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","???? ????? ??? ?? ???????  ???? ??? ???? ????? ??? ???? ??? ????? ????? ?? ?? ?? ??. ???  ??? ???? ?? ?? ?? ?? ???? ???? ???? ??? ??? ???? ???? ??? ??? ??? ?? ???????","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","Images","03-Mar-2024","1484100"
"11","Normal/Others","WS/MP001/2023-2024/15564-Renovation of ponds and lakes","Bihar","NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA)","Construction Work of Chhat Ghat From Sanokhara Puliya to Near Baba Chauharmal Temple(Chhota Ahara)  in Village Barandi, Panchayat – Barandi, of Rahui Block, Bihar Sharif Assembly of Nalanda District(Estimated Amount 15 Lakhs)","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","N/A","07-Dec-2023","1494114"
"12","Normal/Others","WS/MP001/2023-2024/49366-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Construction work of pcc road on the path going south from Bhim Rai house inBudhara village of Usmanpur panchayat of Athmalgola block of Barh Assembly of patna District.","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","Images","25-Jul-2024","870958"
