"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Construction of common work sheds/ common covered sitting area","Bihar","ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet × 15 feet covered community chaupal.","28-Oct-2024","530000","NA"
"2","Normal/Others","WS/MP18300/2025-2026/172323-Construction of common work sheds/ common covered sitting area","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered community Chaupal","04-Feb-2025","524531","24-Jun-2025"
"3","Normal/Others","WS/MP18300/2025-2026/233634-Construction of additional rooms and halls in the existing public and community building","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction of one room and staircase on the third floor of the already constructed Community Hall","13-Sep-2025","290000","08-Jan-2026"
"4","Normal/Others","WS/MP18300/2026-2027/297523-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III)","21-Jul-2026","85000","14-Aug-2026"
"5","Normal/Others","WS/MP18300/2025-2026/216901-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","84714","27-Aug-2025"
"6","Normal/Others","WS/MP18300/2025-2026/216902-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","84714","27-Aug-2025"
"7","Normal/Others","WS/MP18300/2025-2026/216903-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","84714","27-Aug-2025"
"8","Normal/Others","WS/MP18300/2025-2026/216904-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","84714","27-Aug-2025"
"9","Normal/Others","WS/MP18300/2025-2026/216905-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","85000","27-Aug-2025"
"10","Normal/Others","WS/MP18300/2025-2026/216906-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","84714","27-Aug-2025"
"11","Normal/Others","WS/MP18300/2025-2026/216907-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","85000","27-Aug-2025"
"12","Normal/Others","WS/MP18300/2025-2026/216908-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","84714","27-Aug-2025"
"13","Normal/Others","WS/MP18300/2025-2026/216909-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","84714","27-Aug-2025"
"14","Normal/Others","WS/MP18300/2025-2026/216910-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","84714","27-Aug-2025"
"15","Normal/Others","WS/MP18300/2025-2026/216911-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","85000","08-Jan-2026"
"16","Normal/Others","WS/MP18300/2025-2026/216922-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","85000","27-Aug-2025"
"17","Normal/Others","WS/MP18300/2025-2026/216923-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","84714","27-Aug-2025"
"18","Normal/Others","WS/MP18300/2025-2026/216924-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","84714","27-Aug-2025"
"19","Normal/Others","WS/MP18300/2025-2026/216925-Installing hand pumps","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Installing a big hand pump (India Mark III) at a public place","10-Jul-2025","84714","27-Aug-2025"
"20","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Shri Upendra Kushwaha (2026-32) (2026-2032)","Elected MP","Construction Of P.C.C. road from NH-2 via House Of Ramlakhan Singh up to the house of Basant Singh next to Katharua Health Care Hospital","14-Jul-2026","551110","NA"
"21","Normal/Others","NA-Construction of public libraries and reading rooms","Bihar","BANKA(DISTRICT PLANNING OFFICER BANKA_IDA)","Shri Ram Nath Thakur (2026-32) (2026-2032)","Elected MP","Library building in Chorvaiya village, Ballikitta Panchayat, Amarpur Block.","26-Jul-2026","1500000","NA"
"22","Normal/Others","WS/MP18300/2025-2026/172320-Construction of common work sheds/ common covered sitting area","Bihar","BANKA(DISTRICT PLANNING OFFICER BANKA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction work of 20 feet x 15 feet covered community Chaupal","04-Feb-2025","529900","04-Apr-2025"
"23","Normal/Others","WS/MP18459/2026-2027/294419-Construction of community centers and community halls","Bihar","BANKA(DISTRICT PLANNING OFFICER BANKA_IDA)","Shri Ram Nath Thakur (2026-32) (2026-2032)","Elected MP","Construction of a community hall in Village Gadichak Assi (Singhiya Tola), Ward No. 15, Batsar Panchayat, Dhoraiya Block","12-Jul-2026","1499300","10-Aug-2026"
"24","Normal/Others","NA-Construction of community centers and community halls","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of Community Hall in Ahirwaliya, Chautarwa lagunhaha","30-Jul-2026","800000","NA"
"25","Normal/Others","WS/MP052/2025-2026/221741-Construction of community centers and community halls","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of Samudayik Bhawan","24-Jul-2025","698600","11-Dec-2025"
"26","Normal/Others","WS/MP052/2025-2026/221743-Construction of community centers and community halls","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction Sanskriti manch","24-Jul-2025","499500","06-Oct-2025"
