"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP001/2023-2024/14279-Construction of community centers and community halls","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","Construction Work of Community Hall Near Baba Chauharmal Temple Located in Ward No -03 in Village Dariyapur of Dariyapur Panchayat of Mokama Block, Mokama Assembly of Patna District (Estimated Amount 15 Lakhs)","29-Aug-2023","21-Feb-2024","1491483","Physical Inspection"
"2","Trust and Society","WS/MP18300/2026-2027/148907-Construction of community centers and community halls","Bihar","NAWADA(District Planning Officer NAWADA_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Reconstruction of Chandel Bhawan 48 feet BY 24.50 feet","21-Oct-2024","13-Apr-2026","1499900","Sanction"
"3","Normal/Others","WS/MP001/2025-2026/196983-Construction of community centers and community halls","Bihar","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","Construction of Building.  Community  Hall Near Durga Mandir , Block  Mohiuddin Nagar , Panchyat Raspur  Pitasia , village Sultanpur, District  Samastipur","07-May-2025","15-Jul-2025","7499800","Sanction"
"4","Normal/Others","WS/MP18300/2025-2026/198846-Construction of community centers and community halls","Bihar","HAZARIBAGH(DEPUTY COMMISSIONER HAZARIBAGH_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","Construction of community centers","12-May-2025","10-Sep-2025","1000000","Work partially Completed"
"5","Normal/Others","WS/MP041/2025-2026/205815-Construction of community centers and community halls","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Faiyaz Ahmad (2022-28) (2022-2028)","Elected MP","Rahika Prakhand ke Kakraul Uttari Panchayat ke Parsa Gown me Samudhayak Bhawan one Hall","02-Jun-2025","06-Oct-2025","982992","Physical Inspection"
"6","Normal/Others","WS/MP18341/2025-2026/217197-Construction of community centers and community halls","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Shri Sanjay Kumar Jha (2024-30) (2024-2030)","Elected MP","Construction work of community building in ward no.-11 of Vill-Arariya under Arariya Sangram Panchayat.","11-Jul-2025","27-Sep-2025","990000","Vendor Identification"
"7","Normal/Others","WS/MP18332/2025-2026/217322-Construction of community centers and community halls","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","COMMUNITY HALL - MADHUBANI MADHEPUR PANCHAYAT  KARHARA, VILL- CHUNNI, ME DIHWAR ASTHAN KE BAGAL ME  CONSTRUCTION OF COMMUNITY HALL WITH BRICKS WORK.","12-Jul-2025","12-Aug-2025","1399900","Work Completed"
"8","Normal/Others","WS/MP052/2025-2026/221741-Construction of community centers and community halls","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of Samudayik Bhawan","24-Jul-2025","11-Dec-2025","698600","Vendor Identification"
"9","Normal/Others","WS/MP052/2025-2026/221743-Construction of community centers and community halls","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction Sanskriti manch","24-Jul-2025","06-Oct-2025","499500","Vendor Identification"
"10","Repair and Renovation","WS/MP18407/2025-2026/223741-Construction of community centers and community halls","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Manan Kumar Mishra (2024-28) (2024-2028)","Elected MP","Construction work of community building, toilets etc in place of the old demolished community hall of Suryapur Panchayat of Piprakothi block","31-Jul-2025","27-Aug-2025","1490559","Physical Inspection"
"11","Normal/Others","WS/MP18342/2025-2026/230645-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Under the Raghopur block, the construction of a community building (large hall) with a hand pump, toilet, and two urinals for the use of disabled persons and the general public is planned on the available government land near the Raghopur connection ramp from the Kachhi-Dargah-Bidupur six lane.","02-Sep-2025","08-Jan-2026","1499000","Sanction"
"12","Normal/Others","WS/MP18342/2025-2026/230651-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building (large hall) with a borewell hand pump, one toilet, and two urinals on the available government land in Rustampur Panchayat under Raghopur Block.","02-Sep-2025","08-Jan-2026","1499000","Sanction"
"13","Normal/Others","WS/MP18342/2025-2026/230652-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building (large hall) with a borewell pump, one toilet, and two urinals on the government land available in the Malikpur Panchayat under the Raghopur block.","02-Sep-2025","14-Jan-2026","1499000","Sanction"
"14","Normal/Others","WS/MP18342/2025-2026/230653-Construction of community centers and community halls","Bihar","VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA)","Shri Sanjay Yadav (2024-30) (2024-2030)","Elected MP","Construction of a community building (large hall) with a borewell hand pump, one toilet, and two urinals on the available government land in Baharampur Panchayat under Raghopur Block.","02-Sep-2025","08-Jan-2026","1499000","Sanction"
