"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP081/2023-2024/1774-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of Community Hall in Gagari village under Ormanjhi Block","29-Jun-2023","26-Sep-2023","1450000","Physical Inspection"
"2","Normal/Others","WS/MP081/2023-2024/1784-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of laboratory room at Premchand High School Mesra","29-Jun-2023","26-Sep-2023","1450000","Physical Inspection"
"3","Normal/Others","WS/MP081/2023-2024/1790-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of Community Hall in palu village under Ormanjhi Block","29-Jun-2023","26-Sep-2023","1450000","Physical Inspection"
"4","Normal/Others","WS/MP081/2023-2024/1793-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of two nos. of room, bathroom along with toilet in 1st floor of seva Bharti building at Jonha under angara block","29-Jun-2023","04-Jan-2024","1450000","Physical Inspection"
"5","Normal/Others","WS/MP081/2023-2024/1794-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of community hall in first floor of Sarashwati shishu-mandir under Ormanjhi block","29-Jun-2023","26-Sep-2023","1450000","Physical Inspection"
"6","Normal/Others","WS/MP081/2023-2024/1798-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of community hall in sundar vihar, ward no. -10, kokar under ranchi nagar nigam","29-Jun-2023","26-Sep-2023","1450000","Physical Inspection"
"7","Normal/Others","WS/MP081/2023-2024/1800-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of community hall in baridih village under Ormanjhi block","29-Jun-2023","26-Sep-2023","1450000","Physical Inspection"
"8","Normal/Others","WS/MP081/2023-2024/1801-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of community hall near Saraswati shishu mandir, sukurhuttu under kanke block","29-Jun-2023","26-Sep-2023","1450000","Physical Inspection"
"9","Normal/Others","WS/MP081/2023-2024/1802-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of community hall near Saraswati shishu mandir, purni rai under khelari block","29-Jun-2023","26-Sep-2023","1450000","Physical Inspection"
"10","Normal/Others","WS/MP081/2023-2024/1809-Construction of community centers and community halls","Jharkhand","KHUNTI(DEPUTY COMMISSIONER KHUNTI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of community hall in sahilong  in dumargadi panchayat under karra block","29-Jun-2023","29-Aug-2023","1200000","Vendor Identification"
