"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","NA-Construction of community centers and community halls","Manipur","BISHNUPUR(Deputy Commissioner Bishnupur_ida)","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","Civic Amenity Programme for Yumnam Khunou Maning Leikai Community Hall, Bishnupur to be given to Nongaan Enterprises","24-Aug-2026","3000000","NA"
"2","Normal/Others","NA-Construction of community centers and community halls","Manipur","IMPHAL WEST(Deputy Commissioner Imphal West MPLADS_IDA)","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","Construction of community center -Young Physique Union club at Lalambung Makhong","29-Aug-2026","1500000","NA"
"3","Normal/Others","NA-Construction of community centers and community halls","Manipur","THOUBAL(Deputy Commissioner Thoubal MPLADS_ida)","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","Construction of Community Hall at Sapam Laibung Leikai, Khongjom","29-Aug-2026","1500000","NA"
"4","Normal/Others","NA-Construction of community centers and community halls","Manipur","JIRIBAM(Deputy Commissioner Jiribam MPLADS_ida)","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","Construction of Community Hall at Jiribam Dibong Khunou, Ward No. 6","29-Aug-2026","1500000","NA"
"5","Trust and Society","NA-Construction of common work sheds/ common covered sitting area","Manipur","IMPHAL WEST(Deputy Commissioner Imphal West MPLADS_IDA)","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","Construction of Building for Training Institution - Human Development Agency","24-Aug-2026","5000000","NA"
"6","Normal/Others","NA-Construction of bus-sheds or bus-stops","Manipur","IMPHAL EAST(Deputy Commissioner Imphal East_IDA)","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","Construction of Bus Stand at Kangla Sangomsang Lambi Anouba Lamkhai, Ukhrul Road","29-Aug-2026","1000000","NA"
"7","Repair and Renovation","WS/MP18468/2026-2027/304510-Construction of roads, link roads, pathways or any other road with or without drainage system","Manipur","TAMENGLONG(Deputy Commissioner Tamenglong_ida)","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","Improvement IVR including providing Pucca Drainage from ITS to Riniuluang at Chiuluan Chakadai, Tamenglong - Earth Work, Drain, Cement Concrete flooring - work to be given to Shri Akinsin Gangmei, Social Worker","17-Aug-2026","3000000","30-Aug-2026"
"8","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Manipur","IMPHAL WEST(Deputy Commissioner Imphal West MPLADS_IDA)","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","Construction of road at Warok Sabal Road, Haorang Keirel Part-II, Ward No. 10, Haorang Khunou Warok Sabal","29-Aug-2026","1500000","NA"
"9","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Manipur","BISHNUPUR(Deputy Commissioner Bishnupur_ida)","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","Development and upgradation work of Salam Road (IVR), Nachou Maning Leikai, Ward No. 6","29-Aug-2026","750000","NA"
"10","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Manipur","BISHNUPUR(Deputy Commissioner Bishnupur_ida)","Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032)","Elected MP","Development and upgradration work of Khongnang Karak Road, Khoijuman Ward No. 5","29-Aug-2026","750000","NA"
"Grand Total"," "," "," "," "," "," "," "," "," ","1,95,00,000"
