"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56788","KIPHIRE(Deputy Commissioner Kiphire_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","04-Mar-2024","TRIBAL ENTERPRISE","Payment Success","1250000"
"2","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56788","KIPHIRE(Deputy Commissioner Kiphire_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","26-Jul-2024","TRIBAL ENTERPRISE","Payment Success","1250000"
"3","Nagaland","Construction of additional rooms and halls in the existing public and community building","WS/MP233/2023-2024/56789","Shamator(Deputy Commissioner Shamator_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Jan-2024","Y RHEKHUM","Payment Success","10500000"
"4","Nagaland","Construction of rooms and halls in school and colleges","WS/MP233/2023-2024/56790","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","23-Dec-2023","T YAHNA KONYAK","Payment Success","5000000"
"5","Nagaland","Construction of rooms and halls in school and colleges","WS/MP233/2023-2024/56790","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-May-2024","T YAHNA KONYAK","Payment Success","5000000"
"6","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56800","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","22-Dec-2023","YAPHO KONYAK","Payment Success","750000"
"7","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2023-2024/56800","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Mar-2024","YAPHO KONYAK","Payment Success","750000"
"8","Nagaland","Construction of rooms and halls in school and colleges","WS/MP233/2023-2024/56811","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","23-Dec-2023","A PEIHWANG WANGSA","Payment Success","2500000"
"9","Nagaland","Construction of rooms and halls in school and colleges","WS/MP233/2023-2024/56811","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","15-Jun-2024","A PEIHWANG WANGSA","Payment Success","2500000"
"10","Nagaland","Construction of boundary walls of existing public and community buildings","WS/MP233/2023-2024/56813","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","24-Dec-2023","PHANWANG KONYAK","Payment Success","500000"
"11","Nagaland","Construction of boundary walls of existing public and community buildings","WS/MP233/2023-2024/56813","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","29-Apr-2024","PHANWANG KONYAK","Payment Success","500000"
"12","Nagaland","Providing drains and gutters for public drainage","WS/MP233/2023-2024/56815","LONGLENG(Deputy Commissioner Longleng_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","27-Feb-2024","C MANLANG ANGTO","Payment Success","500000"
"13","Nagaland","Providing drains and gutters for public drainage","WS/MP233/2023-2024/56815","LONGLENG(Deputy Commissioner Longleng_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","09-Mar-2024","C MANLANG ANGTO","Payment Success","500000"
"14","Nagaland","Construction of public toilets and bathrooms","WS/MP233/2023-2024/56818","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","23-Dec-2023","MANLI KONYAK","Payment Success","500000"
