"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/72509","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","29-Apr-2024","MEMBER SECY OB AND OC WWB BBSR","Payment Success","10000"
"2","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/72509","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","29-Apr-2024","TAHASILDAR AUL","Payment Success","18761"
"3","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/72509","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","29-Apr-2024","BDO AUL","Payment Success","170904"
"4","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/72509","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","29-Apr-2024","TAPASWINI MOHAPATRA","Payment Success","800335"
"5","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/72510","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","17-May-2024","MEMBER SECY OB AND OC WWB BBSR","Payment Success","10000"
"6","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/72510","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","17-May-2024","TAHASILDAR AUL","Payment Success","18786"
"7","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/72510","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","17-May-2024","BDO AUL","Payment Success","80289"
"8","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP131/2023-2024/72510","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","17-May-2024","TAPASWINI MOHAPATRA","Payment Success","890925"
"9","Odisha","Construction of community centers and community halls","WS/MP131/2023-2024/75414","Subarnapur(District Collector Subarnapur_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","28-Oct-2025","SAHADEV PRADHAN JE","Payment Success","372980"
"10","Odisha","Construction of community centers and community halls","WS/MP131/2023-2024/75416","Subarnapur(District Collector Subarnapur_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","11-Aug-2025","SANTOSH KUMAR PANDA","Payment Success","256969"
