"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP131/2023-2024/75426-Construction of community centers and community halls","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Construction of Community Centre At - Uhanga","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","N/A","22-Apr-2024","500000"
"2","Normal/Others","WS/MP131/2023-2024/72509-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Construction of CC Road from RD Road to Nadi Ghat, Village- Athamania, G.P. : Ekamania","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","14-Aug-2024","1000000"
"3","Normal/Others","WS/MP131/2023-2024/72510-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Construction of CC Road Dhakhinadia, Harijan Sahi, G.P. - Ekamania","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","21-Aug-2024","1000000"
"4","Normal/Others","WS/MP131/2023-2024/75842-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of road from Court Road to Sapneswar Mandir","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","N/A","27-May-2024","1000000"
"5","Normal/Others","WS/MP131/2023-2024/75781-Construction of public libraries and reading rooms","Odisha","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Construction of Rasanga Village Library at Rasanga, Block- Gania","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","N/A","18-Jul-2025","1000000"
"6","Normal/Others","WS/MP131/2023-2024/75779-Development of playground","Odisha","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Provision for Flood Light South West side at Play Ground (Khelapadia), Nayagarh Municipality","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","26-Jun-2024","500000"
"7","Normal/Others","WS/MP131/2023-2024/107174-Development of playfields and sports grounds","Odisha","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","Provision for Flood Light North West Side at Playground (Khelapadia) - Nayagarh Municipality","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","26-Jun-2024","500000"
"8","Normal/Others","WS/MP131/2023-2024/75804-Construction of community centers and community halls","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of paber Block fixing in front of Bijadihi Community Centre","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","19-Mar-2026","300000"
"9","Normal/Others","WS/MP131/2023-2024/75831-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of Guard Wall with C.C. Road PMGSY Road to Urmei Hockey Field GP Urmei, Nuagaon Block","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","22-Apr-2025","700000"
"10","Normal/Others","WS/MP131/2023-2024/75835-Providing drains and gutters for public drainage","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of CC drain with Slape from Illyas House to Irshad House in Mistry Daffai (Birmitrapur Municipality)","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","22-Apr-2025","300000"
"11","Normal/Others","WS/MP131/2023-2024/75834-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of CC Road at Bakutola Rameswari House to Mangal Mundari House Teterkela GP, Nuagaon Block","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","22-Apr-2025","300000"
"12","Normal/Others","WS/MP131/2023-2024/75833-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of CC Road Peno Singh House to Pagdu Badaik House at Barliepta Jagdatoli, At – Barilepta, Nuagaon Block","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","07-Apr-2025","300000"
"13","Normal/Others","WS/MP131/2023-2024/75832-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of C.C. Road At Sorda Bhokta Toli Patpahgar Sorda GP, Nuagaon Block","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","15-Apr-2025","400000"
"14","Normal/Others","WS/MP131/2023-2024/75816-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of C.C. Road from A.w.c. to Herman house, Bramhamanibahal, in Lulkidihi, Balisankara Block, Sundargarh","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","31-Jul-2024","400000"
"15","Normal/Others","WS/MP131/2023-2024/75818-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of C.C. road at Chhapal, near R.C. Church road in Sagbahal, Balisankara Block, SUndargarh","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","01-Aug-2024","400000"
"16","Normal/Others","WS/MP131/2023-2024/75803-Construction of rooms and halls in school and colleges","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Improvement of Road from Kudabaga U.P. School to Baghaiaberna Road","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","19-Mar-2026","200000"
"17","Normal/Others","WS/MP131/2023-2024/75841-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of CC Road from Kedia House to Indane Gas Godown and adjacent Galli","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","N/A","28-Aug-2024","1000000"
"18","Normal/Others","WS/MP131/2023-2024/75836-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","Construction of CC Road Jagal Village End and to Jharkhan Border Jaraikela GP (Bisra Block)","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","08-Oct-2024","300000"
"19","Normal/Others","WS/MP131/2023-2024/75427-Construction of community centers and community halls","Odisha","PURI(DISTRICT COLLECTOR PURI_IDA)","Construction of Community Centre At - Karanjisahi (Bishntupur)","Dr. Sasmit Patra (2022-28) (NaN-NaN)","Elected MP","Images","01-Nov-2024","464746"
