"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP138/2025-2026/23246-Construction of community centers and community halls","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Adibasi Sahi Village Community Center at Warn No. 11, Block Badamba, Village Jhajia,","19-Sep-2023","08-May-2025","100000","Sanction"
"2","Normal/Others","WS/MP138/2025-2026/23247-Construction of community centers and community halls","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Village Mandap Community Center Ward No. 9, Block Badamba, Village Jhajia","19-Sep-2023","08-May-2025","100000","Sanction"
"3","Normal/Others","WS/MP138/2025-2026/23249-Construction of community centers and community halls","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Jagannath Seva Sangha Community Center at Nuasahi, Block Badamba, Village Sankhamery","19-Sep-2023","08-May-2025","150000","Sanction"
"4","Normal/Others","WS/MP138/2023-2024/23251-Construction of community centers and community halls","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Nuasolabandha Community Center, Block Narsinghpur, Village Champerwar","19-Sep-2023","04-Dec-2023","250000","Sanction"
"5","Normal/Others","WS/MP138/2023-2024/23252-Construction of community centers and community halls","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Jawan Community Center, Block Narsinghpur Village Paikapadapatana","19-Sep-2023","04-Dec-2023","200000","Sanction"
"6","Normal/Others","WS/MP138/2023-2024/23253-Construction of community centers and community halls","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Laudi Mandap Community Center, Block Narsinghpur Village Rushipada","19-Sep-2023","04-Dec-2023","100000","Physical Inspection"
"7","Normal/Others","WS/MP138/2023-2024/23254-Construction of community centers and community halls","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of R.K. Mahila Community Center at Lakyanagar, Block Narsinghpur Village Regeda","19-Sep-2023","04-Dec-2023","150000","Sanction"
"8","Normal/Others","WS/MP138/2023-2024/23255-Construction of community centers and community halls","Odisha","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Gramya Cultural Center Community Center, Naupalli, Block Narsinghpur Village Kakudia","19-Sep-2023","04-Dec-2023","150000","Sanction"
"9","Normal/Others","WS/MP138/2023-2024/69149-Construction of community centers and community halls","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Meditation Room for Yoga & Music Learning Centre at Municipal High School, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","24-Dec-2023","24-Jan-2024","1000000","Sanction"
"10","Normal/Others","WS/MP138/2023-2024/72141-Construction of community centers and community halls","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Board Room of Women’s Capacity Building Centre under public recreational facilities, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","30-Dec-2023","24-Jan-2024","1000000","Sanction"
