"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Tripura","Construction of public libraries and reading rooms","WS/MP18412/2024-2025/152388","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","03-Sep-2025","DIBYAYAN SAHA","Payment Success","2131288"
"2","Tripura","Construction of public libraries and reading rooms","WS/MP18412/2024-2025/152388","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","13-Oct-2025","DIBYAYAN SAHA","Payment Success","2198661"
"3","Tripura","Construction of community centers and community halls","WS/MP18412/2024-2025/152491","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","18-Oct-2025","BADAL MIAH","Payment Success","639572"
"4","Tripura","Construction of community centers and community halls","WS/MP18412/2024-2025/152491","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","02-Mar-2026","BADAL MIAH","Payment Success","778255"
"5","Tripura","Construction of community centers and community halls","WS/MP18412/2024-2025/152510","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","01-Nov-2025","BADAL MIAH","Payment Success","358760"
"6","Tripura","Construction of community centers and community halls","WS/MP18412/2024-2025/152510","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","02-Mar-2026","BADAL MIAH","Payment Success","641240"
"7","Tripura","Construction of rooms and halls in school and colleges","WS/MP18412/2024-2025/152512","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","24-Nov-2025","Kishore Kumar Choudhury","Payment Success","1664209"
"8","Tripura","Construction of rooms and halls in school and colleges","WS/MP18412/2024-2025/152512","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","13-Mar-2026","Kishore Kumar Choudhury","Payment Success","821567"
"9","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/152546","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","24-Jul-2025","Tarasankar Motor private limited","Payment Success","1338787"
"10","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2024-2025/152550","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","02-Jun-2025","Yash Sales Co","Payment Success","1000000"
"11","Tripura","Construction of rooms and halls in school and colleges","WS/MP18412/2024-2025/152562","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","07-Jul-2025","Hiresh Kanti Dhar","Payment Success","1334800"
"12","Tripura","Construction of rooms and halls in school and colleges","WS/MP18412/2024-2025/152562","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","25-Sep-2025","Hiresh Kanti Dhar","Payment Success","1011154"
"13","Tripura","Construction of rooms and halls in school and colleges","WS/MP18412/2024-2025/152562","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","06-Mar-2026","Hiresh Kanti Dhar","Payment Success","152236"
"14","Tripura","Construction of rooms and halls in school and colleges","WS/MP18412/2025-2026/152599","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","24-Mar-2026","Gopal Krishna Talapatra","Payment Success","968663"
"15","Tripura","Construction of rooms and halls in school and colleges","WS/MP18412/2025-2026/152599","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","21-Aug-2026","Gopal Krishna Talapatra","Payment Success","930145"
"16","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/176709","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","18-Sep-2025","Jain Udyog","Payment Success","901000"
"17","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/176712","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","18-Sep-2025","Jain Udyog","Payment Success","901000"
"18","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/176714","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","18-Sep-2025","Jain Udyog","Payment Success","901000"
"19","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/176716","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","18-Sep-2025","Jain Udyog","Payment Success","901000"
"20","Tripura","Development of playground","WS/MP18412/2025-2026/176718","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","23-Feb-2026","ABHIJIT GUHA","Payment Success","1285890"
"21","Tripura","Construction of rooms and halls in school and colleges","WS/MP18412/2025-2026/176728","South Tripura(DISTRICT MAGISTRATE and COLLECTOR SOUTH TRIPURA DISTRICT_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","07-Apr-2026","PRADIP CHAKRABORTY","Payment Success","1470141"
"22","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2024-2025/176735","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","02-Jun-2025","Yash Sales Co","Payment Success","290000"
"23","Tripura","Development of public parks","WS/MP18412/2025-2026/210477","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","10-Nov-2025","Kalyan Debroy","Payment Success","999992"
"24","Tripura","Setting up of kitchen and pantries","WS/MP18412/2025-2026/213923","Unakoti(DISTRICT MAGISTRATE and COLLECTOR  UNOKOTI_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","29-May-2026","BABAN CHOUDHURY","Payment In-Progress","1094786"
"25","Tripura","Setting up of kitchen and pantries","WS/MP18412/2025-2026/213923","Unakoti(DISTRICT MAGISTRATE and COLLECTOR  UNOKOTI_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","23-Jul-2026","BABAN CHOUDHURY","Payment In-Progress","1094786"
"26","Tripura","Construction of boundary walls of existing public and community buildings","WS/MP18412/2025-2026/213925","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","20-Mar-2026","KAUSHIK DAS","Payment Success","582997"
