"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP18412/2024-2025/152550-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Providing 2 nos. Mahindra Stiller Auto 8 Seater Golf Cart for AGMC GBP Hospital Agartala.","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","29-Jul-2026","1000000"
"2","Normal/Others","WS/MP18412/2024-2025/176735-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Additional fund for providing 2 nos. Mahindra Stiller Auto 8 sitter Golf Cart for AGMC GBP Hospital, Agartala","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","29-Jul-2026","290000"
"3","Trust and Society","WS/MP18412/2024-2025/152562-Construction of rooms and halls in school and colleges","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Construction of Class Room Building on 2nd Floor of Academic Building of Rajarshi College of Education & Skill under Rajarshi Welfare Trust at Bagbari, Lembucherra, West Tripura","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","15-Jul-2026","2498190"
"4","Normal/Others","WS/MP18412/2025-2026/152546-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Providing one Mahindra Bolero Neo Ambulance at the disposal of Pioneer Youth Club at Amtila, Borgul, Kadamtala, North Tripura","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","28-Jul-2026","1338787"
"5","Normal/Others","WS/MP18412/2025-2026/176709-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Maruti Suzuki EECO 1.2L Ambulance for Green Arrow Club, East Pratapgarh, Agartala, Ward No-43 (to be registered in the name of secretary Green Arrow Club, East Pratapgarh, Agartala)","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","29-Jul-2026","901000"
"6","Normal/Others","WS/MP18412/2025-2026/176712-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Providing Maruti Suzuki EECO Ambulance 1.2L for Blue Lotus Club, Dhaleswar Road No.1, Agartala West Tripura","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","29-Jul-2026","901000"
"7","Normal/Others","WS/MP18412/2025-2026/176714-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Maruti Suzuki Eeco Ambulance 1.2 L for Vivekananda Sangha, College tilla, Agartala.","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","29-Jul-2026","901000"
"8","Normal/Others","WS/MP18412/2025-2026/176716-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Maruti Suzuki Eeco Ambulance 1.2 L Bir Bikram Club Melaghar Paul Para, Ward No-13, Sonamura Sub Divison.","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","29-Jul-2026","901000"
"9","Normal/Others","WS/MP18412/2024-2025/152491-Construction of community centers and community halls","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Construction of a Community Hall at the premises of Dhaleswar Bedobani Sangha at Dhaleswar Road no-3, Agartala.","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","07-Aug-2026","1417827"
"10","Normal/Others","WS/MP18412/2025-2026/210477-Development of public parks","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Creation of Green Park along with erection of Fiber Statue of Maharaja Bir Bikram Kishore Manikya Bahadur with suitable base in the premises of BBMC, Agartala.","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","31-Jan-2026","999992"
"11","Normal/Others","WS/MP18412/2024-2025/152510-Construction of community centers and community halls","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Construction of a Community Hall at the premises of Volcan Club, Nutan Palli, Dhaleswar, Agartala.","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","07-Aug-2026","1000000"
"12","Normal/Others","WS/MP18412/2024-2025/152512-Construction of rooms and halls in school and colleges","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Construction of Dining Hall including Kitchen (60`X20`) with fixed RCC dining table having glazed tiles and sitting provision along with 10 units of hand washing basin for Mid-day meal purpose in Bijoy Kumar Girls Class XII School premises at Agartala.","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","07-Aug-2026","2485776"
"13","Normal/Others","WS/MP18412/2025-2026/213926-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Providing Tata Ambulance for Yuvak Sangha, Madhya Bhubanban, Agartala","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","29-Jul-2026","892865"
"14","Normal/Others","WS/MP18412/2025-2026/220828-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Providing 1 (One) TaTa Magic Ambulance for Anga Sanchalani Club, Kamar Pukur Par, Dhaleswar, Agartala, Ward - 23","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","29-Jul-2026","892865"
"15","Normal/Others","WS/MP18412/2025-2026/254631-Purchase of ambulances (Four, three and two wheelers)","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Providing 1 (One) Maruti Suzuki Eeco Ambulance 1.2L for National Law University, Tripura at Narsingarh","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","29-Jul-2026","886811"
"16","Normal/Others","WS/MP18412/2025-2026/176718-Development of playground","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Development of playground under the management of Saroj Sangha, Jagaharimura, Agartala West Tripura.","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","07-Aug-2026","1285890"
"17","Normal/Others","WS/MP18412/2025-2026/241072-Providing CCTV camera system for security of public areas","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Installation of CCTV surveillance system at Netaji Subhash Vidyaniketan, Agartala, Sadar","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","07-Aug-2026","430000"
"18","Normal/Others","WS/MP18412/2025-2026/241063- Providing sports equipment, except consumable items","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Providing of Hand Roller and Grass Cutter machine for the cricket ground of Modern Club, Shibnagar, Agartala.","Shri Rajib Bhattacharjee (2024-28) (NaN-NaN)","Elected MP","Images","28-Jul-2026","499050"
"Grand Total"," "," "," "," "," "," "," "," "," ","1,95,22,053"
