"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP18412/2024-2025/152491-Construction of community centers and community halls","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of a Community Hall at the premises of Dhaleswar Bedobani Sangha at Dhaleswar Road no-3, Agartala.","14-Nov-2024","1417827","29-Jan-2025"
"2","Normal/Others","WS/MP18412/2024-2025/152510-Construction of community centers and community halls","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of a Community Hall at the premises of Volcan Club, Nutan Palli, Dhaleswar, Agartala.","14-Nov-2024","1000000","29-Jan-2025"
"3","Normal/Others","NA-Construction of community centers and community halls","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of community cum shelter house near the house of Ashalata Hrishidas, Hrishidas Para, Ward No-43, AMC, (Land mark- Hrishidas Para Shib Mandir)","24-Feb-2026","2500000","NA"
"4","Normal/Others","NA-Construction of community centers and community halls","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Community hall near the house of Samar Chakraborty, Jagaharimura, Ward No-31, AMC (Land Mark-Shri Shri Anandamayi Kalimata Bari)","24-Feb-2026","2000000","NA"
"5","Normal/Others","WS/MP18412/2026-2027/270591-Construction of community centers and community halls","Tripura","Unakoti(DISTRICT MAGISTRATE and COLLECTOR  UNOKOTI_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Additional fund for the construction of Dining Hall cum Kitchen and Study Centre for the ST Students at Ramkrishna Mission Ashram, Kailashahar, Unakoti Tripura","24-Feb-2026","488999","13-May-2026"
"6","Normal/Others","NA-Construction of community centers and community halls","Tripura","Dhalai(DISTRICT MAGISTRATE DHALAI_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of community centre at 82 Mile Bazar under Dhalai District.","25-Jun-2026","1500000","NA"
"7","Normal/Others","WS/MP18412/2024-2025/152388-Construction of public libraries and reading rooms","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Const. of Single Storey RCC Library Building at Ramkrishna Mission , A.K.Road , Dhaleswar, Agartala","14-Nov-2024","4500000","29-Jan-2025"
"8","Normal/Others","WS/MP18412/2026-2027/242303-Construction of public libraries and reading rooms","Tripura","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of Library Building at Datta Tilla, Near Kalibari, under Badharghat  A.C area in West Tripura district","24-Oct-2025","600000","15-Jul-2026"
"9","Normal/Others","NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tripura","Unakoti(DISTRICT MAGISTRATE and COLLECTOR  UNOKOTI_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of a waiting shed with a firewood storage room at Chandipur Cremation Center (Ward No 01) under Chandipur G.P. of Chandipur R.D Block, Unakoti District.","25-Jun-2026","1074000","NA"
"10","Normal/Others","WS/MP18412/2026-2027/270580-Construction of additional rooms and halls in the existing public and community building","Tripura","South Tripura(DISTRICT MAGISTRATE and COLLECTOR SOUTH TRIPURA DISTRICT_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","Construction of new school building  at Sabroom English Medium H.S.School, Sabroom, South Tripura (Phase-2)","24-Feb-2026","2500000","13-Jul-2026"
