"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","West Bengal","Construction of footpaths and pedestrian ways","WS/MP217/2024-2025/158718","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","09-Dec-2025","MUKHERJEE CONSTRUCTION","Payment Success","1096933"
"2","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP217/2024-2025/171179","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","30-Jul-2025","FORCE MOTORS LIMITED","Payment Success","17712244"
"3","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP217/2024-2025/171179","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","30-Jul-2025","WEST BENGAL MEDICAL SERVICES CORPORATION LIMITED","Payment Success","177122"
"4","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP217/2024-2025/171179","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","04-Nov-2025","WEST BENGAL MEDICAL SERVICES CORPORATION LIMITED","Payment Success","97055"
"5","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP217/2024-2025/171179","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","04-Nov-2025","KHIVRAJ MOTORS","Payment Success","9705500"
"6","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP217/2024-2025/171179","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","15-Dec-2025","WEST BENGAL MEDICAL SERVICES CORPORATION LIMITED","Payment Success","58233"
"7","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP217/2024-2025/171179","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","15-Dec-2025","KHIVRAJ MOTORS","Payment Success","5823300"
"8","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP217/2024-2025/171179","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","16-Jan-2026","WEST BENGAL MEDICAL SERVICES CORPORATION LIMITED","Payment Success","38822"
"9","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP217/2024-2025/171179","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","16-Jan-2026","KHIVRAJ MOTORS","Payment Success","3882200"
"10","West Bengal","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP217/2024-2025/171179","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Shri Mohammed Nadimul Haque (2024-30) (2024-2030)","Elected MP","07-Feb-2026","WEST BENGAL MEDICAL SERVICES CORPORATION LIMITED","Payment Success","655"
