"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP893/2025-2026/168130-Development of playfields and sports grounds","West Bengal","Alipurduar(DISTRICT MAGISTRATE ALIPURDUARS_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Development of Sports Facility at Parade Ground, Alipurduar","22-Jan-2025","999806","18-Aug-2025"
"2","Normal/Others","WS/MP893/2026-2027/265174-Renovation of ponds and lakes","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Development of Mohona Turukbandh 2 nos. bathing ghat","03-Feb-2026","200000","28-Jul-2026"
"3","Normal/Others","WS/MP893/2026-2027/265048-Development of playfields and sports grounds","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Dungrikuli Football Ground goalpost","03-Feb-2026","70000","28-Jul-2026"
"4","Normal/Others","WS/MP893/2026-2027/265049-Development of playfields and sports grounds","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Polashmoni Football Ground goalpost","03-Feb-2026","70000","28-Jul-2026"
"5","Normal/Others","NA-Purchase of non-conventional energy system and devices for community use","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Installation of Solar Submersible pump with multi-tap water tank at Kalpathar Academy,JL-116,Plot no-1, Kalpathar Gram Panchayat under development block Bankura-I","18-Jul-2025","500000","NA"
"6","Normal/Others","NA-Purchase of non-conventional energy system and devices for community use","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Installation of Solar Submersible pump with multi-tap water tank at Mankanali,JL-225,Plot no-1291-92,Mankanali Gram Panchayat under development block Bankura-II","18-Jul-2025","500000","NA"
"7","Normal/Others","WS/MP893/2026-2027/265065-Purchase of non-conventional energy system and devices for community use","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","lnstallation of Solar High Mast Light at Khatra II Bus Stand","03-Feb-2026","500000","28-Jul-2026"
"8","Normal/Others","WS/MP893/2026-2027/265069-Purchase of non-conventional energy system and devices for community use","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Installation of Solar light in Khatra-II near Khatra high school","03-Feb-2026","60000","28-Jul-2026"
"9","Normal/Others","NA-Purchase of non-conventional energy system and devices for community use","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","lnstallation of Solar Light near Nobri Damodar Mandir","03-Feb-2026","60000","NA"
"10","Normal/Others","WS/MP893/2026-2027/265179-Purchase of non-conventional energy system and devices for community use","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Installation of Solar submersible at Satnala Booth","03-Feb-2026","300000","28-Jul-2026"
