"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP218/2025-2026/196988-Construction of community centers and community halls","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","DEVELOPMENT OF COMMUNITY KITCHEN AT SHYAM BOSE ROAD UNDER KMC WARD 82","06-May-2025","09-Jun-2025","803000","Vendor Identification"
"2","Normal/Others","WS/MP18383/2025-2026/219840-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Hall Rooms at Ramsagar Kria Unnayan Sanstha under Ramsagar GP Onda Block Plot no-1566,JL no-246,Bankura,West Bengal","18-Jul-2025","06-Nov-2025","1500000","Sanction"
"3","Normal/Others","WS/MP218/2025-2026/263918-Construction of community centers and community halls","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","Development of Shambhu Nath Pandit Street Netaji Balak Sangha.","10-Feb-2026","05-Mar-2026","1200000","Sanction"
"4","Normal/Others","WS/MP218/2025-2026/263922-Construction of community centers and community halls","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","Development of Turf Panchayet Samity","10-Feb-2026","05-Mar-2026","900000","Sanction"
"5","Normal/Others","WS/MP893/2026-2027/265072-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of community hall at Goshaidanga Bauri Para","03-Feb-2026","28-Jul-2026","350000","Sanction"
"6","Normal/Others","WS/MP893/2026-2027/265147-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Community Hall at Kanchanpur Rastadhar Bauripara","03-Feb-2026","04-Aug-2026","400000","Sanction"
"7","Normal/Others","WS/MP893/2026-2027/265149-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Community Hall at Junbedia Bagdipara","03-Feb-2026","04-Aug-2026","500000","Sanction"
"8","Normal/Others","WS/MP893/2026-2027/265151-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Community Hall at Mankanali Upar Bauripara","03-Feb-2026","04-Aug-2026","400000","Sanction"
"9","Normal/Others","WS/MP893/2026-2027/265153-Construction of community centers and community halls","West Bengal","BANKURA(DISTRICT MAGISTRATE BANKURA_IDA)","Shri Samirul Islam (2023-29) (2023-2029)","Elected MP","Construction of Community Hall at Magra Bauripara","03-Feb-2026","04-Aug-2026","400000","Sanction"
"10","Normal/Others","WS/MP18383/2025-2026/162664-Construction of public libraries and reading rooms","West Bengal","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Library and Guest House for the benefit of  tribal residential students.","31-Dec-2024","11-Jul-2025","3000000","Work partially Completed"
"11","Normal/Others","WS/MP888/2025-2026/140058-Purchase of books for public libraries/ digitization of library books","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Purchase of books for 65 number of public libraries and schools","09-Sep-2024","24-Apr-2025","13800426","Physical Inspection"
"12","Normal/Others","WS/MP218/2025-2026/267171-Construction of common work sheds/ common covered sitting area","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","Construction of community shed at 103, Alipore Road, Kolkata-700027 in ward-82","10-Feb-2026","16-Feb-2026","500000","Sanction"
"13","Normal/Others","WS/MP218/2025-2026/267174-Construction of common work sheds/ common covered sitting area","West Bengal","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","Construction of community shed at 63, Chetla Road in ward-82","10-Feb-2026","16-Feb-2026","300000","Vendor Identification"
"14","Normal/Others","WS/MP888/2025-2026/183657-Construction of additional rooms and halls in the existing public and community building","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Shri Nagendra Ray (2023-29) (2023-2029)","Elected MP","Construction for Canteen at Ground Floor and modification of 1st Floor of Cooch Behar Bhawan.","18-Mar-2025","01-Sep-2025","6763570","Vendor Identification"
"15","Normal/Others","WS/MP218/2026-2027/227779-Construction of boundary walls of existing public and community buildings","West Bengal","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","Ms. Dola Sen (2023-29) (2023-2029)","Elected MP","Construction of the boundary wall and rooms in the hostel cum home of Sri Ramkrishna Sarada Sevashram at Chowkon, Ramkrishna Sara Sevashram road, khirpai, Paschim Medinipur, WB-721232","20-Aug-2025","24-Jun-2026","971120","Sanction"
"16","Trust and Society","WS/MP18383/2026-2027/263122-Construction of boundary walls of existing public and community buildings","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Shri Samik Bhattacharya (2024-30) (2024-2030)","Elected MP","Construction of Boundary Wall for Schools and Hostel Project at  Uttar 24 Parganas Vivekananda Seva trust.","29-Jan-2026","14-Aug-2026","4000000","Sanction"
"17","Normal/Others","WS/MP18382/2026-2027/255590-Construction of buildings for community cultural activities","West Bengal","North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA)","Smt. Mamata Thakur (2024-30) (2024-2030)","Elected MP","Construction of open stage in the name of Guruchand Thakur Sanskritik Mancha","26-Dec-2025","14-Aug-2026","500000","Sanction"
