"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP086/2024-2025/152809-Construction of rooms and halls in school and colleges","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Continued work of construction of library room VGS Elite International School at Bangalore North Taluk, Nagaruru Village, Dasanpura Hobli, Madnayakanahalli post","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","17-Sep-2025","1000000"
"2","Normal/Others","WS/MP086/2025-2026/159592-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Installation of street lights from Koramangala 19th main road to Udupi Sagar Hotel in Bangalore City District, BTM Assembly Constituency.","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499470"
"3","Normal/Others","WS/MP086/2025-2026/159590-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Street light installation work near Koramangala Jyothinivas College under BTM Assembly Constituency, Bengaluru City District.","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499406"
"4","Normal/Others","WS/MP086/2025-2026/159593-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Installation of street lights from Koramangala NJV Main Road to KHB Sports Village in Bangalore City District, BTM Assembly Constituency","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499470"
"5","Normal/Others","WS/MP086/2025-2026/159595-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Street light installation work from Koramangala Good Vibe Venture to PMR Memorial Trust under BTM Assembly Constituency, Bengaluru City District.","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499535"
"6","Normal/Others","WS/MP086/2025-2026/159602-Street lights","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","BInstallation of street light around Prestige Pine Wood playground at Bangalore City District, Koramangala under BTM Assembly Constituency,","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","29-May-2025","499470"
"7","Normal/Others","WS/MP086/2025-2026/170914-Security gates in streets/public place for safety purpose","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of chain link fencing from 13th cross to 13 A cross, Ward no 178, JP nagar 1st phase, Bangalore","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","24-Jun-2025","499567"
"8","Normal/Others","WS/MP086/2025-2026/170916-Security gates in streets/public place for safety purpose","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of chain link fencing from 14th cross to 14 A cross, Ward no 178, JP nagar 1st phase, Bangalore","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","24-Jun-2025","498956"
"9","Normal/Others","WS/MP086/2025-2026/170915-Security gates in streets/public place for safety purpose","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Construction of chain link fencing from 13A cross to 14th cross, Ward no 178, JP nagar 1st phase, Bangalore","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","24-Jun-2025","499341"
"10","Normal/Others","WS/MP086/2025-2026/171389-Construction of community centers and community halls","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Bangalore district, Ward No.145, Construction of MS pipe and Puff roof roping for Hop Coms shop","Shri G.C. Chandrashekhar (2024-30) (NaN-NaN)","Elected MP","N/A","24-Jun-2025","499046"
