"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/MP18226/2025-2026/217170-Installing community drinking water plants","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","R.O. Plant Installation Work for Public Drinking Water System near Gurunanak Vidya Sabha Girls Inter College, Lakhimpur Kheri.","11-Jul-2025","478463","27-Sep-2025"
"2","Normal/Others","WS/MP18226/2025-2026/222402-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Interlocking  construction work from Sampurna Nagar Road to Sent. N. College Gate Palika Kalan","26-Jul-2025","1781605","27-Sep-2025"
"3","Normal/Others","WS/MP18226/2025-2026/259879-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Vikas Khand Bankeganj ke Gram Wajeernager ke gra Amjabehar Me Shri Ramesh Bhargaw ke Makan se Shri meva ke Makan tak interloking avm Nali Nirmar","19-Jan-2026","1579800","28-Mar-2026"
"4","Normal/Others","WS/MP18226/2025-2026/259880-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Vikas Khand Bankeganj ke Gram Wajeernager ke gra Lalanganj me Kamalluddin ke Makan se Anish ke Makan tak interloking avm Nali Nirmar","19-Jan-2026","1105200","28-Mar-2026"
"5","Normal/Others","WS/MP18226/2026-2027/293823-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Mo. Patel Nager me Rohit Batham ke makan se shri Sidharth verma Adocate ke makan tak Lanth 120","16-Jul-2026","1705100","21-Jul-2026"
"6","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Salempur Koun me Shri Chanderbhal kashayp ke makan se  Ramesh ke Makan tak Interloking work","16-Jul-2026","350000","NA"
"7","Normal/Others","NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Panchayt Bhanpur me shri vipender verma ke makan se shri sanjay verma ke makan hote hua shri gopal sharma ke makan hote hua Interloking  avm Nali work","16-Jul-2026","1400000","NA"
"8","Normal/Others","WS/MP18226/2024-2025/170172-Construction of culverts and bridges","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Construction of rapata on drain on Padukhia-Trikoliya connecting road in village Padukhia of Gram Panchayat Gauriya","29-Jan-2025","6798710","17-Feb-2025"
"9","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Vikas Khand Bijua ke deffrent 22 Sthlo par semi haig mast 6 way Light ka adhisthapan work","16-Jul-2026","3471600","NA"
"10","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","vikas khand nakaha ke vibhin 10 sthalo par semi high mast lighto 6 way ka adhishthapan karya","16-Jul-2026","1578000","NA"
"11","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Lakhimpur  Block.Installation of 6-way semi-high mast lights at 8 different locations","16-Jul-2026","1262400","NA"
"12","Normal/Others","WS/MP18226/2026-2027/286210-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","vikas khand behajm ke vibhinya gram panchayate madhiya mein 2, karipokhar mein 1 evam oil dehat ke gram pahadkhopurva mein 2 sthalo par semi highmast light ka adhishthapan karya","18-Jun-2026","789000","17-Jul-2026"
"13","Normal/Others","WS/MP18226/2026-2027/286211-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","vikas khand phoolbehad ke gram mudiya mistra alg-alg 3 sthalon par 6 ve semi highmast light ka adhishthapan karya","18-Jun-2026","473400","17-Jul-2026"
"14","Normal/Others","WS/MP18226/2026-2027/286212-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Vikas khand nakaha ke vibhinn 22 sthalon par 6ve semi highmast lighton ka adhishthapan karya","18-Jun-2026","3471400","17-Jul-2026"
"15","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","vikas khand Lakhimpur  ke vibhinn 24 sthano par 6 ve semi high mast lighto ka adhishthapan karya","22-Jun-2026","3737200","NA"
"16","Normal/Others","NA-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","vikas khand Pholbehar   ke vibhinn 24 sthano par 6 ve semi high mast lighto ka adhishthapan karya","22-Jun-2026","3737200","NA"
"17","Normal/Others","WS/MP18226/2025-2026/222403-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram Panchayat koraiya lohana ke gram Lakshmipur me Tirahe par Parmod Verma  ke Makan ke Pass 6th semi High Mast Light ka adhishthapan kary.","26-Jul-2025","156959","27-Sep-2025"
"18","Normal/Others","WS/MP18226/2025-2026/222414-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast laight near the trisection in village Ayodhyapur in Gram Panchayat Banbudheli.","26-Jul-2025","156959","27-Sep-2025"
"19","Normal/Others","WS/MP18226/2025-2026/222415-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the Tiraha in village Amberpur of Gram Panchayat Datpur Rampur.","26-Jul-2025","156959","27-Sep-2025"
"20","Normal/Others","WS/MP18226/2025-2026/222416-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the Tiraha of Gram Panchayat Datpur Rampur Majra Rampur.","26-Jul-2025","156959","27-Sep-2025"
"21","Normal/Others","WS/MP18226/2025-2026/222417-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Gram panchayat ramapur grant No. 18 Tirahe ke paas 6th semi High mast light ka sthapana kary.","26-Jul-2025","156959","27-Sep-2025"
"22","Normal/Others","WS/MP18226/2025-2026/222418-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Mataji temple in village Nauvakheda of G.P. Bharigwa","26-Jul-2025","156959","27-Sep-2025"
"23","Normal/Others","WS/MP18226/2025-2026/222419-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near Mataji temple in Gram Panchayat Sansarpur.","26-Jul-2025","156959","27-Sep-2025"
"24","Normal/Others","WS/MP18226/2025-2026/222420-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the masjid in Gram Panchayat Sansarpur.","26-Jul-2025","156959","27-Sep-2025"
"25","Normal/Others","WS/MP18226/2025-2026/222421-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near village Chhattipur intersection of Gram Panchayat Rampur Grant No. 18.","26-Jul-2025","156959","27-Sep-2025"
"26","Normal/Others","WS/MP18226/2025-2026/222422-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the intersection in Grant No. 10 of Gram Panchayat Bankepur.","26-Jul-2025","156959","27-Sep-2025"
"27","Normal/Others","WS/MP18226/2025-2026/222571-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the tiraha in Village Panchayat Saukhia.","26-Jul-2025","156959","27-Sep-2025"
"28","Normal/Others","WS/MP18226/2025-2026/222572-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the masjid in village Panchayat saukhiya.","26-Jul-2025","156959","27-Sep-2025"
"29","Normal/Others","WS/MP18226/2025-2026/222573-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the Tiraha in village Talfipur of Gram Panchayat Rampur Grant No. 18.","26-Jul-2025","156959","27-Sep-2025"
"30","Normal/Others","WS/MP18226/2025-2026/222574-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the temple in village Dharampur of Gram Panchayat Grant No. 11.","26-Jul-2025","156959","27-Sep-2025"
"31","Normal/Others","WS/MP18226/2025-2026/222575-Lighting of public spaces","Uttar Pradesh","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","UTKARSH VERMA MADHUR","KHERI","Installation work of 6th semi high mast light near the Masjid in village Angadpur of Gram Panchayat Datpur Grant.","26-Jul-2025","156959","27-Sep-2025"
