"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP233/2023-2024/56830-Construction of public irrigation facilities","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of Irrigation canal and dam.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","26-Feb-2024","4000000"
"2","Normal/Others","WS/MP233/2023-2024/56800-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Repair of approach road to Chingai ward","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","14-Aug-2024","1500000"
"3","Normal/Others","WS/MP233/2023-2024/56829-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Repair of approach road to Shantham Ward.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","14-Aug-2024","1000000"
"4","Normal/Others","WS/MP233/2023-2024/56811-Construction of rooms and halls in school and colleges","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of Hall at Konjong School.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","14-Aug-2024","5000000"
"5","Normal/Others","WS/MP233/2023-2024/56818-Construction of public toilets and bathrooms","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of Public Toilet","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","14-Aug-2024","1000000"
"6","Normal/Others","WS/MP233/2023-2024/56790-Construction of rooms and halls in school and colleges","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of Multipurpose Hall at Langsa Hill School.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","14-Aug-2024","10000000"
"7","Normal/Others","WS/MP233/2023-2024/56813-Construction of boundary walls of existing public and community buildings","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of boundary wall near DC’s Residence, Mon.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","14-Aug-2024","1000000"
"8","Normal/Others","WS/MP233/2023-2024/56815-Providing drains and gutters for public drainage","Nagaland","LONGLENG(Deputy Commissioner Longleng_IDA)","Providing drain and gutters for public drainage.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","09-Mar-2024","1000000"
"9","Normal/Others","WS/MP233/2023-2024/56788-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","KIPHIRE(Deputy Commissioner Kiphire_IDA)","Construction of approach road to kithu paddy field (2.5kms)","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","14-Aug-2024","2500000"
"10","Normal/Others","WS/MP233/2024-2025/133818-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Nagaland","MON(Deputy Commissioner Mon_IDA)","Prevention of Agricultural Land Erosion and Flood at Tizit River","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2026","25000000"
"11","Normal/Others","WS/MP233/2024-2025/133823-Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of Heritage Site at Mon","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","N/A","14-Aug-2024","6000000"
"12","Normal/Others","WS/MP233/2024-2025/56847-Construction of public toilets and bathrooms","Nagaland","PEREN(Deputy Commissioner Peren_IDA)","Construction of Public Toilet.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","02-Dec-2024","1000000"
"13","Normal/Others","WS/MP233/2024-2025/133819-Purchase of IT systems, including hardware and software for educational purposes","Nagaland","PEREN(Deputy Commissioner Peren_IDA)","Upgradation of Computer Infrastructure at St. Xavier College","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","02-Dec-2024","1500000"
"14","Normal/Others","WS/MP233/2024-2025/133817-Providing drains and gutters for public drainage","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of Drainage","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","03-Apr-2025","3000000"
"15","Normal/Others","WS/MP233/2024-2025/133814-Construction of footpaths and pedestrian ways","Nagaland","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Construction of Cemetery Footsteps","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","06-Dec-2024","2000000"
"16","Normal/Others","WS/MP233/2024-2025/133828-Purchase of training equipment","Nagaland","MON(Deputy Commissioner Mon_IDA)","Upgradation of Weaving Infrastructure","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","16-Oct-2024","300000"
"17","Normal/Others","WS/MP233/2024-2025/133827-Construction of water tanks","Nagaland","TUENSANG(Deputy Commissioner Tuensang_IDA)","Water Tank at Tuensang Town Cemetery","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","02-Dec-2024","2000000"
"18","Normal/Others","WS/MP233/2024-2025/133826-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of Approach Road","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","30-Jan-2026","1200000"
"19","Normal/Others","WS/MP233/2024-2025/133822-Providing drains and gutters for public drainage","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of Drainage below Vinngoi","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","30-Jan-2026","1000000"
"20","Normal/Others","WS/MP233/2024-2025/133821-Construction of common work sheds/ common covered sitting area","Nagaland","WOKHA(Deputy Commissioner Wokha_IDA)","Construction of Waiting Shed","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","05-May-2025","500000"
"21","Normal/Others","WS/MP233/2024-2025/133815-Construction of community centers and community halls","Nagaland","WOKHA(Deputy Commissioner Wokha_IDA)","Construction of Community Hall","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","05-May-2025","2500000"
"22","Normal/Others","WS/MP233/2024-2025/133824-Development of playfields and sports grounds","Nagaland","WOKHA(Deputy Commissioner Wokha_IDA)","Construction of Rostrum","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","05-May-2025","1000000"
"23","Normal/Others","WS/MP233/2024-2025/133820-Development of public parks","Nagaland","Tseminyu(Deputy Commissioner Tseminyu_IDA)","Beautification of Village","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","20-Dec-2024","500000"
"24","Normal/Others","WS/MP233/2024-2025/133816-Providing drains and gutters for public drainage","Nagaland","KOHIMA(DEPUTY COMMISIONER_7)","Construction of Drainage","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","N/A","08-Jul-2025","1000000"
"25","Normal/Others","WS/MP233/2024-2025/133825-Construction of common work sheds/ common covered sitting area","Nagaland","KOHIMA(DEPUTY COMMISIONER_7)","Construction of Rest Camp","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","N/A","08-Jul-2025","1500000"
"26","Normal/Others","WS/MP233/2025-2026/202323-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of Road from Chingai Ward Junction to DIC Office Mon","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2026","21000000"
"27","Normal/Others","WS/MP233/2025-2026/225200-Patrolling Vehicles to government institution for Public Conveniences, Safety and Security","Nagaland","MON(Deputy Commissioner Mon_IDA)","Mon migration trail, a youth migration monitoring system developed by Mon District Police. To mitigate the various issues faced by youth who are migrating to various cities in search of livelihood opportunities. This app will assist them in getting access to timely help from law enforcement agencies when the need arises and will also address trafficking issues","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","03-Sep-2025","800000"
"28","Normal/Others","WS/MP233/2025-2026/225203-Installing tube-wells and borewells","Nagaland","MON(Deputy Commissioner Mon_IDA)","Wangkhao College, the only government college in the district catering to approximately six hundred students has acute shortage of water supply in the campus. Hence, the construction of bore well and installation of a filtration system will help facilitate the supply of proper drinking water to the faculty and students","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","N/A","11-Mar-2026","2000000"
"29","Normal/Others","WS/MP233/2025-2026/225208-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","MON(Deputy Commissioner Mon_IDA)","The connecting road of the lower lane caters to hundreds of households and is the only road link has not been repaired for more than a decade. The construction of this road at Daily market will help the people, especially students of the locality in their daily commute","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","27-Feb-2026","10000000"
"30","Normal/Others","WS/MP233/2025-2026/227312-Setting up public non-conventional energy plants","Nagaland","MON(Deputy Commissioner Mon_IDA)","installation of Solar power grid at Oting Village will ensure continuous supply of power to the villages. This will also help the villagers to continue with their economic activity during night time and access to clean energy.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2026","1000000"
"31","Normal/Others","WS/MP233/2025-2026/227941-Setting up public non-conventional energy plants","Nagaland","MON(Deputy Commissioner Mon_IDA)","Solar power grid at Lower Tiru and Upper Tiru will ensure continuous supply of power to this two villages. it will also help the villagers to continue with their economic activity during night time and access to clean energy","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2026","1000000"
"32","Normal/Others","WS/MP233/2025-2026/227942-Setting up public non-conventional energy plants","Nagaland","MON(Deputy Commissioner Mon_IDA)","Solar power grid at Lower Tiru and Upper Tiru will ensure continuous supply of power to this two villages. it will also help the villagers to continue with their economic activity during night time and access to clean energy","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2026","1000000"
"33","Normal/Others","WS/MP233/2025-2026/231940-Construction of common work sheds/ common covered sitting area","Nagaland","Tseminyu(Deputy Commissioner Tseminyu_IDA)","Construction of Marketing Shed at Nsunyu Village is a very need of the hours for the people of Tseminyu district , as being a fast growing semi-urban Town, requires essential infrastructure to support sustainable livelihood and ensure the welfare of its resident and travellers. this initiative will not only uplift the scio-economic of the people but also set a model for rural development in the region.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","20-Feb-2026","1000000"
"34","Normal/Others","WS/MP233/2025-2026/239054- Providing sports equipment, except consumable items","Nagaland","MON(Deputy Commissioner Mon_IDA)","Organising Sansad Khel Mahotsav under PM Modi in the 17 district of Nagaland at Village level to district level. which will uplift the sport talent across the State to participate in the national and International level as well.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2026","5304000"
"35","Normal/Others","WS/MP233/2025-2026/227934- Providing sports equipment, except consumable items","Nagaland","DIMAPUR(DEPUTY COMMISSIONER DIMAPUR_IDA)","The music school at Dimapur need to be upgraded by providing musical instruments, as the enrolment is growing. This will help nurture young talents in and around Dimapur and music lovers from across the state.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","25-Feb-2026","500000"
"36","Normal/Others","WS/MP233/2025-2026/230254- Providing sports equipment, except consumable items","Nagaland","MON(Deputy Commissioner Mon_IDA)","Providing the sports equipments to Mon District Athletics Association will help the young athletes in various field of sports, as the association has 9 trained Technical Official with no support, if the proper equipments are being provided the organisation can guide and mould the youths of Mon District.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","02-Mar-2026","500000"
"37","Normal/Others","WS/MP233/2025-2026/227311- Providing sports equipment, except consumable items","Nagaland","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","Providing Musical instrument to the community would be much help for the youth of Luyong villager of Tuli so that their involvement in the field of Art, culture and music at the same time can improved and polish the talented youth.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","08-Feb-2026","300000"
"38","Normal/Others","WS/MP233/2025-2026/239079-Construction of footpaths and pedestrian ways","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of proper footpath,  at Tanlao ward, Mon Town will benefit over 300 house hold living in the area and its adjacent Douglas colony for better accessibility and connection to the rest of the town.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","11-Mar-2026","1000000"
"39","Normal/Others","WS/MP233/2025-2026/225205-Providing garbage collection and disposal systems","Nagaland","PHEK(Deputy Commissioner Phek_IDA)","The construction of waste management unit at khezhakeno village will help the villagers to dispose the waste accumulated in the village in a scientific way. This will help keep the environment clean and healthy.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","N/A","14-Jan-2026","500000"
"40","Normal/Others","WS/MP233/2025-2026/230257-Construction of water tanks","Nagaland","TUENSANG(Deputy Commissioner Tuensang_IDA)","Water Reservoir tank is very important for the colony where there are more than 100 house hold. Therefore, construction of water tank size of 50x50 reservoir in the ward is a need of the hour, where the peoples depend on it.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","20-Feb-2026","1000000"
"41","Normal/Others","WS/MP233/2025-2026/249134-Providing drains and gutters for public drainage","Nagaland","MON(Deputy Commissioner Mon_IDA)","The construction of this CRSM drain will greatly benefit the locality as it serves as the primary outlet for stormwater and wastewater from the main bazaar, improving drainage and reducing flooding risks.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","13-Mar-2026","1040000"
"42","Normal/Others","WS/MP233/2025-2026/227148-Construction of public toilets and bathrooms","Nagaland","KOHIMA(DEPUTY COMMISIONER_7)","The construction of toilet facility at Ruzhukhrie government school would provide clean and accessible toilet facilities ensuring comfort and hygiene for the students.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","N/A","13-Mar-2026","1000000"
"43","Normal/Others","WS/MP233/2025-2026/229712-Construction of additional rooms and halls in the existing public and community building","Nagaland","Noklak(Deputy Commissioner Noklak_IDA)","Heritage Home Stay is the only Govt. registration Home stay in Noklak District. it has been drowning its service since 2021. it is in need of major repairing of the roof, ceiling and electrification to provide better service to the people.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","05-Mar-2026","1000000"
"44","Normal/Others","WS/MP233/2025-2026/246829-Construction of buildings for sports facilities","Nagaland","MON(Deputy Commissioner Mon_IDA)","Shangnyu Village is approximately 18 kilometers from district headquarter Mon, Nagaland and it has a population of around 1850. As describe and witness the village are lack of development which include sports infrastructure, therefore as demanded by the village head and youth leaders, the village will be provided with the construction of Concrete Pavilion at the village local ground which will be very helpful for the community in sports and for various gathering.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","N/A","06-Mar-2026","1500000"
"45","Normal/Others","WS/MP233/2025-2026/249141-Construction of common work sheds/ common covered sitting area","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of work sheds for the public under Tanlao ward, Mon Town is much need of the hour for the benefits to lots of carpenters, it can be utilized as a work place as well as for the safe storage and more over for the unemployed youth as an institution to learn carpentry on the local level","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","N/A","06-Mar-2026","300000"
"46","Normal/Others","WS/MP233/2025-2026/249157-Development of playfields and sports grounds","Nagaland","MON(Deputy Commissioner Mon_IDA)","Expansion of existing volleyball court into a full football ground in which the community can use for any kind of event such as sports and cultural programme.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2026","400000"
"47","Normal/Others","WS/MP233/2025-2026/249159-Construction of public staircase/ stair ghat for public convenience","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of a Footsteps pathway measuring approximately 220 to 250 meters in length. The proposed pathway will connect the Circular Road near SIB office, located adjacent to the Assam Rifle Camp, to the Old Government Quarters of the Agriculture Department. The work includes. Site clearing and levelling, Construction of concrete footsteps steps along the identified gradient. Installation of side drainage necessary. Providing proper finishing for safe pedestrian movement.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2026","600000"
"48","Normal/Others","WS/MP233/2025-2026/249163-Construction of footpaths and pedestrian ways","Nagaland","MON(Deputy Commissioner Mon_IDA)","Shantham ward located in Mon Town, Mon District with the population of around 1800, the construction of Drainage cum Footsteps 300 meter length in order to control float from rain water and wastewater as well as for the convenient shortcut footsteps  from ADC road to Govt. Higher Secondary School, Mon Town -C, which will be much help and convenient for the students","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","27-Feb-2026","1000000"
"49","Normal/Others","WS/MP233/2025-2026/251284-Providing drains and gutters for public drainage","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of Medium scale stormwater, wastewater drainage system with open RCC drains will benefits. prevents water accumulation that leads to water logging and soil erosion. prevent contamination of drinking water sources by keeping sewage and waste water separate from clean water, prevents soil erosion.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","01-Mar-2026","3500000"
"50","Normal/Others","WS/MP233/2025-2026/251286-Construction of public staircase/ stair ghat for public convenience","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of a Footsteps pathway, staircase measuring approximately 220, 250 meters in length. The proposed pathway will connect the Circular Road This pathway will significantly improve accessibility for residents and government employees, and drastically reduced the inconvenient faced by the elderly, School-going Children, and differently-abled individuals who find it challenging to navigate the uneven and unsafe terrain especially during monsoon within Tompang Ward, Mon Town.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2026","1000000"
"51","Normal/Others","WS/MP233/2025-2026/251322-Construction of public staircase/ stair ghat for public convenience","Nagaland","MON(Deputy Commissioner Mon_IDA)","Bellow DC hill located at Chingai ward, can be connected Jahjoh Ward to NH road Chingai ward with the construction of Staircase and footpath, which include of earth excavation. it will benefits women, children, senior citizens and school going students to take as shortcut path.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","28-Feb-2026","1619000"
"52","Normal/Others","WS/MP233/2025-2026/239108-Construction of boundary walls of existing public and community buildings","Nagaland","MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA)","The Construction of boundary wall of existing community building at Luyong, Molungyimsen which will served as a protection to the public property and as a boundary to avoid land encroachment.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","01-Mar-2026","3000000"
"53","Normal/Others","WS/MP233/2025-2026/248292-Purchase of vehicles for mobile libraries","Nagaland","MON(Deputy Commissioner Mon_IDA)","Mobile Libraries for Mon District in order to upliftment and development of Konyak dialect.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","17-Jan-2026","1000000"
"54","Normal/Others","WS/MP233/2025-2026/250935- Providing sports equipment, except consumable items","Nagaland","Chumoukedima(Deputy Commissioner Chumoukedima_IDA)","The Chakhroma Wrestling Meet is one of the most prominent traditional sporting events in Chumukedima Village under Chumukedima District. it brings all the athletes, youth together and spectator from across Nagaland. the upcoming edition holds special significance as it aims to promote Indigenous Naga Wrestling and also highlight traditional belt, which is global recognition. therefore, under MPLADS the Wrestling Mat will be provided to uplift and push the athletic for the Asian Games.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","17-Jan-2026","400000"
"55","Normal/Others","WS/MP233/2025-2026/248293-Tree plantation for community","Nagaland","MON(Deputy Commissioner Mon_IDA)","Tree and crops plantation on a degraded mining land.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","26-Mar-2026","1000000"
"56","Normal/Others","WS/MP233/2025-2026/266721-Construction of footpaths and pedestrian ways","Nagaland","MON(Deputy Commissioner Mon_IDA)","Construction of footpath over drainage at sonari road NH below DC hill will be convenient for all the public as being a busiest traffic road the footpath will also served as safety for the people on foot. Modern footpaths benefit vulnerable groups like the elderly, children, people with disabilities using ramps, smooth surfaces, adequate width. This supports equitable. Drainage systems rarely provide such direct social inclusion","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","Images","10-Mar-2026","1000000"
"57","Normal/Others","WS/MP233/2025-2026/251266-Construction of roads, link roads, pathways or any other road with or without drainage system","Nagaland","TUENSANG(Deputy Commissioner Tuensang_IDA)","Approach road to nangke yatong park, and connection of link road by fresh cutting of earth. This  project will help for the development of public park which will be a recreational place for any visitor to the village. It will get hold for all  overview of Neighbouring village.","Smt. S. Phangnon Konyak (2022-28) (NaN-NaN)","Elected MP","N/A","02-Mar-2026","1500000"
"Grand Total"," "," "," "," "," "," "," "," "," ","14,47,63,000"
