"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP053/2023-2024/43938-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM NH-80 TO RING BANDH GANGA RIVER IN BANGALEE TOLA KARHARIYA PASCHIM PANCHAYAT","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","12-Jul-2025","394738"
"2","Normal/Others","WS/MP053/2023-2024/43869-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM JAGDISH SAH HOUSE NEAR RATAN SAW TO MANOHAR TANTI HOUSE IN WARD 4 DHARHARA DAKCHIN PANCHAYAT","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","396071"
"3","Normal/Others","WS/MP053/2023-2024/43859-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM BIPIN MODI HOUSE TO PANKAJ MANDAL HOUSE VIA DEEPAK RAJAK HOUSE IN SOUTH OF DHARHARA BLOCK","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","396106"
"4","Normal/Others","WS/MP053/2023-2024/43871-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD WITH NALA FROM ORTHO ROAD VIA PRAMOD YADAV HOUSE TO DAHI YADAV HOUSE IN MANGARH MAHARNNA PANCHAYAT","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","395118"
"5","Normal/Others","WS/MP053/2023-2024/43875-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM ADVOCATE VISHWNATH SINGH HOUSE TO FR MALLIK HOUSE VIA KABRISTAN IN WARD 30","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","397482"
"6","Normal/Others","WS/MP053/2023-2024/43900-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM DHARMENDRA MANDAL SELFI RESTORENT TO KAMLESH SHARMA HOUSE IN WARD 27","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","09-Jul-2025","397628"
"7","Normal/Others","WS/MP053/2023-2024/43894-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM MAIN ROAD TO ASARFI JHA HOUSE IN WARD 30","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","398714"
"8","Normal/Others","WS/MP053/2023-2024/43912-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM SCHOOL NEAR ANWAR MISTRI HOUSE TO TASLEEM HOUSE IN BAKARPUR KATORIYA PANCHAYAT","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","10-Jan-2026","396802"
"9","Normal/Others","WS/MP053/2023-2024/43873-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM SAGAR JEE HOUSE TO AFTAB ALAM HOUSE AND CONSTRUCTION OF PIYAU NEAR KAHAR TOLI ASTHAN IN WARD 25","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","24-Jul-2025","392528"
"10","Normal/Others","WS/MP053/2023-2024/43916-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM SANJAY SHARMA HOUSE TO MRITUNJAY SHARMA HOUSE IN WARD 12 NAUAGARHI NORTH PANCHAYAT","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","08-Jul-2025","398435"
