"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Bihar","Construction of public libraries and reading rooms","WS/MP053/2025-2026/229769","NAWADA(District Planning Officer NAWADA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","25-Jul-2026","NIVASH ENTERPRISES","Payment Success","1320479"
"2","Bihar","Construction of buildings for community cultural activities","WS/MP053/2023-2024/43923","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","05-Jul-2024","AHILYA KUMARI","Payment Success","448396"
"3","Bihar","Construction of buildings for community cultural activities","WS/MP053/2023-2024/43934","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","29-Jun-2024","PARFULLA KUMAR","Payment Success","448217"
"4","Bihar","Construction of buildings for community cultural activities","WS/MP053/2023-2024/43936","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","10-Dec-2024","ASHUTOSH ANAND","Payment Success","339551"
"5","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/43937","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","03-Jun-2024","Malti Devi","Payment Success","386933"
"6","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/43938","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","19-Mar-2024","Malti Devi","Payment Success","394738"
"7","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/43939","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","24-Mar-2026","Pushpam Singh","Payment Success","380712"
"8","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/43940","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","16-Mar-2024","Pushpam Singh","Payment Success","347127"
"9","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/43941","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","05-Jul-2024","Pushpam Singh","Payment Success","394859"
"10","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP053/2023-2024/43942","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","03-Jun-2024","Malti Devi","Payment Success","392558"
